event_id,unit,event_ym,mw_before,mw_end,pct_window,n_steps,source,post_avg,pre_avg,weight
2,2,2003-01,5.65,7.15,0.2654867256637168,1,state,0.023308504687838155,-0.006985801887894827,0.0017231454119302034
3,2,2010-01,7.25,7.75,0.0689655172413792,1,state,-0.0004906154050947631,-0.053069598222487774,0.0016295022759364023
4,2,2015-01,7.75,9.84,0.2696774193548388,2,state,-0.01767945034248633,0.05369858096127672,0.001850823224320826
5,2,2024-01,10.85,13.0,0.1981566820276499,2,state,0.004111884640754311,-0.09834277911960843,0.0013903826194006203
6,4,2007-01,5.15,7.25,0.4077669902912619,2,state,-0.054350696150078884,-0.002357555291149338,0.013775445870956872
7,4,2017-01,8.05,12.0,0.4906832298136645,3,state,-0.02450471984195221,-0.04129209052505578,0.015361400292347813
8,5,2006-10,5.15,7.25,0.4077669902912619,2,state,0.0016758736086589093,-0.009439340963846882,0.006135291947853116
9,5,2016-01,7.5,9.25,0.2333333333333334,3,state,0.05255706531189329,0.012849195499874927,0.005881352496238355
11,6,2007-01,6.75,8.0,0.1851851851851851,2,state,-0.029195975812444278,0.015266289346910239,0.04489901979370522
12,6,2014-07,8.0,11.0,0.375,3,state,0.06304245536278244,0.009639330787757805,0.051750045326959794
13,8,2007-01,5.15,7.25,0.4077669902912619,1,state,-0.04449514864059394,-0.002205029356830146,0.008446299410923773
14,8,2017-01,8.31,12.0,0.4440433212996388,4,state,0.018891033448409505,0.006412054920091004,0.007698235804024536
16,9,2014-01,8.25,10.1,0.2242424242424241,3,state,-0.002823888674358399,0.05675608039062277,0.009117384652629594
18,10,2007-01,6.15,7.25,0.178861788617886,2,state,-0.07977718682652742,-0.06033685294292698,0.002064716252954865
19,10,2014-06,7.25,8.25,0.1379310344827586,2,state,-0.0014277920637001118,-0.003755252483352095,0.0021875658340892615
20,10,2019-01,8.25,10.5,0.2727272727272727,3,state,-0.07426761215761635,-0.0696715114240572,0.0018991100997378006
22,11,2005-01,6.15,7.55,0.2276422764227641,3,state,-0.058303865809974605,-0.09840926666130216,0.001014235545267497
23,11,2014-07,8.25,12.5,0.5151515151515151,4,state,-0.011789908134148194,0.022929692921497324,0.0008481751723891778
24,12,2005-06,5.15,7.21,0.3999999999999999,2,state,-0.03249945936279372,-0.035026078696433705,0.03450263286241751
25,12,2021-10,8.56,13.0,0.5186915887850467,4,state,0.01582172461645208,0.008137872790322492,0.03798916094178631
26,15,2002-01,5.25,6.25,0.1904761904761904,2,state,0.05076659440456184,-0.03684204212962133,0.0029182118608699664
27,15,2015-01,7.25,10.1,0.3931034482758619,4,state,0.01722441943929358,-0.055370292915102814,0.002873552515926648
28,15,2022-10,10.1,14.0,0.3861386138613862,2,state,0.05990856056985212,0.0018037829769393388,0.0029363820284450874
29,17,2004-01,5.15,7.5,0.4563106796116503,3,state,0.00776316260502849,-0.032196493875776555,0.02151914155592447
30,17,2020-01,8.25,13.0,0.5757575757575757,5,state,0.03896550710406624,0.06361768810163793,0.022243419541889894
31,19,1997-09,4.75,5.15,0.0842105263157895,1,state,0.06983865391420263,0.08210737972441595,0.006093266034195764
32,19,2007-04,5.15,7.25,0.4077669902912619,2,state,-0.015598721511395838,-0.022808253246562465,0.0061550632322408235
33,21,2007-07,5.15,7.25,0.4077669902912619,3,state,0.0041082358563307025,-0.03377858658943464,0.006977194316805784
35,23,2002-01,5.15,6.5,0.2621359223300969,2,state,0.030906275321587337,-0.005127917683176775,0.0030323587417509516
36,23,2017-01,7.5,12.0,0.6000000000000001,4,state,0.004560154703532743,0.014377232676941909,0.0017516499987732235
37,24,2007-01,5.15,7.25,0.4077669902912619,3,state,-0.025166914238988466,-0.037879995978132935,0.009419882073178102
38,24,2015-01,7.25,10.1,0.3931034482758619,4,state,0.07311196978197733,0.025036688921701078,0.008842223510663343
40,25,2007-01,6.75,8.0,0.1851851851851851,2,state,0.027925256657210976,0.015048871766337651,0.014432728450702613
41,25,2015-01,8.0,11.0,0.375,3,state,-0.02319833694313922,-0.028401975063023444,0.01642837607025378
