event_id,unit,event_ym,mw_before,mw_end,pct_window,n_steps,source,post_avg,pre_avg,weight
4,2,2015-01,7.75,9.84,0.2696774193548388,2,state,-0.04939010998034811,-0.02791077098238337,0.004132999366765724
5,2,2024-01,10.85,13.0,0.1981566820276499,2,state,-0.003079192310285056,-0.025394808062861124,0.004004834550599796
7,4,2017-01,8.05,12.0,0.4906832298136645,3,state,0.02959473587200355,0.05139397349576358,0.024609536107706508
9,5,2016-01,7.5,9.25,0.2333333333333334,3,state,0.057387400551194484,0.034473698785442014,0.00899626151696614
12,6,2014-07,8.0,11.0,0.375,3,state,0.06746546827158934,0.0007615009721133881,0.09209359844074184
14,8,2017-01,8.31,12.0,0.4440433212996388,4,state,0.005074518688057181,-0.07117181886277565,0.015900849013081076
16,9,2014-01,8.25,10.1,0.2242424242424241,3,state,0.001647333861290054,0.05880543056525378,0.021817668049142824
19,10,2014-06,7.25,8.25,0.1379310344827586,2,state,-0.019170787878917267,-0.06858176226630286,0.004103105997067666
20,10,2019-01,8.25,10.5,0.2727272727272727,3,state,0.01592648856015605,0.012311604238690071,0.004462921141722109
23,11,2014-07,8.25,12.5,0.5151515151515151,4,state,0.07937793053560202,0.06890581645816343,0.0011616760250736148
25,12,2021-10,8.56,13.0,0.5186915887850467,4,state,-0.016917949976749003,-0.022109367143786557,0.07623723898449275
27,15,2015-01,7.25,10.1,0.3931034482758619,4,state,-0.035060144293032516,-0.12603290861903071,0.006299977706372906
28,15,2022-10,10.1,14.0,0.3861386138613862,2,state,0.07342556019783554,-0.013276606145224218,0.007979280758612817
30,17,2020-01,8.25,13.0,0.5757575757575757,5,state,0.0588564359529658,0.0662664348346915,0.055720275473508434
36,23,2017-01,7.5,12.0,0.6000000000000001,4,state,0.1248437383708716,0.023428958827147434,0.003247940702789759
38,24,2015-01,7.25,10.1,0.3931034482758619,4,state,0.10336695948167834,0.015929468433859423,0.022688128734264446
41,25,2015-01,8.0,11.0,0.375,3,state,-0.030731824267458546,-0.0652775292189185,0.037046879866941995
43,26,2014-09,7.4,9.25,0.25,1,state,0.03649793856480367,0.020566589451318673,0.04582531890323618
46,27,2014-08,7.25,9.65,0.3310344827586207,3,state,0.029479940298080515,-0.04992881264127341,0.026702872321256933
48,29,2019-01,7.85,11.15,0.4203821656050956,4,state,-0.01710203705156106,0.09703832931461745,0.028352879461577118
51,30,2022-01,8.75,10.55,0.2057142857142857,2,state,0.12678084284473573,0.13787655633371715,0.005200641579272258
52,31,2015-01,7.25,9.0,0.2413793103448276,2,state,-0.05385626091679868,-0.028111162895393088,0.00660691333050667
53,31,2023-01,9.0,13.5,0.5,3,state,0.0353140945315103,0.0021621682880233473,0.010004897570286112
55,32,2020-07,8.25,11.25,0.3636363636363635,4,state,-0.00923173935178978,-0.006356114042206817,0.014672550506221136
57,34,2014-01,7.25,8.44,0.1641379310344826,1,state,-0.08105120989224643,-0.0685969172157617,0.05191561695921113
58,34,2019-07,8.85,14.0,0.5819209039548023,5,state,0.03736243689088842,0.03029445155788446,0.052247330578590684
59,35,2020-01,7.5,12.0,0.6000000000000001,3,state,0.09822345008518316,0.10755650735243455,0.003961594288545361
61,36,2014-01,7.25,9.7,0.3379310344827586,3,state,0.024876678706580807,0.05335670597869244,0.031160037070178406
64,39,2022-01,8.8,10.7,0.2159090909090908,2,state,-0.010474006750809964,-0.022696069105135108,0.05330864786364351
68,41,2016-07,9.25,11.25,0.2162162162162162,2,state,-0.015545066712119526,-0.13372391871041786,0.014320353081101021
72,44,2015-01,8.0,10.1,0.2624999999999999,3,state,0.015258892773751823,0.0340371139821147,0.005166849737213917
73,46,2015-01,7.25,8.85,0.2206896551724138,1,state,-0.06194292138570484,0.009318052732342402,0.003383041501523626
74,46,2022-01,9.45,11.5,0.2169312169312169,2,state,0.004526197601491158,0.03724382781706381,0.0033790622650878037
76,50,2018-01,10.0,11.75,0.175,2,state,-0.05879767870619171,-0.009466647712464055,0.0035517950587529
77,51,2021-05,7.25,13.5,0.8620689655172413,4,state,-0.0033732428037052814,0.009937056248509324,0.0482367064149728
80,53,2017-01,9.47,13.5,0.4255543822597676,2,state,0.011152442654198416,-0.0038763553899611447,0.03088352606337789
82,54,2015-01,7.25,8.75,0.2068965517241379,2,state,0.08136654557238288,0.015110616859933756,0.006199272536702786
90,6001,2014-07,8.0,13.23,0.65375,2,both,0.012292250767890214,0.17669167255262572,0.00865963818631947
96,6037,2014-07,8.0,12.0,0.5,4,both,0.03868019185812327,-0.03244665603285027,0.03247646405877955
102,6073,2014-07,8.0,11.5,0.4375,4,both,0.14542096085756157,0.09459450888519685,0.011200208864335608
104,6075,2015-05,11.05,15.0,0.3574660633484161,4,local,-0.19117568238659677,-0.10381173386331057,0.003213456641694438
107,6081,2014-07,8.0,13.5,0.6875,4,both,0.028164002901009413,-0.02917877165221494,0.003556195959380936
110,6085,2013-04,8.0,10.5,0.3125,1,local,0.048845231039046075,0.020762747573684487,0.003643871249736432
111,6085,2017-07,10.5,15.45,0.4714285714285713,3,local,-0.3155831699812391,-0.24440967905178054,0.006955422258727918
114,6097,2014-07,8.0,11.0,0.375,3,both,0.06468692838753784,-0.05657748926385994,0.002845628212201436
116,8031,2017-01,8.31,12.85,0.5463297232250299,4,both,0.15685201198992824,0.0504120539514222,0.0021592072002158823
118,17031,2015-07,8.25,12.0,0.4545454545454546,3,local,-0.011541267193799928,-0.0745972645060248,0.007649093821687676
134,23005,2016-01,7.5,11.0,0.4666666666666665,2,local,-0.30026087019698533,0.17639549044141245,0.0009893486258682755
136,24031,2014-10,7.25,12.25,0.6896551724137931,5,local,0.23229005246730644,,0.0003114980200140558
138,24033,2014-10,7.25,11.5,0.5862068965517242,4,local,0.13225231940820786,0.10304156050335361,0.00465007163629302
140,27053,2014-08,7.25,11.25,0.5517241379310345,5,both,0.08984113965475962,-0.1702634641931919,0.001245647507924958
142,27123,2014-08,7.25,9.65,0.3310344827586207,3,both,0.07725037309702378,-0.060706838462511625,0.0023610930211585748
