event_id,unit,event_ym,mw_before,mw_end,pct_window,n_steps,source,post_avg,pre_avg,weight
3,2,2010-01,7.25,7.75,0.0689655172413792,1,state,-0.003485229029337719,-0.04907567079417269,0.0037030302621667223
4,2,2015-01,7.75,9.84,0.2696774193548388,2,state,-0.04887478744676625,0.03966635077108763,0.00448751357079235
5,2,2024-01,10.85,13.0,0.1981566820276499,2,state,0.05855920774516878,-0.0496480715712069,0.0034875094165277534
7,4,2017-01,8.05,12.0,0.4906832298136645,3,state,-0.053062025497071896,0.012951265768720799,0.030743610065847835
9,5,2016-01,7.5,9.25,0.2333333333333334,3,state,0.07610094209860545,-0.011642907403515201,0.013016780549781712
12,6,2014-07,8.0,11.0,0.375,3,state,0.050482245619062616,0.0051845089182240844,0.10191614593671235
14,8,2017-01,8.31,12.0,0.4440433212996388,4,state,-0.07938886693948531,-0.047787152401727734,0.015242851892529375
16,9,2014-01,8.25,10.1,0.2242424242424241,3,state,0.004794876859171182,0.05911597724613471,0.018361342934491813
19,10,2014-06,7.25,8.25,0.1379310344827586,2,state,-0.006130869999726729,-0.027252620149577994,0.0037031643829673173
20,10,2019-01,8.25,10.5,0.2727272727272727,3,state,-0.06318819019855243,-0.10082006155606102,0.0035521278762396706
23,11,2014-07,8.25,12.5,0.5151515151515151,4,state,0.03456033113805285,0.06496991830594259,0.001165395363437173
25,12,2021-10,8.56,13.0,0.5186915887850467,4,state,0.01466505809571736,-0.011788277262072822,0.07012971553358573
27,15,2015-01,7.25,10.1,0.3931034482758619,4,state,-0.028067063887074778,-0.06065621468926846,0.006132556660727417
28,15,2022-10,10.1,14.0,0.3861386138613862,2,state,0.01185875737606927,-0.05531329709347124,0.0060810543808747135
30,17,2020-01,8.25,13.0,0.5757575757575757,5,state,0.07678744017223359,0.09842908117931759,0.04468483213135491
36,23,2017-01,7.5,12.0,0.6000000000000001,4,state,0.13083561276313158,0.08942562475792765,0.0030836230471574144
38,24,2015-01,7.25,10.1,0.3931034482758619,4,state,0.11427074160872978,0.018640491083992433,0.017973718486866016
41,25,2015-01,8.0,11.0,0.375,3,state,0.04239629541394792,-0.020116841693557846,0.032184447985853445
43,26,2014-09,7.4,9.25,0.25,1,state,0.06033288703335184,0.026954294621822722,0.04108582454329262
44,26,2025-03,10.56,12.48,0.1818181818181818,1,state,-0.050997429412500545,-0.007694351661984122,0.04707862337566421
46,27,2014-08,7.25,9.65,0.3310344827586207,3,state,0.03816725856341631,-0.0037989373270977678,0.02256203798406365
48,29,2019-01,7.85,11.15,0.4203821656050956,4,state,0.058986673031778694,0.10318128076995636,0.02550790867371946
51,30,2022-01,8.75,10.55,0.2057142857142857,2,state,0.0483480630259778,0.02134147056296909,0.004738904165398117
52,31,2015-01,7.25,9.0,0.2413793103448276,2,state,-0.06570352123457864,-0.0006498438170270404,0.006102697651882771
53,31,2023-01,9.0,13.5,0.5,3,state,0.004971241637312704,-0.06222663485470531,0.010218019014414912
55,32,2020-07,8.25,11.25,0.3636363636363635,4,state,-0.03719012924719642,-0.03169801491396759,0.013099924781613474
57,34,2014-01,7.25,8.44,0.1641379310344826,1,state,-0.02293333181181796,-0.004829458228683942,0.04508550716379586
58,34,2019-07,8.85,14.0,0.5819209039548023,5,state,0.007129306390542239,-0.028568732706751088,0.03731903638675725
59,35,2020-01,7.5,12.0,0.6000000000000001,3,state,0.08173192677928193,0.12245644761169383,0.004936106819421885
61,36,2014-01,7.25,9.7,0.3379310344827586,3,state,0.04937679538427105,0.06292080453916449,0.03192637984134853
64,39,2022-01,8.8,10.7,0.2159090909090908,2,state,0.03743800683227537,-0.023134315324228466,0.047797455439171736
68,41,2016-07,9.25,11.25,0.2162162162162162,2,state,0.022884353339674812,-0.08709165441044303,0.016288217928664077
