event_id,unit,event_ym,mw_before,mw_end,pct_window,n_steps,source,post_avg,pre_avg,weight
4,2,2015-01,7.75,9.84,0.2696774193548388,2,state,-0.016740163023879512,0.0487861738215048,0.003752985781006158
5,2,2024-01,10.85,13.0,0.1981566820276499,2,state,-0.026750721177379255,-0.11459065607732524,0.002851910331081042
7,4,2017-01,8.05,12.0,0.4906832298136645,3,state,-0.034223009233947735,-0.05138153234956366,0.03238822718584347
9,5,2016-01,7.5,9.25,0.2333333333333334,3,state,0.027665622756705144,0.009307667967869832,0.012879632508080142
12,6,2014-07,8.0,11.0,0.375,3,state,0.06724834952161265,0.005207597237862044,0.10872226333061936
14,8,2017-01,8.31,12.0,0.4440433212996388,4,state,0.047063132033569835,0.022440926728711258,0.015932760908809105
16,9,2014-01,8.25,10.1,0.2242424242424241,3,state,-0.010514008950271256,0.03149827648844564,0.019375634979352373
19,10,2014-06,7.25,8.25,0.1379310344827586,2,state,-0.02868099599494399,-0.006699048245371486,0.004629827823709741
20,10,2019-01,8.25,10.5,0.2727272727272727,3,state,-0.05650681006106331,-0.07819086992801177,0.004022347469748542
23,11,2014-07,8.25,12.5,0.5151515151515151,4,state,-0.023357750610523996,0.00906273979927652,0.001796645728950187
25,12,2021-10,8.56,13.0,0.5186915887850467,4,state,0.02236391528121083,0.0055682865904507495,0.07805713145538538
27,15,2015-01,7.25,10.1,0.3931034482758619,4,state,0.020868384517156655,-0.05829802722457014,0.005728063659572742
28,15,2022-10,10.1,14.0,0.3861386138613862,2,state,0.046448776575677114,-0.04164456312849141,0.005935880057883342
30,17,2020-01,8.25,13.0,0.5757575757575757,5,state,0.054957426764176795,0.07205883850597969,0.04697659147208773
36,23,2017-01,7.5,12.0,0.6000000000000001,4,state,0.06268064295066568,0.04817951264798037,0.003447993287913372
38,24,2015-01,7.25,10.1,0.3931034482758619,4,state,0.06382679085703244,0.030471368905314267,0.017756727497840383
41,25,2015-01,8.0,11.0,0.375,3,state,0.003251048951414523,0.003623485282667843,0.03456612465643927
43,26,2014-09,7.4,9.25,0.25,1,state,0.056586767618344205,0.05722055672213894,0.04205827550143983
46,27,2014-08,7.25,9.65,0.3310344827586207,3,state,-0.00816970216853899,-0.042183938012418626,0.023031203693504938
48,29,2019-01,7.85,11.15,0.4203821656050956,4,state,-0.0018943863724691784,0.08668774350694403,0.02644331275301901
51,30,2022-01,8.75,10.55,0.2057142857142857,2,state,0.05455874355967563,0.03087425389842577,0.004346439032876512
52,31,2015-01,7.25,9.0,0.2413793103448276,2,state,-0.03786535505438372,-0.017849354009265406,0.006685508031387295
53,31,2023-01,9.0,13.5,0.5,3,state,0.04674728553590033,-0.025478622259597683,0.008326793971627324
55,32,2020-07,8.25,11.25,0.3636363636363635,4,state,-0.006532519988728613,-0.034727328328182344,0.01406975249891287
57,34,2014-01,7.25,8.44,0.1641379310344826,1,state,-0.028083638362465607,-0.018849529253272213,0.04454909979296925
58,34,2019-07,8.85,14.0,0.5819209039548023,5,state,0.06074254775280346,0.028230346784206328,0.039978285536420605
59,35,2020-01,7.5,12.0,0.6000000000000001,3,state,0.05168038142075103,0.056007823242582494,0.004207529913735327
61,36,2014-01,7.25,9.7,0.3379310344827586,3,state,0.050363664395221844,0.05533122622121178,0.03194686401290117
64,39,2022-01,8.8,10.7,0.2159090909090908,2,state,-0.02407894336797753,-0.07490461240653665,0.05416830904488536
68,41,2016-07,9.25,11.25,0.2162162162162162,2,state,0.023184969542213593,-0.11102819190830035,0.016475885475392527
72,44,2015-01,8.0,10.1,0.2624999999999999,3,state,0.02018574133283925,0.06925714437387204,0.005322879407015973
73,46,2015-01,7.25,8.85,0.2206896551724138,1,state,-0.008973507889957308,0.032765409577698856,0.0033108488729257624
74,46,2022-01,9.45,11.5,0.2169312169312169,2,state,0.011554259594944216,0.008317772923379568,0.0033676090365668972
