event_id,unit,event_ym,mw_before,mw_end,pct_window,n_steps,source,post_avg,pre_avg,weight
3,2,2010-01,7.25,7.75,0.0689655172413792,1,state,-0.0004906154050947631,-0.053069598222487774,0.003973687446692005
4,2,2015-01,7.75,9.84,0.2696774193548388,2,state,-0.01767945034248633,0.05369858096127672,0.004513398429163488
5,2,2024-01,10.85,13.0,0.1981566820276499,2,state,0.004111884640754311,-0.09834277911960843,0.0033905727180626685
7,4,2017-01,8.05,12.0,0.4906832298136645,3,state,-0.02450471984195221,-0.04129209052505578,0.03746015234635718
9,5,2016-01,7.5,9.25,0.2333333333333334,3,state,0.05255706531189329,0.012849195499874927,0.014342205548895573
12,6,2014-07,8.0,11.0,0.375,3,state,0.06304245536278244,0.009639330787757805,0.12619712688852247
14,8,2017-01,8.31,12.0,0.4440433212996388,4,state,0.018891033448409505,0.006412054920091004,0.018772838447585656
16,9,2014-01,8.25,10.1,0.2242424242424241,3,state,-0.002823888674358399,0.05675608039062277,0.02223356019554928
19,10,2014-06,7.25,8.25,0.1379310344827586,2,state,-0.0014277920637001118,-0.003755252483352095,0.005334575484859334
20,10,2019-01,8.25,10.5,0.2727272727272727,3,state,-0.07426761215761635,-0.0696715114240572,0.004631150305621683
23,11,2014-07,8.25,12.5,0.5151515151515151,4,state,-0.011789908134148194,0.022929692921497324,0.002068351229016783
25,12,2021-10,8.56,13.0,0.5186915887850467,4,state,0.01582172461645208,0.008137872790322492,0.09263997612890118
27,15,2015-01,7.25,10.1,0.3931034482758619,4,state,0.01722441943929358,-0.055370292915102814,0.007007415533302147
28,15,2022-10,10.1,14.0,0.3861386138613862,2,state,0.05990856056985212,0.0018037829769393388,0.007160630934632488
30,17,2020-01,8.25,13.0,0.5757575757575757,5,state,0.03896550710406624,0.06361768810163793,0.05424257352099653
36,23,2017-01,7.5,12.0,0.6000000000000001,4,state,0.004560154703532743,0.014377232676941909,0.00427155562401613
38,24,2015-01,7.25,10.1,0.3931034482758619,4,state,0.07311196978197733,0.025036688921701078,0.02156255507220854
41,25,2015-01,8.0,11.0,0.375,3,state,-0.02319833694313922,-0.028401975063023444,0.04006206847571817
43,26,2014-09,7.4,9.25,0.25,1,state,0.05494961189385676,0.03311515013268243,0.05198682573779424
44,26,2025-03,10.56,12.48,0.1818181818181818,1,state,-0.05099449589790145,-0.09029997308775592,0.05883077556084801
46,27,2014-08,7.25,9.65,0.3310344827586207,3,state,0.0034918377265416856,-0.03321548340779934,0.026664549630758212
48,29,2019-01,7.85,11.15,0.4203821656050956,4,state,0.011750034814981894,0.06794929282596684,0.02919246824188771
51,30,2022-01,8.75,10.55,0.2057142857142857,2,state,0.06438250956077804,0.0426520424568404,0.005320437932356107
52,31,2015-01,7.25,9.0,0.2413793103448276,2,state,-0.044631285771469034,-0.03908944035940967,0.007845404872134499
53,31,2023-01,9.0,13.5,0.5,3,state,0.032674342175993895,-0.026536674327218818,0.010491458686148945
55,32,2020-07,8.25,11.25,0.3636363636363635,4,state,-0.01208158068498609,-0.031989103417798925,0.016416287053939833
57,34,2014-01,7.25,8.44,0.1641379310344826,1,state,-0.05010440163793009,-0.031088490142621578,0.05160919499343378
58,34,2019-07,8.85,14.0,0.5819209039548023,5,state,0.043687361727270085,0.019089247929076292,0.04756447917224146
59,35,2020-01,7.5,12.0,0.6000000000000001,3,state,0.05798973871939528,0.03491000554603704,0.00533903960541701
61,36,2014-01,7.25,9.7,0.3379310344827586,3,state,0.016236576062267194,0.03297724360338561,0.036950758840177116
64,39,2022-01,8.8,10.7,0.2159090909090908,2,state,-0.0015383292164620338,-0.036009130994274996,0.06252899342721524
68,41,2016-07,9.25,11.25,0.2162162162162162,2,state,0.016965539685725103,-0.09738765523245663,0.01890911477860799
72,44,2015-01,8.0,10.1,0.2624999999999999,3,state,0.015969144734125307,0.05218966902633754,0.006121972668417066
73,46,2015-01,7.25,8.85,0.2206896551724138,1,state,-0.017085535612622313,0.008067350317040561,0.003822862875347183
74,46,2022-01,9.45,11.5,0.2169312169312169,2,state,-0.0017679011096721764,-0.0073287000238006494,0.004330258754440487
76,50,2018-01,10.0,11.75,0.175,2,state,-0.014773204788829819,0.0029915408717438308,0.0035335259741153618
77,51,2021-05,7.25,13.5,0.8620689655172413,4,state,-0.012975365193273025,-0.002171031469479834,0.04142312943544972
80,53,2017-01,9.47,13.5,0.4255543822597676,2,state,-0.010996483616512148,-0.012060747400519878,0.030995942413071992
82,54,2015-01,7.25,8.75,0.2068965517241379,2,state,0.017471454908108794,0.008069239612624846,0.010258125016096712
