event_id,unit,event_ym,mw_before,mw_end,pct_window,n_steps,source,post_avg,pre_avg,weight
3,2,2010-01,7.25,7.75,0.0689655172413792,1,state,0.007715757111656427,-0.04477652565546539,0.0026698950542197084
4,2,2015-01,7.75,9.84,0.2696774193548388,2,state,-0.009869980254219732,0.022418477864002605,0.0037408308243375354
5,2,2024-01,10.85,13.0,0.1981566820276499,2,state,0.0051699328762763825,-0.07397988375058784,0.0032904524670778505
7,4,2017-01,8.05,12.0,0.4906832298136645,3,state,-0.023764913175530956,-0.045762306174414014,0.03842452002965943
9,5,2016-01,7.5,9.25,0.2333333333333334,3,state,-0.07706994705603248,-0.12045728950724294,0.007969266507310308
12,6,2014-07,8.0,11.0,0.375,3,state,0.01932205952829895,-0.007350030381855818,0.14045950604808446
14,8,2017-01,8.31,12.0,0.4440433212996388,4,state,0.0018164464600208471,0.04287098003581276,0.014568523034507477
16,9,2014-01,8.25,10.1,0.2242424242424241,3,state,-0.02271565437367591,-0.046120893579997824,0.013405025425946997
19,10,2014-06,7.25,8.25,0.1379310344827586,2,state,-0.0016081158524950054,-0.04876182841790251,0.004418544007710249
20,10,2019-01,8.25,10.5,0.2727272727272727,3,state,-0.06817111687723112,-0.025434434033214853,0.004006659426611231
23,11,2014-07,8.25,12.5,0.5151515151515151,4,state,0.022475816571821627,0.013771952250043934,0.002908022353634676
25,12,2021-10,8.56,13.0,0.5186915887850467,4,state,0.038879010251400475,0.03136097815149122,0.09618810584307831
27,15,2015-01,7.25,10.1,0.3931034482758619,4,state,0.03952128188703579,-0.012445755670825301,0.010430710018660208
28,15,2022-10,10.1,14.0,0.3861386138613862,2,state,0.03031938252450691,0.00755819132114896,0.011340018556595744
30,17,2020-01,8.25,13.0,0.5757575757575757,5,state,0.05987460062691356,0.057908712039072524,0.033786252144973605
36,23,2017-01,7.5,12.0,0.6000000000000001,4,state,0.08140369904630938,0.14972135078433715,0.0003208060338003584
38,24,2015-01,7.25,10.1,0.3931034482758619,4,state,0.012439873312564395,-0.009686792884447917,0.017170264570348877
41,25,2015-01,8.0,11.0,0.375,3,state,-0.050943924831940914,-0.05734322421853649,0.020678490347518518
43,26,2014-09,7.4,9.25,0.25,1,state,0.11135342113424812,0.05072751764398354,0.023012511344619797
44,26,2025-03,10.56,12.48,0.1818181818181818,1,state,-0.05452984317600293,-0.08474876762287385,0.03830125170339888
