event_id,state,event_ym,mw_before,mw_end,pct_window,n_steps,post_avg,pre_avg,weight
3,Alaska,2010-01,7.25,7.75,0.0689655172413792,1,0.027806394403657717,-0.020557699463547935,0.003285237611138788
4,Alaska,2015-01,7.75,9.84,0.2696774193548388,2,-0.01740323637792146,0.0721934875973618,0.0037314425133980296
5,Alaska,2024-01,10.85,13.0,0.1981566820276499,2,0.02691692390147739,0.10070498630874442,0.0028031487544279182
7,Arizona,2017-01,8.05,12.0,0.4906832298136645,3,-0.025293807743348468,0.003196054994029418,0.030970100959925893
9,Arkansas,2016-01,7.5,9.25,0.2333333333333334,3,-0.03500453169122669,-0.04007692388639916,0.011857387811197719
12,California,2014-07,8.0,11.0,0.375,3,0.0033309096760671952,-0.0053993814045945054,0.18716727577357684
14,Colorado,2017-01,8.31,12.0,0.4440433212996388,4,0.008647389843008557,0.04438487100920785,0.01760159163632218
16,Connecticut,2014-01,8.25,10.1,0.2242424242424241,3,-0.04292075611073176,-0.08485793153075816,0.018381548414116676
19,Delaware,2014-06,7.25,8.25,0.1379310344827586,2,-0.0009667644340372317,0.003408871734482788,0.004410348890652745
20,Delaware,2019-01,8.25,10.5,0.2727272727272727,3,-0.05962471221683152,-0.016159231443980293,0.003828793625812437
23,District of Columbia,2014-07,8.25,12.5,0.5151515151515151,4,0.030876465112318396,-0.08325341406778242,0.0017100049618315502
25,Florida,2021-10,8.56,13.0,0.5186915887850467,4,0.03853351299737079,0.039396856446026085,0.07658990244112548
27,Hawaii,2015-01,7.25,10.1,0.3931034482758619,4,0.06613354652229197,0.10007637321555818,0.005793365828519505
28,Hawaii,2022-10,10.1,14.0,0.3861386138613862,2,0.03993167952723916,0.042408590977325245,0.005920036334393132
30,Illinois,2020-01,8.25,13.0,0.5757575757575757,5,-0.04839498663378031,-0.06532063772584396,0.05373453207884626
36,Maine,2017-01,7.5,12.0,0.6000000000000001,4,-0.07874472367920407,-0.10870292596312203,0.004859440193794296
38,Maryland,2015-01,7.25,10.1,0.3931034482758619,4,-0.01694362795325957,0.0110689094213679,0.022840046951129196
41,Massachusetts,2015-01,8.0,11.0,0.375,3,-0.05371184213392255,-0.010244186096307284,0.03312122956374231
43,Michigan,2014-09,7.4,9.25,0.25,1,-0.05435599192154403,0.004555566437106473,0.042979997166032076
44,Michigan,2025-03,10.56,12.48,0.1818181818181818,1,0.03508584944836299,0.048101356042074495,0.04863821806766848
46,Minnesota,2014-08,7.25,9.65,0.3310344827586207,3,0.013557663445291301,-0.013434931054425003,0.02638269669003069
48,Missouri,2019-01,7.85,11.15,0.4203821656050956,4,-0.06756897848149182,-0.10963562650007241,0.024134810781371835
51,Montana,2022-01,8.75,10.55,0.2057142857142857,2,0.0022353328826960617,0.033596557560662654,0.0043986606993100365
52,Nebraska,2015-01,7.25,9.0,0.2413793103448276,2,-0.007421855255671961,-0.0016031866774473547,0.006486171724956368
53,Nebraska,2023-01,9.0,13.5,0.5,3,0.00043077255466203446,-0.047850336208157374,0.008673791065308396
55,Nevada,2020-07,8.25,11.25,0.3636363636363635,4,-0.04020360751125049,-0.0035930333736323705,0.013572130266498552
57,New Jersey,2014-01,7.25,8.44,0.1641379310344826,1,0.013759985326691537,3.7566644951469996e-05,0.04266779175452491
58,New Jersey,2019-07,8.85,14.0,0.5819209039548023,5,-0.01504535579234853,0.007345407736689458,0.03932383158644201
59,New Mexico,2020-01,7.5,12.0,0.6000000000000001,3,0.016679157952492668,-0.010641214864265613,0.01044883561775101
61,New York,2014-01,7.25,9.7,0.3379310344827586,3,0.018526315539945326,-0.005945557357294962,0.08716406092914358
64,Ohio,2022-01,8.8,10.7,0.2159090909090908,2,-0.002698661043672085,0.0168859023365453,0.051695711791511625
68,Oregon,2016-07,9.25,11.25,0.2162162162162162,2,0.00784041398239041,0.04258150865228655,0.017734136601335597
72,Rhode Island,2015-01,8.0,10.1,0.2624999999999999,3,0.017886066826998587,-0.005624470107713997,0.005061327830750826
73,South Dakota,2015-01,7.25,8.85,0.2206896551724138,1,-0.012609362373877442,-0.09174892955740055,0.0031605437188503087
74,South Dakota,2022-01,9.45,11.5,0.2169312169312169,2,-0.005842584401790682,0.00526343131404744,0.0035800321783973268
76,Vermont,2018-01,10.0,11.75,0.175,2,0.008089038787883779,-0.02239668606278039,0.00292133505360704
77,Virginia,2021-05,7.25,13.5,0.8620689655172413,4,-0.06129841095232426,-0.039072010816252944,0.03424648380579022
80,Washington,2017-01,9.47,13.5,0.4255543822597676,2,0.04093200670629246,0.059184312248117654,0.029643115374914607
82,West Virginia,2015-01,7.25,8.75,0.2068965517241379,2,-0.01875813521502176,0.04224000222394553,0.00848088295185353
