event_id,unit,event_ym,mw_before,mw_end,pct_window,n_steps,source,post_avg,pre_avg,weight
3,2,2010-01,7.25,7.75,0.0689655172413792,1,state,0.044405260609514705,0.0034289419798718968,0.0026964423289481364
4,2,2015-01,7.75,9.84,0.2696774193548388,2,state,0.025745198343626027,0.04757512394877611,0.00388098740629914
5,2,2024-01,10.85,13.0,0.1981566820276499,2,state,-0.004996977144300502,0.05463644660850528,0.0037606375118688744
7,4,2017-01,8.05,12.0,0.4906832298136645,3,state,-0.03369418229215175,-0.010075936675988911,0.023108955805046166
9,5,2016-01,7.5,9.25,0.2333333333333334,3,state,-0.019578477874843805,-0.02750221013553461,0.008447709412169935
12,6,2014-07,8.0,11.0,0.375,3,state,-0.06679750219565554,-0.018376672707882874,0.08647813948952607
14,8,2017-01,8.31,12.0,0.4440433212996388,4,state,1.174168005020626e-05,0.062414565049675075,0.014931285803105182
16,9,2014-01,8.25,10.1,0.2242424242424241,3,state,-0.013609039620965949,-0.07993944174414125,0.0204873234712833
19,10,2014-06,7.25,8.25,0.1379310344827586,2,state,-0.0058730933095789695,0.03766406233079708,0.0038529168016281324
20,10,2019-01,8.25,10.5,0.2727272727272727,3,state,-0.0477555273206257,-0.044567816858623904,0.004190792015505161
23,11,2014-07,8.25,12.5,0.5151515151515151,4,state,-0.07887928214003734,-0.047748828801428805,0.001090842176208323
25,12,2021-10,8.56,13.0,0.5186915887850467,4,state,0.03567708143932306,0.041165356225948274,0.07158863046750756
27,15,2015-01,7.25,10.1,0.3931034482758619,4,state,0.08550713256986112,0.1813035114339045,0.005915833023108355
28,15,2022-10,10.1,14.0,0.3861386138613862,2,state,-0.021094461006273935,0.0247104559259399,0.0074927396274282465
30,17,2020-01,8.25,13.0,0.5757575757575757,5,state,-0.0821792951272077,-0.09700371109152803,0.05232270034375329
36,23,2017-01,7.5,12.0,0.6000000000000001,4,state,-0.14492581691219425,-0.07054605634843839,0.0030498956920474046
38,24,2015-01,7.25,10.1,0.3931034482758619,4,state,-0.06195997711019524,0.008790511501360121,0.021304707326650105
41,25,2015-01,8.0,11.0,0.375,3,state,0.005202914882406942,0.03812478360690286,0.03478792553476552
43,26,2014-09,7.4,9.25,0.25,1,state,-0.035753768417780385,-0.021044579696719412,0.04303109431450892
44,26,2025-03,10.56,12.48,0.1818181818181818,1,state,0.03197765417387938,0.07651547620305202,0.05786200522065226
46,27,2014-08,7.25,9.65,0.3310344827586207,3,state,-0.0019081095093265166,0.03818558402730568,0.025074649665845553
48,29,2019-01,7.85,11.15,0.4203821656050956,4,state,0.013748455552261035,-0.09352635542874252,0.02662404669294877
51,30,2022-01,8.75,10.55,0.2057142857142857,2,state,-0.10361211526669127,-0.10217664376838889,0.0048835295345389775
52,31,2015-01,7.25,9.0,0.2413793103448276,2,state,0.09428796839637531,0.057501962690682834,0.006204053074963791
53,31,2023-01,9.0,13.5,0.5,3,state,-0.030508890518159415,-0.040419715637594195,0.009394843314960094
55,32,2020-07,8.25,11.25,0.3636363636363635,4,state,-0.0199919921824976,0.04962343067833849,0.013777883488400769
57,34,2014-01,7.25,8.44,0.1641379310344826,1,state,0.07814150184378145,0.07404443931211077,0.0487500330218099
58,34,2019-07,8.85,14.0,0.5819209039548023,5,state,-0.03525555221161171,-0.025085658384939563,0.049061520216717794
59,35,2020-01,7.5,12.0,0.6000000000000001,3,state,0.009756519992201854,-0.014995587551602019,0.003720033849108175
61,36,2014-01,7.25,9.7,0.3379310344827586,3,state,-0.03546548196087279,-0.06037234929440627,0.029260036287838045
64,39,2022-01,8.8,10.7,0.2159090909090908,2,state,0.026263341397320186,0.04098201381909003,0.05005812308351206
68,41,2016-07,9.25,11.25,0.2162162162162162,2,state,-0.0027451734825292284,0.07070920161501998,0.013447161499325845
72,44,2015-01,8.0,10.1,0.2624999999999999,3,state,-0.02051957812653976,-0.02864239619712025,0.004851798169052052
73,46,2015-01,7.25,8.85,0.2206896551724138,1,state,0.10070240128898868,-0.008887277633782331,0.0031767586436082713
74,46,2022-01,9.45,11.5,0.2169312169312169,2,state,0.010846930653938325,0.002978815430933618,0.003173022043351737
76,50,2018-01,10.0,11.75,0.175,2,state,0.10305311382398143,0.04423664371978828,0.003335222357791588
77,51,2021-05,7.25,13.5,0.8620689655172413,4,state,-0.049720500515729585,-0.04477856813290662,0.045295446116740246
80,53,2017-01,9.47,13.5,0.4255543822597676,2,state,0.0049463056577462305,0.012357008032817168,0.02900038569516552
