event_id,unit,event_ym,mw_before,mw_end,pct_window,n_steps,source,post_avg,pre_avg,weight
3,2,2010-01,7.25,7.75,0.0689655172413792,1,state,0.1451361313906422,0.08074741874648178,0.0027575744132399874
4,2,2015-01,7.75,9.84,0.2696774193548388,2,state,0.19941996350857544,0.16918145914034904,0.0042148864968545455
5,2,2024-01,10.85,13.0,0.1981566820276499,2,state,-0.061607163752013507,0.27703283834612064,0.0008508859109218967
7,4,2017-01,8.05,12.0,0.4906832298136645,3,state,0.07418385096887223,-0.020930437231962917,0.05262461224578577
9,5,2016-01,7.5,9.25,0.2333333333333334,3,state,-0.1320395964879777,-0.07637223991640107,0.017206950487643292
12,6,2014-07,8.0,11.0,0.375,3,state,0.04782674903723172,0.03802261442428234,0.10847765334890899
14,8,2017-01,8.31,12.0,0.4440433212996388,4,state,-0.11280458974109135,-0.05064550011118346,0.021183173981251153
16,9,2014-01,8.25,10.1,0.2242424242424241,3,state,0.04561066541462361,-0.07470881488296385,0.01447722076527027
19,10,2014-06,7.25,8.25,0.1379310344827586,2,state,0.03533703789986431,0.03302043023706824,0.004608384373747345
20,10,2019-01,8.25,10.5,0.2727272727272727,3,state,-0.08643976608467376,0.010147222627826136,0.002578352758895613
23,11,2014-07,8.25,12.5,0.5151515151515151,4,state,0.1464334226593352,0.009609977632433042,0.003032084205353275
25,12,2021-10,8.56,13.0,0.5186915887850467,4,state,-0.010444886843404722,-0.13037170557791486,0.08340769320346562
27,15,2015-01,7.25,10.1,0.3931034482758619,4,state,-0.1165954625862661,0.08244879577509046,0.0017935753287132196
28,15,2022-10,10.1,14.0,0.3861386138613862,2,state,0.09281618621129326,-0.030806882015480874,0.0029712059336777165
30,17,2020-01,8.25,13.0,0.5757575757575757,5,state,-0.018081613674874236,-0.042012077532642134,0.04010227701093357
36,23,2017-01,7.5,12.0,0.6000000000000001,4,state,-0.03931928874853194,-0.2778078095166894,0.003787634017889567
38,24,2015-01,7.25,10.1,0.3931034482758619,4,state,-0.028157748792590198,-0.05552919193297978,0.013274741144494817
41,25,2015-01,8.0,11.0,0.375,3,state,0.019985491446901982,0.004876792213050984,0.03241720051887996
43,26,2014-09,7.4,9.25,0.25,1,state,-0.10246337050279956,-0.10986888877907669,0.03687177284780392
44,26,2025-03,10.56,12.48,0.1818181818181818,1,state,0.1397553885782381,0.17703300744860562,0.04426692516803027
46,27,2014-08,7.25,9.65,0.3310344827586207,3,state,0.1110041216268088,0.24108052555680487,0.010109044515868764
48,29,2019-01,7.85,11.15,0.4203821656050956,4,state,-0.1729933472647509,-0.12787773225080537,0.025345124569668673
51,30,2022-01,8.75,10.55,0.2057142857142857,2,state,0.08674681635115533,0.11733407382894384,0.003073652660971781
52,31,2015-01,7.25,9.0,0.2413793103448276,2,state,0.119576740746175,0.03318890397524299,0.00602855756898784
53,31,2023-01,9.0,13.5,0.5,3,state,0.022190597963272857,0.2582458128754713,0.004423523420077474
55,32,2020-07,8.25,11.25,0.3636363636363635,4,state,-0.0979974008877361,-0.14435596918898158,0.004163316518129496
57,34,2014-01,7.25,8.44,0.1641379310344826,1,state,-0.0985750802291849,-0.01484534035970142,0.03148756188256992
58,34,2019-07,8.85,14.0,0.5819209039548023,5,state,-0.1726723739267565,-0.14727469397156995,0.020616377296013094
59,35,2020-01,7.5,12.0,0.6000000000000001,3,state,0.061267954265610464,-0.000393492343843449,0.004415030044935354
61,36,2014-01,7.25,9.7,0.3379310344827586,3,state,-0.08445050720094524,-0.09338215646739953,0.0364043476071441
64,39,2022-01,8.8,10.7,0.2159090909090908,2,state,0.11408602458819467,0.19802602319203672,0.06160245886858415
68,41,2016-07,9.25,11.25,0.2162162162162162,2,state,-0.1380734451768309,0.03580906802550138,0.017488515971255225
72,44,2015-01,8.0,10.1,0.2624999999999999,3,state,0.025122466452792994,0.032349259104828165,0.0036795524791147518
73,46,2015-01,7.25,8.85,0.2206896551724138,1,state,-0.06993486345399197,-0.10585239308306357,0.003111413244804166
74,46,2022-01,9.45,11.5,0.2169312169312169,2,state,0.09068875150875354,0.1448463299381671,0.004121180853098789
76,50,2018-01,10.0,11.75,0.175,2,state,-0.2867652026815793,-0.14581817543265435,0.001848438366689204
77,51,2021-05,7.25,13.5,0.8620689655172413,4,state,-0.04598264742401595,-0.028306552866900037,0.008867886327776657
80,53,2017-01,9.47,13.5,0.4255543822597676,2,state,0.1914488944957199,0.20051139645915061,0.020874055207174187
82,54,2015-01,7.25,8.75,0.2068965517241379,2,state,-0.013046087668278028,-0.035026043254280936,0.015853027501342747
