event_id,unit,event_ym,mw_before,mw_end,pct_window,n_steps,source,post_avg,pre_avg,weight
4,2,2015-01,7.75,9.84,0.2696774193548388,2,state,0.01619194370445702,0.05780316333567853,0.0039033946880933077
5,2,2024-01,10.85,13.0,0.1981566820276499,2,state,0.05191321524384129,0.1504869847577097,0.0034334444096893197
7,4,2017-01,8.05,12.0,0.4906832298136645,3,state,0.012336527951600534,0.09398368726844708,0.04009431979669078
9,5,2016-01,7.5,9.25,0.2333333333333334,3,state,-0.06647766356199467,-0.03847208474736449,0.008315583893891738
12,6,2014-07,8.0,11.0,0.375,3,state,-0.04089913314754298,-0.01898082731823461,0.1465634014329947
14,8,2017-01,8.31,12.0,0.4440433212996388,4,state,0.036997019024825224,0.010932546542824023,0.015201621804517722
16,9,2014-01,8.25,10.1,0.2242424242424241,3,state,-0.05110265939837545,-0.12638488108242057,0.013987562522468121
19,10,2014-06,7.25,8.25,0.1379310344827586,2,state,0.12749046549716136,0.0653273072178377,0.004610558995769886
20,10,2019-01,8.25,10.5,0.2727272727272727,3,state,-0.07380953098390138,0.05159640318199582,0.004180775302930966
23,11,2014-07,8.25,12.5,0.5151515151515151,4,state,0.005012996275317941,-0.09958562324526266,0.003034395176115555
25,12,2021-10,8.56,13.0,0.5186915887850467,4,state,-0.013031077365200622,-0.0003332541909722986,0.10036811581077555
27,15,2015-01,7.25,10.1,0.3931034482758619,4,state,0.04084526208432576,0.13190836790675173,0.010883993420656803
28,15,2022-10,10.1,14.0,0.3861386138613862,2,state,-0.031680635905560264,0.04036529495569116,0.011832817434221765
30,17,2020-01,8.25,13.0,0.5757575757575757,5,state,-0.017994683796982464,-0.053261308745171904,0.03525448846691054
36,23,2017-01,7.5,12.0,0.6000000000000001,4,state,-0.2999391047091903,-0.4797072701350852,0.0003347471797167837
38,24,2015-01,7.25,10.1,0.3931034482758619,4,state,0.024337749314682883,0.03476485054330625,0.01791642623371655
41,25,2015-01,8.0,11.0,0.375,3,state,0.08118526764018706,0.09293607831043377,0.021577107645488508
43,26,2014-09,7.4,9.25,0.25,1,state,-0.1439074197709671,-0.06678332294794939,0.0240125573062191
46,27,2014-08,7.25,9.65,0.3310344827586207,3,state,0.16228778875731575,0.07983099644748906,0.008826025115584875
48,29,2019-01,7.85,11.15,0.4203821656050956,4,state,0.08700468964215362,0.03256725469875832,0.01483173013283417
51,30,2022-01,8.75,10.55,0.2057142857142857,2,state,0.1041597823618621,0.14321855553077545,0.0017827531701381828
52,31,2015-01,7.25,9.0,0.2413793103448276,2,state,0.11055826074802913,0.09773082269414077,0.0034868961667754586
53,31,2023-01,9.0,13.5,0.5,3,state,-0.07600615203609633,-0.015716563552146956,0.004224624047583187
55,32,2020-07,8.25,11.25,0.3636363636363635,4,state,0.03373963250391694,0.07264485425608788,0.018534747636833094
57,34,2014-01,7.25,8.44,0.1641379310344826,1,state,0.05204222215967011,0.007257975874587985,0.04026750345983607
58,34,2019-07,8.85,14.0,0.5819209039548023,5,state,-0.061926465137474934,0.004935254949093887,0.037499751230997636
59,35,2020-01,7.5,12.0,0.6000000000000001,3,state,0.0504631976601118,0.03414455798858235,0.007524318803456143
61,36,2014-01,7.25,9.7,0.3379310344827586,3,state,-0.07268610462385042,-0.11348289047357918,0.013386429245785085
64,39,2022-01,8.8,10.7,0.2159090909090908,2,state,0.0559447593943047,0.1172575821294421,0.027033230586013254
68,41,2016-07,9.25,11.25,0.2162162162162162,2,state,0.019097741993552575,0.056881964782829725,0.011308360467096563
