event_id,unit,event_ym,mw_before,mw_end,pct_window,n_steps,state,post_avg,pre_avg,weight
4,2,2015-01,7.75,9.84,0.2696774193548388,2,Alaska,0.07899645648821225,0.25944978015593634,0.0032952204825579157
5,2,2024-01,10.85,13.0,0.1981566820276499,2,Alaska,-0.03066585951355949,0.106377486007187,0.0009394791686732451
7,4,2017-01,8.05,12.0,0.4906832298136645,3,Arizona,0.03165596762314063,0.037377258713612804,0.0467007501068677
9,5,2016-01,7.5,9.25,0.2333333333333334,3,Arkansas,-0.07399791125174524,-0.05430008475011777,0.018640079749587674
12,6,2014-07,8.0,11.0,0.375,3,California,0.04657555341170386,0.035077468897702746,0.24924088389774435
14,8,2017-01,8.31,12.0,0.4440433212996388,4,Colorado,-0.08114291029820875,-0.05837229892710333,0.019473136865158336
16,9,2014-01,8.25,10.1,0.2242424242424241,3,Connecticut,-0.13195836513389436,-0.11116891506797905,0.014212970652077219
19,10,2014-06,7.25,8.25,0.1379310344827586,2,Delaware,0.11419298329977347,0.09610115004772585,0.005210931625771045
20,10,2019-01,8.25,10.5,0.2727272727272727,3,Delaware,-0.18950831308169608,-0.0849438530797943,0.002103357138858015
23,11,2014-07,8.25,12.5,0.5151515151515151,4,District of Columbia,0.07342130551305906,-0.020320646075905446,0.0028382112186945713
25,12,2021-10,8.56,13.0,0.5186915887850467,4,Florida,-0.0018294869168716255,-0.0070070086879822635,0.08473363474728877
27,15,2015-01,7.25,10.1,0.3931034482758619,4,Hawaii,0.009804406883323721,0.011673785784368312,0.005261533112792274
28,15,2022-10,10.1,14.0,0.3861386138613862,2,Hawaii,0.13872728499586617,0.11798400805278347,0.0034905310375539893
30,17,2020-01,8.25,13.0,0.5757575757575757,5,Illinois,0.024137721721185085,-0.011624376135907832,0.04173474682683256
36,23,2017-01,7.5,12.0,0.6000000000000001,4,Maine,0.016875529185069155,0.0159489613207299,0.00528969386420734
38,24,2015-01,7.25,10.1,0.3931034482758619,4,Maryland,-0.11333718502584855,-0.14494221603869106,0.01906069487321574
41,25,2015-01,8.0,11.0,0.375,3,Massachusetts,-0.028939966862393696,0.014376925057158596,0.0353008808220177
43,26,2014-09,7.4,9.25,0.25,1,Michigan,-0.008534873248872976,0.06864947142950317,0.046450726708614276
46,27,2014-08,7.25,9.65,0.3310344827586207,3,Minnesota,0.0012299625158885413,-0.014843532357079414,0.024289666866393608
48,29,2019-01,7.85,11.15,0.4203821656050956,4,Missouri,-0.0668033302667178,-0.1318216762538235,0.019788901663464326
51,30,2022-01,8.75,10.55,0.2057142857142857,2,Montana,0.14759741852866975,0.17129282955858155,0.003591790068437472
52,31,2015-01,7.25,9.0,0.2413793103448276,2,Nebraska,-0.08868920871958258,-0.027716230545071052,0.006054273711429913
53,31,2023-01,9.0,13.5,0.5,3,Nebraska,-0.11880027110927044,0.0018032750559144328,0.008135847915321012
55,32,2020-07,8.25,11.25,0.3636363636363635,4,Nevada,0.021624650576086563,0.0163099451837089,0.012767621607523589
57,34,2014-01,7.25,8.44,0.1641379310344826,1,New Jersey,-0.0012316579881459233,-0.013467859144336847,0.03333894952153791
58,34,2019-07,8.85,14.0,0.5819209039548023,5,New Jersey,0.007853623941987548,0.027517215176655396,0.023287379695240477
59,35,2020-01,7.5,12.0,0.6000000000000001,3,New Mexico,-0.08212161981933393,-0.05541581115084232,0.014130984584761783
61,36,2014-01,7.25,9.7,0.3379310344827586,3,New York,0.0245273710851317,-0.0034050994443732274,0.10881019630501884
64,39,2022-01,8.8,10.7,0.2159090909090908,2,Ohio,-0.12629505418915293,-0.015636970831691965,0.0529751956279952
68,41,2016-07,9.25,11.25,0.2162162162162162,2,Oregon,-0.04990517459452677,-0.02119257809276759,0.02091396953546216
72,44,2015-01,8.0,10.1,0.2624999999999999,3,Rhode Island,0.03649972315571037,0.003962636100097505,0.005738330162479539
73,46,2015-01,7.25,8.85,0.2206896551724138,1,South Dakota,-0.09383679377151634,-0.15245093699442702,0.0032468840989528023
74,46,2022-01,9.45,11.5,0.2169312169312169,2,South Dakota,0.07976768049449375,-0.005894946550869334,0.0044280853506596714
76,50,2018-01,10.0,11.75,0.175,2,Vermont,-0.049650412856423715,-0.031852728405463604,0.0018644790684522157
77,51,2021-05,7.25,13.5,0.8620689655172413,4,Virginia,0.07732429306104903,0.12990259845816682,0.01483619068203327
80,53,2017-01,9.47,13.5,0.4255543822597676,2,Washington,0.11347204067533606,0.10117206082643387,0.024362980145089384
82,54,2015-01,7.25,8.75,0.2068965517241379,2,West Virginia,-0.010726271641677776,0.033229794174739424,0.013460810491234113
