event_id,unit,event_ym,mw_before,mw_end,pct_window,n_steps,source,post_avg,pre_avg,weight
4,2,2015-01,7.75,9.84,0.2696774193548388,2,state,-0.04917323539755705,0.0026982296565462582,0.004171455836720243
5,2,2024-01,10.85,13.0,0.1981566820276499,2,state,0.04932253975573103,0.06529721025842292,0.003859626046115564
7,4,2017-01,8.05,12.0,0.4906832298136645,3,state,-0.04596832622747099,0.032905575180416036,0.025476361619535707
9,5,2016-01,7.5,9.25,0.2333333333333334,3,state,0.001104109079864718,0.009473582660776747,0.009394848736104838
12,6,2014-07,8.0,11.0,0.375,3,state,-0.04588660768204589,-0.04822001665266906,0.09769878939739796
14,8,2017-01,8.31,12.0,0.4440433212996388,4,state,0.09576009111456338,0.15185302078352764,0.01534574414538417
16,9,2014-01,8.25,10.1,0.2242424242424241,3,state,-0.01930661017621918,-0.10158708587317672,0.021503655064544647
19,10,2014-06,7.25,8.25,0.1379310344827586,2,state,-0.04845307496593304,-0.05136374153147494,0.0043083708226988125
20,10,2019-01,8.25,10.5,0.2727272727272727,3,state,-0.045972697909189314,-0.0013291639358347651,0.00488421557487355
23,11,2014-07,8.25,12.5,0.5151515151515151,4,state,-0.0229486177707377,-0.11885316777543686,0.0012839574045956945
25,12,2021-10,8.56,13.0,0.5186915887850467,4,state,0.0697656840081618,0.07523983863951739,0.07754084126112117
27,15,2015-01,7.25,10.1,0.3931034482758619,4,state,0.09947032355416988,0.16470613008110097,0.006407785602433089
28,15,2022-10,10.1,14.0,0.3861386138613862,2,state,-0.005646374827249889,0.0230019080612755,0.0074392712465424695
30,17,2020-01,8.25,13.0,0.5757575757575757,5,state,-0.0665385181523305,-0.0740806873199607,0.05500654533988312
36,23,2017-01,7.5,12.0,0.6000000000000001,4,state,-0.1246730413511406,-0.1936800276062307,0.0032830837297932957
38,24,2015-01,7.25,10.1,0.3931034482758619,4,state,0.026040831507394585,0.056894506163402525,0.021249852168677214
41,25,2015-01,8.0,11.0,0.375,3,state,-0.056799817087772736,-0.02466137971531379,0.03416676361126595
43,26,2014-09,7.4,9.25,0.25,1,state,-0.07671790122501801,-0.02262968697776957,0.044033183243096075
46,27,2014-08,7.25,9.65,0.3310344827586207,3,state,0.012455281820427044,0.0029374351403277377,0.025341433422297745
48,29,2019-01,7.85,11.15,0.4203821656050956,4,state,-0.06162675207373594,-0.08523137161538791,0.027701279749157173
51,30,2022-01,8.75,10.55,0.2057142857142857,2,state,-0.03554916385619303,-0.011698456323666118,0.005055663726768391
52,31,2015-01,7.25,9.0,0.2413793103448276,2,state,0.042388965391387506,0.013736847534425944,0.007096777983049837
53,31,2023-01,9.0,13.5,0.5,3,state,0.015479242390680473,-0.059608280833541416,0.009471612561397414
55,32,2020-07,8.25,11.25,0.3636363636363635,4,state,-0.04085145523486357,0.007505413781579706,0.014802910556954098
57,34,2014-01,7.25,8.44,0.1641379310344826,1,state,0.023978793194082332,0.001771416629550937,0.04975073763058915
58,34,2019-07,8.85,14.0,0.5819209039548023,5,state,0.0037676882216868546,0.016309396928535447,0.04936736050592527
59,35,2020-01,7.5,12.0,0.6000000000000001,3,state,0.07446884726444236,0.07529424573771587,0.004145132266750616
61,36,2014-01,7.25,9.7,0.3379310344827586,3,state,0.05815697880053067,0.007632296483473133,0.03230257378087375
64,39,2022-01,8.8,10.7,0.2159090909090908,2,state,0.03975672853113105,0.027904821184676687,0.05433072947817507
68,41,2016-07,9.25,11.25,0.2162162162162162,2,state,-0.042914276669393736,0.03168083182369347,0.015158424229571893
72,44,2015-01,8.0,10.1,0.2624999999999999,3,state,-0.0036674291309899965,-0.0029913936853327994,0.005058552553639017
73,46,2015-01,7.25,8.85,0.2206896551724138,1,state,0.060069102588973994,-0.0007952020641551205,0.003317806184393232
74,46,2022-01,9.45,11.5,0.2169312169312169,2,state,-0.04236612698916857,-0.02007046666407014,0.0034035834168452688
76,50,2018-01,10.0,11.75,0.175,2,state,0.020518867498060506,-0.0238234448933638,0.0036039032514071975
77,51,2021-05,7.25,13.5,0.8620689655172413,4,state,-0.080612689291966,-0.05881778770699492,0.04556636232673234
80,53,2017-01,9.47,13.5,0.4255543822597676,2,state,0.02099678732987298,0.05032984572540633,0.030340198882676226
82,54,2015-01,7.25,8.75,0.2068965517241379,2,state,-0.048500350202995174,-0.00044126574929864715,0.006658762534201058
90,6001,2014-07,8.0,13.23,0.65375,2,both,0.05975889769483603,-0.01616735913863021,0.009434415878605735
96,6037,2014-07,8.0,12.0,0.5,4,both,0.008701161738746355,-0.01408928651350666,0.03513896571690177
102,6073,2014-07,8.0,11.5,0.4375,4,both,-0.020589944783521885,0.0872464643582534,0.011517249917424676
104,6075,2015-05,11.05,15.0,0.3574660633484161,4,local,0.19086055122238385,-0.20227053033710204,0.0030942425735756745
107,6081,2014-07,8.0,13.5,0.6875,4,both,0.02781697423401097,-0.2091702301178205,0.003271198927704019
110,6085,2013-04,8.0,10.5,0.3125,1,local,0.15125512566343424,0.08407817940697765,0.003899427787612233
111,6085,2017-07,10.5,15.45,0.4714285714285713,3,local,0.20409433037695413,0.15842871015225263,0.006915748505644167
114,6097,2014-07,8.0,11.0,0.375,3,both,0.22570202163294817,0.2091799161377756,0.0028171607942605727
116,8031,2017-01,8.31,12.85,0.5463297232250299,4,both,0.0786302127496881,0.07639843813404479,0.0024743958348921262
118,17031,2015-07,8.25,12.0,0.4545454545454546,3,local,0.17093162822609964,0.13934831291675215,0.009718590427212391
134,23005,2016-01,7.5,11.0,0.4666666666666665,2,local,-0.06845307396602837,0.02171117509017295,0.0010980000998917334
136,24031,2014-10,7.25,12.25,0.6896551724137931,5,local,-0.007098085515008401,,0.0002798950594378039
138,24033,2014-10,7.25,11.5,0.5862068965517242,4,local,-0.055601559404147655,0.09515369652222438,0.004409400855555515
140,27053,2014-08,7.25,11.25,0.5517241379310345,5,both,0.09024108844842216,0.2019695463104858,0.0011192706241069405
142,27123,2014-08,7.25,9.65,0.3310344827586207,3,both,-0.05447436554574478,-0.03348214476460892,0.002564580344509073
143,27123,2020-01,9.86,15.0,0.5212981744421907,2,local,-0.1612717576228872,-0.07263647558566916,0.0025042737198354174
