event_id,unit,event_ym,mw_before,mw_end,pct_window,n_steps,source,post_avg,pre_avg,weight
4,2,2015-01,7.75,9.84,0.2696774193548388,2,state,-0.02370800159787248,0.07247129898811144,0.0041366304360109015
7,4,2017-01,8.05,12.0,0.4906832298136645,3,state,-0.009922615151610692,0.03710493097609935,0.03433306604005407
9,5,2016-01,7.5,9.25,0.2333333333333334,3,state,-0.026857643859076685,-0.04198656285463481,0.013144951619988441
12,6,2014-07,8.0,11.0,0.375,3,state,-0.019363331767710462,-0.012421569032661617,0.11566248453738771
14,8,2017-01,8.31,12.0,0.4440433212996388,4,state,0.046478522626757335,0.08897888449195301,0.01720572559932212
16,9,2014-01,8.25,10.1,0.2242424242424241,3,state,-0.054289150409326636,-0.09555092426998296,0.020377554352726562
20,10,2019-01,8.25,10.5,0.2727272727272727,3,state,-0.08089173293545365,-0.012313791016134779,0.0042445526599623655
23,11,2014-07,8.25,12.5,0.5151515151515151,4,state,0.02553391695207241,-0.07666778618064152,0.0018956900837795406
25,12,2021-10,8.56,13.0,0.5186915887850467,4,state,0.050754789821763596,0.051508937602468385,0.08490660659824828
27,15,2015-01,7.25,10.1,0.3931034482758619,4,state,0.06495487947976109,0.1090826405134091,0.006422452798656574
28,15,2022-10,10.1,14.0,0.3861386138613862,2,state,0.021499118847770032,0.041662883049880806,0.006562878134987048
30,17,2020-01,8.25,13.0,0.5757575757575757,5,state,-0.05573982241794562,-0.06358387876229177,0.04971452976645364
36,23,2017-01,7.5,12.0,0.6000000000000001,4,state,-0.034941995722545804,-0.08278674604626218,0.0039149761051992015
38,24,2015-01,7.25,10.1,0.3931034482758619,4,state,-0.011931123803020333,0.004615274646726175,0.019762563174904706
41,25,2015-01,8.0,11.0,0.375,3,state,-0.047948966750114314,-0.006939983755639201,0.03671778026849794
43,26,2014-09,7.4,9.25,0.25,1,state,-0.05771723163322509,0.0067698541471827856,0.04764708655655112
46,27,2014-08,7.25,9.65,0.3310344827586207,3,state,-0.0006462777351236293,-0.03197827039577639,0.02443865510574056
48,29,2019-01,7.85,11.15,0.4203821656050956,4,state,-0.0700140178103931,-0.11171730957997611,0.026755548956500105
51,30,2022-01,8.75,10.55,0.2057142857142857,2,state,0.00786357320448286,0.03204757496891347,0.004876300160358382
52,31,2015-01,7.25,9.0,0.2413793103448276,2,state,0.0009382264194541245,-0.004725273736625679,0.007190488738419381
53,31,2023-01,9.0,13.5,0.5,3,state,0.00612697298795703,-0.04421053105412909,0.009615656140359469
55,32,2020-07,8.25,11.25,0.3636363636363635,4,state,-0.02584783387505707,0.009307600925359982,0.015045893629693432
58,34,2019-07,8.85,14.0,0.5819209039548023,5,state,0.0006747953559953501,0.020905795729980692,0.04359390718655598
59,35,2020-01,7.5,12.0,0.6000000000000001,3,state,0.03558376172632724,0.04528184670047353,0.00489334900905901
61,36,2014-01,7.25,9.7,0.3379310344827586,3,state,0.027879886097358697,-0.012255542143880638,0.03386619551784287
64,39,2022-01,8.8,10.7,0.2159090909090908,2,state,0.0003878554056524486,0.015288962151693064,0.05730921863064593
68,41,2016-07,9.25,11.25,0.2162162162162162,2,state,-0.03531401851241511,0.003624176209854779,0.017330625899497784
72,44,2015-01,8.0,10.1,0.2624999999999999,3,state,0.014008189188119163,-0.0025597291751404683,0.005610924642718618
73,46,2015-01,7.25,8.85,0.2206896551724138,1,state,-0.003455268755423957,-0.06665229720196375,0.0035037391825804816
74,46,2022-01,9.45,11.5,0.2169312169312169,2,state,-0.0009053940236852381,-0.004479994576649826,0.003968778834963415
77,51,2021-05,7.25,13.5,0.8620689655172413,4,state,-0.06369167970679493,-0.03556711405652735,0.03796522302801855
80,53,2017-01,9.47,13.5,0.4255543822597676,2,state,0.04091055363354529,0.06561700255390723,0.028408473302570552
82,54,2015-01,7.25,8.75,0.2068965517241379,2,state,-0.02473473644479715,0.01995191952518749,0.009401800621855404
90,6001,2014-07,8.0,13.23,0.65375,2,both,0.0718037962122631,0.001675822795627946,0.007975071092050869
93,6013,2014-07,8.0,13.41,0.67625,5,both,,,0.0
96,6037,2014-07,8.0,12.0,0.5,4,both,0.03871876681220873,-0.010617310901372579,0.053602754921475544
99,6041,2014-07,8.0,11.0,0.375,3,both,,,0.0
102,6073,2014-07,8.0,11.5,0.4375,4,both,0.0011516507470245851,0.09786555963728488,0.015202548106468608
104,6075,2015-05,11.05,15.0,0.3574660633484161,4,local,0.13357807915112874,0.024607068913947594,0.0027270206751578985
107,6081,2014-07,8.0,13.5,0.6875,4,both,-0.004304732376464587,-0.2764817960605078,0.0026150750007015657
110,6085,2013-04,8.0,10.5,0.3125,1,local,0.08234803746193814,0.026578591938843377,0.004744881246001292
111,6085,2017-07,10.5,15.45,0.4714285714285713,3,local,0.17168833799474195,0.1107044760531034,0.005827009499977148
114,6097,2014-07,8.0,11.0,0.375,3,both,0.12074283372874633,0.13822980643642102,0.002862542293108795
116,8031,2017-01,8.31,12.85,0.5463297232250299,4,both,-0.0418172657228488,-0.017288051406829597,0.002307178438087212
118,17031,2015-07,8.25,12.0,0.4545454545454546,3,local,0.10983857028766428,0.042029500751698645,0.011881874197003215
134,23005,2016-01,7.5,11.0,0.4666666666666665,2,local,-0.06767689485280191,0.022932416001035794,0.001001983845274127
136,24031,2014-10,7.25,12.25,0.6896551724137931,5,local,0.22397779279311797,,0.0006069799758396238
138,24033,2014-10,7.25,11.5,0.5862068965517242,4,local,-0.02415016446409482,0.10378369726302711,0.004499580314154289
140,27053,2014-08,7.25,11.25,0.5517241379310345,5,both,0.14372387148138743,0.18169481886483452,0.0018592653670587668
142,27123,2014-08,7.25,9.65,0.3310344827586207,3,both,0.00876491749353972,0.06332479601896507,0.0029496066484589537
143,27123,2020-01,9.86,15.0,0.5212981744421907,2,local,-0.18018217215750368,-0.15301763585400047,0.0019708152670100255
146,35001,2021-01,9.35,11.5,0.2299465240641711,2,both,0.01128244727883676,0.005785481507160184,0.0034660369030448477
