event_id,unit,event_ym,mw_before,mw_end,pct_window,n_steps,source,post_avg,pre_avg,weight
3,2,2010-01,7.25,7.75,0.0689655172413792,1,state,0.0019405223736355948,-0.08178609993455987,0.003341828927886699
4,2,2015-01,7.75,9.84,0.2696774193548388,2,state,0.014154319182757585,0.012273142376933222,0.0046288080078357025
5,2,2024-01,10.85,13.0,0.1981566820276499,2,state,-0.06414713820728402,-0.0018308934658613496,0.003789037564958675
7,4,2017-01,8.05,12.0,0.4906832298136645,3,state,-0.13732394500180772,-0.06999187701911397,0.022594538775476892
9,5,2016-01,7.5,9.25,0.2333333333333334,3,state,-0.004129264668105648,-0.07087284308770153,0.009297786292098712
12,6,2014-07,8.0,11.0,0.375,3,state,-0.04345452622916518,-0.018230095310124428,0.07237762284944696
14,8,2017-01,8.31,12.0,0.4440433212996388,4,state,0.10979599567799261,0.027873756188411536,0.018436388706434572
16,9,2014-01,8.25,10.1,0.2242424242424241,3,state,-0.022772535690834733,-0.04988105597831288,0.0215844254086133
19,10,2014-06,7.25,8.25,0.1379310344827586,2,state,-0.04101672960822214,-0.09130985013496912,0.005368113671545336
20,10,2019-01,8.25,10.5,0.2727272727272727,3,state,-0.03318972639549503,-0.01156287682155932,0.005413134314578296
23,11,2014-07,8.25,12.5,0.5151515151515151,4,state,0.06386465397469426,-0.13244564275864107,0.001014504814312638
25,12,2021-10,8.56,13.0,0.5186915887850467,4,state,-0.056516186564089715,0.0248064608505571,0.07939571838692744
27,15,2015-01,7.25,10.1,0.3931034482758619,4,state,-0.022789881865081935,0.038017325454743955,0.003250356825336697
28,15,2022-10,10.1,14.0,0.3861386138613862,2,state,-0.013275685086202166,0.031010503477554185,0.006850232002739027
30,17,2020-01,8.25,13.0,0.5757575757575757,5,state,-0.10235072892416508,-0.06663408942093685,0.04795409320741619
36,23,2017-01,7.5,12.0,0.6000000000000001,4,state,-0.07916949529019518,-0.07475244064853354,0.002059304789278472
38,24,2015-01,7.25,10.1,0.3931034482758619,4,state,0.012890540395158412,-0.007205144906849037,0.012109740568898015
41,25,2015-01,8.0,11.0,0.375,3,state,-0.004218981052073856,-0.014235004996001832,0.037703349658321894
43,26,2014-09,7.4,9.25,0.25,1,state,-0.000561638400836173,-0.00015754088945718614,0.04007931976921854
44,26,2025-03,10.56,12.48,0.1818181818181818,1,state,0.10285718523633314,0.09950667433642468,0.0486687450115669
46,27,2014-08,7.25,9.65,0.3310344827586207,3,state,-0.02556194189303851,-0.016607456472790494,0.028377323717989796
48,29,2019-01,7.85,11.15,0.4203821656050956,4,state,0.05729637793439732,-0.037348359844597334,0.044275937145542885
51,30,2022-01,8.75,10.55,0.2057142857142857,2,state,-0.07450368705412785,0.020306800086091814,0.007163138297059489
52,31,2015-01,7.25,9.0,0.2413793103448276,2,state,-0.02912233941505829,0.01976191929086102,0.008293292869293091
53,31,2023-01,9.0,13.5,0.5,3,state,0.06929825331799963,0.03385425693462063,0.010698607978366671
55,32,2020-07,8.25,11.25,0.3636363636363635,4,state,0.07852130387927653,0.10686358802080836,0.016762416665274216
57,34,2014-01,7.25,8.44,0.1641379310344826,1,state,-0.054899558772627005,-0.05891744566322821,0.04419239568194626
58,34,2019-07,8.85,14.0,0.5819209039548023,5,state,-0.0967453286631948,-0.04198861496841638,0.04944844680105094
