event_id,unit,event_ym,mw_before,mw_end,pct_window,n_steps,source,post_avg,pre_avg,weight
4,2,2015-01,7.75,9.84,0.2696774193548388,2,state,0.05896445929825793,0.2451591878640667,0.0036046160870743943
5,2,2024-01,10.85,13.0,0.1981566820276499,2,state,-0.03657071881265367,0.12829374375040464,0.0013160157256722903
7,4,2017-01,8.05,12.0,0.4906832298136645,3,state,0.019200688917900416,0.04548514342594667,0.04544125618143568
9,5,2016-01,7.5,9.25,0.2333333333333334,3,state,-0.08659846318569298,-0.05711771946288252,0.01813546295667652
12,6,2014-07,8.0,11.0,0.375,3,state,0.016416005823881502,0.035955247657522005,0.1366220248409289
14,8,2017-01,8.31,12.0,0.4440433212996388,4,state,0.03600962221208995,-0.020805437238240965,0.016165684629520317
16,9,2014-01,8.25,10.1,0.2242424242424241,3,state,-0.161666308238785,-0.136825844732748,0.014665239621523031
19,10,2014-06,7.25,8.25,0.1379310344827586,2,state,0.12272891736423011,0.06012390585645211,0.004987650004819752
20,10,2019-01,8.25,10.5,0.2727272727272727,3,state,-0.11032576545911464,0.036225923301600016,0.0027852035468268546
23,11,2014-07,8.25,12.5,0.5151515151515151,4,state,0.07689039277051546,0.003872594281072672,0.002699185924190046
25,12,2021-10,8.56,13.0,0.5186915887850467,4,state,0.0022328929839801614,-0.021851232855051472,0.08474958054186794
27,15,2015-01,7.25,10.1,0.3931034482758619,4,state,0.045856088332823924,0.016859559854751127,0.0047894658343450025
28,15,2022-10,10.1,14.0,0.3861386138613862,2,state,0.16111629848188186,0.16517373691899528,0.0035999808050136916
30,17,2020-01,8.25,13.0,0.5757575757575757,5,state,0.02143805598828298,-0.02688616371547431,0.03303515025747696
36,23,2017-01,7.5,12.0,0.6000000000000001,4,state,-0.02912911958601841,-0.08483752421225119,0.003823289645689686
38,24,2015-01,7.25,10.1,0.3931034482758619,4,state,-0.07132033998542214,-0.14131528456976084,0.011600856230872071
41,25,2015-01,8.0,11.0,0.375,3,state,-0.045282966636811695,0.014017528809402047,0.030777061541791894
43,26,2014-09,7.4,9.25,0.25,1,state,0.012750879111799424,0.07133840106793521,0.04131866525724488
46,27,2014-08,7.25,9.65,0.3310344827586207,3,state,-0.043705097687423394,-0.04964314738926445,0.017895348504418547
48,29,2019-01,7.85,11.15,0.4203821656050956,4,state,-0.040668743516111494,-0.07365336516347196,0.020517689959922834
51,30,2022-01,8.75,10.55,0.2057142857142857,2,state,0.16284758781932435,0.17298421657822866,0.0030904221542343967
52,31,2015-01,7.25,9.0,0.2413793103448276,2,state,-0.10696884496011272,-0.01952997531075401,0.006749398426477737
53,31,2023-01,9.0,13.5,0.5,3,state,-0.1455447641782996,0.028481398633753652,0.006719735345158615
55,32,2020-07,8.25,11.25,0.3636363636363635,4,state,0.09948832449683487,0.002438636917126369,0.011464427294152197
57,34,2014-01,7.25,8.44,0.1641379310344826,1,state,-0.014463717732807163,0.011830443709612393,0.03293991988618152
58,34,2019-07,8.85,14.0,0.5819209039548023,5,state,-0.03893099391024313,-0.03376040967537974,0.022138893500542656
59,35,2020-01,7.5,12.0,0.6000000000000001,3,state,-0.01820220927411066,0.025577898518751585,0.00481650297514214
61,36,2014-01,7.25,9.7,0.3379310344827586,3,state,-0.0017776338220784893,-0.05194222648717517,0.032865944575313624
64,39,2022-01,8.8,10.7,0.2159090909090908,2,state,-0.08827347311104937,-0.028082986695070367,0.05548903757462452
68,41,2016-07,9.25,11.25,0.2162162162162162,2,state,-0.06719599049169625,-0.009866512410140471,0.018990277736100975
72,44,2015-01,8.0,10.1,0.2624999999999999,3,state,0.08449867739120223,0.025537047233772814,0.005356433745229861
73,46,2015-01,7.25,8.85,0.2206896551724138,1,state,-0.06643022759244407,-0.11554007252768611,0.003181165500228314
74,46,2022-01,9.45,11.5,0.2169312169312169,2,state,0.011437463622845617,-0.03570071055234103,0.0036198798468486818
76,50,2018-01,10.0,11.75,0.175,2,state,-0.08544073115884716,0.003404541731818589,0.002363317664764955
77,51,2021-05,7.25,13.5,0.8620689655172413,4,state,0.0509632942452439,0.04888900422678405,0.01793061850446183
80,53,2017-01,9.47,13.5,0.4255543822597676,2,state,0.0370389680999314,0.11169083670275376,0.020479163436406895
82,54,2015-01,7.25,8.75,0.2068965517241379,2,state,0.01662557362938527,0.06647772495639082,0.013170172699490454
90,6001,2014-07,8.0,13.23,0.65375,2,both,0.20198536746777596,0.03979614451254887,0.005582072500782008
96,6037,2014-07,8.0,12.0,0.5,4,both,0.042043582217212105,-0.018689227044315304,0.07515654578269897
102,6073,2014-07,8.0,11.5,0.4375,4,both,0.07204660830307208,0.14779015734357498,0.019752792044745823
104,6075,2015-05,11.05,15.0,0.3574660633484161,4,local,-0.102974060989056,-0.04894838258328099,0.0014832239652511827
107,6081,2014-07,8.0,13.5,0.6875,4,both,-0.5002126826193413,-0.5221321903048399,0.0008119193214372023
110,6085,2013-04,8.0,10.5,0.3125,1,local,0.1802973027749109,-0.06320318033695388,0.0059008247641203545
111,6085,2017-07,10.5,15.45,0.4714285714285713,3,local,-0.08496158998447018,-0.08224231265999044,0.0027609294746816565
114,6097,2014-07,8.0,11.0,0.375,3,both,-0.31776856110345325,-0.2155860719619292,0.0018376552301505155
116,8031,2017-01,8.31,12.85,0.5463297232250299,4,both,-0.2525084382592097,0.09887407803625514,0.0023700894793011826
118,17031,2015-07,8.25,12.0,0.4545454545454546,3,local,0.06407920813559878,0.008944321953772316,0.0171214444263549
134,23005,2016-01,7.5,11.0,0.4666666666666665,2,local,-0.2258318583836285,0.11073098629598299,0.0008821123209015966
136,24031,2014-10,7.25,12.25,0.6896551724137931,5,local,0.23022635226520116,,0.0005702982469038432
138,24033,2014-10,7.25,11.5,0.5862068965517242,4,local,-0.0008484173473735229,0.12225879251375232,0.0037327349933845917
140,27053,2014-08,7.25,11.25,0.5517241379310345,5,both,0.10811829446863186,0.24757386441422313,0.0028979374287933448
142,27123,2014-08,7.25,9.65,0.3310344827586207,3,both,-0.08627173000955445,0.09823633672023196,0.0033189702272170343
143,27123,2020-01,9.86,15.0,0.5212981744421907,2,local,-0.1282972433217696,-0.7815407306569248,0.0005084134701530104
145,35001,2013-01,7.5,8.75,0.1666666666666667,1,local,0.05895666121867266,-0.1603038106724986,0.007072030406254446
146,35001,2021-01,9.35,11.5,0.2299465240641711,2,both,-0.0486000891046529,-0.015624584207998948,0.003659182765576326
147,35013,2015-01,7.5,9.2,0.2266666666666665,2,local,0.16180701156535984,0.1684043814806772,0.0021737979512555304
148,35013,2023-01,10.5,11.5,0.0952380952380953,1,local,-0.15564264298418848,-0.19818730464869433,0.002522327879196482
151,35049,2022-03,12.32,12.95,0.0511363636363635,1,local,0.4673280735265495,0.16540182477790605,0.0004591185676233485
153,36005,2014-01,7.25,11.0,0.5172413793103448,3,both,-0.12437105862959652,-0.09642480836716621,0.011841113840337392
155,36047,2014-01,7.25,11.0,0.5172413793103448,3,both,0.062221740126358394,0.05234759220991764,0.01599832455887401
157,36059,2014-01,7.25,10.0,0.3793103448275863,3,both,0.06525752127304582,0.08372018396196301,0.004257910623651241
159,36061,2014-01,7.25,11.0,0.5172413793103448,3,both,-0.06209881427656169,-0.2286556585140811,0.009477722111386599
161,36081,2014-01,7.25,11.0,0.5172413793103448,3,both,0.05396014939911456,-0.059194362627685404,0.018213657301896436
163,36085,2014-01,7.25,11.0,0.5172413793103448,3,both,0.25907486499804155,0.13266128008485248,0.0003835944822933122
165,36103,2014-01,7.25,10.0,0.3793103448275863,3,both,0.03389097530899124,0.15770266109824232,0.005267082160910832
167,36119,2014-01,7.25,10.0,0.3793103448275863,3,both,0.6799804057290154,0.2033410933345917,0.004987074263877154
227,41051,2016-07,9.25,12.5,0.3513513513513513,3,both,-0.11210673912527044,0.33639188478160253,0.002584839870009774
254,53033,2015-04,9.47,16.0,0.6895459345300949,3,local,0.2404651701134739,0.23199694094049234,0.004323051790351729
255,53033,2021-01,15.75,17.27,0.0965079365079364,1,local,-0.056902668205270755,-0.1328183206346611,0.0015399092636034677
258,53053,2016-02,9.47,12.35,0.3041182682154169,3,local,0.23401588297839424,0.035104256429099645,0.0006565595233540627
