event_id,unit,event_ym,mw_before,mw_end,pct_window,n_steps,source,post_avg,pre_avg,weight
4,2,2015-01,7.75,9.84,0.2696774193548388,2,state,-0.012352840466128556,0.09277670178469333,0.005311352953866948
5,2,2024-01,10.85,13.0,0.1981566820276499,2,state,0.02455742739421743,0.10316342486509036,0.004331159598331412
7,4,2017-01,8.05,12.0,0.4906832298136645,3,state,-0.007519611660762565,0.008923506380198565,0.02538423575880084
9,5,2016-01,7.5,9.25,0.2333333333333334,3,state,0.034173844097456024,0.019932575288427345,0.013682319616065327
12,6,2014-07,8.0,11.0,0.375,3,state,-0.024897191510338923,-0.007983026198338738,0.08719021434900223
14,8,2017-01,8.31,12.0,0.4440433212996388,4,state,0.09859812666739051,0.15811945958414475,0.016172498613579455
16,9,2014-01,8.25,10.1,0.2242424242424241,3,state,-0.04222834498903397,-0.07276204168436029,0.021660289141914722
19,10,2014-06,7.25,8.25,0.1379310344827586,2,state,-0.0852703377125216,-0.021372682585683644,0.00423319366362896
20,10,2019-01,8.25,10.5,0.2727272727272727,3,state,-0.03989767052046672,-0.060925948343169944,0.0042125083116473965
23,11,2014-07,8.25,12.5,0.5151515151515151,4,state,0.07884967964899062,0.03164836234198298,0.0005494062313922288
25,12,2021-10,8.56,13.0,0.5186915887850467,4,state,0.044502054375052835,0.048634476458337295,0.05798271425792569
27,15,2015-01,7.25,10.1,0.3931034482758619,4,state,0.07038031849659318,0.10646157232394737,0.008266326613425622
28,15,2022-10,10.1,14.0,0.3861386138613862,2,state,0.00847408892720164,0.03312626219896592,0.008402002182655785
30,17,2020-01,8.25,13.0,0.5757575757575757,5,state,-0.09797470105013256,-0.09922811516278307,0.05224681319458755
36,23,2017-01,7.5,12.0,0.6000000000000001,4,state,-0.0301533547322283,-0.08321256036686164,0.005754276605971395
38,24,2015-01,7.25,10.1,0.3931034482758619,4,state,-0.07572534055293456,-0.008834634482516146,0.01835546459417368
41,25,2015-01,8.0,11.0,0.375,3,state,-0.05626661128452898,-0.012050070785169842,0.041858376282438235
43,26,2014-09,7.4,9.25,0.25,1,state,-0.06330895665986935,0.012517874248660465,0.05750568333269075
46,27,2014-08,7.25,9.65,0.3310344827586207,3,state,-0.03105192509258209,-0.028076130105698704,0.03221431036492049
48,29,2019-01,7.85,11.15,0.4203821656050956,4,state,-0.08526904983092315,-0.1447997236602071,0.029994468719234
51,30,2022-01,8.75,10.55,0.2057142857142857,2,state,0.011300738618089612,0.040101000204030596,0.0067549907745571135
52,31,2015-01,7.25,9.0,0.2413793103448276,2,state,0.010939199099115532,0.013154616470240854,0.008364605330966241
53,31,2023-01,9.0,13.5,0.5,3,state,0.027355115247137036,-0.04533002021175758,0.011925827852533355
55,32,2020-07,8.25,11.25,0.3636363636363635,4,state,-0.03210820764005269,-0.03620841465116853,0.011876083519894444
57,34,2014-01,7.25,8.44,0.1641379310344826,1,state,-0.009781939240015386,-0.017871383619734116,0.044334186279851265
58,34,2019-07,8.85,14.0,0.5819209039548023,5,state,0.009389640734255827,0.011354381280652748,0.04307067130485477
59,35,2020-01,7.5,12.0,0.6000000000000001,3,state,-0.01797494289598224,-0.0063086314616575545,0.0035183351973573206
61,36,2014-01,7.25,9.7,0.3379310344827586,3,state,0.01707870417034646,-0.014362225830080233,0.04275803762469799
64,39,2022-01,8.8,10.7,0.2159090909090908,2,state,-0.008881602018555257,0.018808918146631992,0.06891794937630442
68,41,2016-07,9.25,11.25,0.2162162162162162,2,state,-0.05735139168575461,0.0016446269441823813,0.01968481777926805
72,44,2015-01,8.0,10.1,0.2624999999999999,3,state,0.0036963037519552044,-0.0012181394520057176,0.006178619112658177
73,46,2015-01,7.25,8.85,0.2206896551724138,1,state,-0.009134713479919954,-0.07791065657816293,0.004677284256533047
74,46,2022-01,9.45,11.5,0.2169312169312169,2,state,0.011204819604610922,0.0020374742482724972,0.005473847154178738
