event_id,unit,event_ym,mw_before,mw_end,pct_window,n_steps,state,post_avg,pre_avg,weight
4,2,2015-01,7.75,9.84,0.2696774193548388,2,Alaska,-0.001805183721196757,0.028211760134694952,0.00393580300635924
5,2,2024-01,10.85,13.0,0.1981566820276499,2,Alaska,-0.07430813093696637,-0.11827552105390593,0.0029566692385949982
7,4,2017-01,8.05,12.0,0.4906832298136645,3,Arizona,0.003410311039787825,-0.015342780415781576,0.03266624529995094
9,5,2016-01,7.5,9.25,0.2333333333333334,3,Arkansas,0.032811929787237126,0.006902075588300111,0.01250678321515423
12,6,2014-07,8.0,11.0,0.375,3,California,0.012285632823313852,0.01194564291647185,0.19741789510000537
14,8,2017-01,8.31,12.0,0.4440433212996388,4,Colorado,0.023532172000157434,-0.0014398468813667797,0.018565580745302197
16,9,2014-01,8.25,10.1,0.2242424242424241,3,Connecticut,-0.003099565946841479,0.05695672056007567,0.0193882535373529
19,10,2014-06,7.25,8.25,0.1379310344827586,2,Delaware,0.02316158769144308,0.0018543926693787294,0.004651891154854466
20,10,2019-01,8.25,10.5,0.2727272727272727,3,Delaware,-0.054393794262947145,-0.07280490183952132,0.004038485762300754
23,11,2014-07,8.25,12.5,0.5151515151515151,4,District of Columbia,0.037457335736548775,0.07470414986743487,0.0018036570697526175
25,12,2021-10,8.56,13.0,0.5186915887850467,4,Florida,0.0019743315752019097,-0.009049038102156709,0.08078451354997142
27,15,2015-01,7.25,10.1,0.3931034482758619,4,Hawaii,0.008085695313544056,-0.04916677982006812,0.006110651996635419
28,15,2022-10,10.1,14.0,0.3861386138613862,2,Hawaii,0.05289755995293363,0.006224203313246829,0.006244259885821541
30,17,2020-01,8.25,13.0,0.5757575757575757,5,Illinois,0.034556951826941906,0.05050426466940691,0.05667741956143351
36,23,2017-01,7.5,12.0,0.6000000000000001,4,Maine,0.02019419770934673,0.040174397120711636,0.005125577911299953
38,24,2015-01,7.25,10.1,0.3931034482758619,4,Maryland,0.08720828120864588,0.048242099299510954,0.024090931357744216
41,25,2015-01,8.0,11.0,0.375,3,Massachusetts,-0.019340799893235283,-0.037301504797389334,0.03493518509885356
43,26,2014-09,7.4,9.25,0.25,1,Michigan,0.04547166149571613,0.0324588483641135,0.04533388936101679
46,27,2014-08,7.25,9.65,0.3310344827586207,3,Minnesota,0.0030998085650565943,-0.034737264305613746,0.02782760194633891
48,29,2019-01,7.85,11.15,0.4203821656050956,4,Missouri,0.019306303915066617,0.06611492698910851,0.025456605720218472
51,30,2022-01,8.75,10.55,0.2057142857142857,2,Montana,0.07514945641559143,0.05049509261768609,0.004639562834517128
52,31,2015-01,7.25,9.0,0.2413793103448276,2,Nebraska,-0.048752090047255725,-0.05237175976755304,0.006841400901443417
53,31,2023-01,9.0,13.5,0.5,3,Nebraska,0.02026529666982002,-0.03007009287748047,0.00914882993072958
55,32,2020-07,8.25,11.25,0.3636363636363635,4,Nevada,-0.018359154878650807,-0.034909234464112926,0.014315437237418393
57,34,2014-01,7.25,8.44,0.1641379310344826,1,New Jersey,-0.06169006904223828,-0.04078442361232448,0.04500458534714025
58,34,2019-07,8.85,14.0,0.5819209039548023,5,New Jersey,0.07984487838524197,0.03373523362760322,0.041477485992016845
59,35,2020-01,7.5,12.0,0.6000000000000001,3,New Mexico,-0.0023522842090309,0.04418306900037172,0.011021088624476209
61,36,2014-01,7.25,9.7,0.3379310344827586,3,New York,0.0010779385178932843,0.004858673609018732,0.0919377886218582
64,39,2022-01,8.8,10.7,0.2159090909090908,2,Ohio,0.015210359481457797,0.0046098668948181265,0.05452693888606316
68,41,2016-07,9.25,11.25,0.2162162162162162,2,Oregon,0.022092748978984736,-0.07213934657657164,0.018705384821046223
72,44,2015-01,8.0,10.1,0.2624999999999999,3,Rhode Island,-0.011258770790659678,0.05678050685128144,0.005338522359895164
73,46,2015-01,7.25,8.85,0.2206896551724138,1,South Dakota,-0.013892324028385333,0.007328551932684724,0.003333637708665397
74,46,2022-01,9.45,11.5,0.2169312169312169,2,South Dakota,-0.007171833986271775,0.0021786771509755276,0.0037761003579732805
76,50,2018-01,10.0,11.75,0.175,2,Vermont,-0.010928713220674138,0.023514959733582086,0.0030813282652179396
77,51,2021-05,7.25,13.5,0.8620689655172413,4,Virginia,-0.014380951119100344,0.008884702790657756,0.03612206631513085
80,53,2017-01,9.47,13.5,0.4255543822597676,2,Washington,-0.0004666593554263909,0.03164066698224033,0.031266584488849045
82,54,2015-01,7.25,8.75,0.2068965517241379,2,West Virginia,0.02276619246362241,-0.02430983670935416,0.008945356788597383
