event_id,unit,event_ym,mw_before,mw_end,pct_window,n_steps,state,post_avg,pre_avg,weight
3,2,2010-01,7.25,7.75,0.0689655172413792,1,Alaska,,,0.0
4,2,2015-01,7.75,9.84,0.2696774193548388,2,Alaska,,,0.0
5,2,2024-01,10.85,13.0,0.1981566820276499,2,Alaska,,,0.0
7,4,2017-01,8.05,12.0,0.4906832298136645,3,Arizona,0.04659086407707769,0.01022463824667419,0.05815087098104728
9,5,2016-01,7.5,9.25,0.2333333333333334,3,Arkansas,0.0005068310017356525,-0.09153937506139576,0.0018937574205061714
12,6,2014-07,8.0,11.0,0.375,3,California,0.04459451725350805,-0.0022500885131031545,0.24280404206661063
14,8,2017-01,8.31,12.0,0.4440433212996388,4,Colorado,0.16699508025863719,0.042858300799708315,0.01756071048657932
16,9,2014-01,8.25,10.1,0.2242424242424241,3,Connecticut,0.23646331517242214,0.24011859954131065,0.0008920692518380822
19,10,2014-06,7.25,8.25,0.1379310344827586,2,Delaware,0.032523891433642094,0.03332745297649242,0.009654943253065729
20,10,2019-01,8.25,10.5,0.2727272727272727,3,Delaware,-0.029205438439459663,0.01651624669040741,0.011626588803280819
23,11,2014-07,8.25,12.5,0.5151515151515151,4,District of Columbia,0.0015750184640436204,-0.029995382422790318,0.0016515186336675573
25,12,2021-10,8.56,13.0,0.5186915887850467,4,Florida,-0.046674021825407475,-0.010705178757415057,0.09233610688902577
27,15,2015-01,7.25,10.1,0.3931034482758619,4,Hawaii,0.09085202472477971,0.06599960941416394,0.009925648909012139
28,15,2022-10,10.1,14.0,0.3861386138613862,2,Hawaii,0.054452897342840534,-0.01096675091909094,0.008475039252569937
30,17,2020-01,8.25,13.0,0.5757575757575757,5,Illinois,-0.03844834707557443,-0.07431055075585125,0.019857525834534963
36,23,2017-01,7.5,12.0,0.6000000000000001,4,Maine,0.1807906899116808,0.1649780968817549,0.003945412336484069
38,24,2015-01,7.25,10.1,0.3931034482758619,4,Maryland,0.05392126317722945,0.026985636636881027,0.015857143960330878
41,25,2015-01,8.0,11.0,0.375,3,Massachusetts,0.010902271724963164,-0.09732769298795918,0.014389613869014514
43,26,2014-09,7.4,9.25,0.25,1,Michigan,-0.01715360618389694,-0.03490925960875302,0.062365701246731034
44,26,2025-03,10.56,12.48,0.1818181818181818,1,Michigan,0.041157215934308544,0.14720522083664256,0.08280862561552994
46,27,2014-08,7.25,9.65,0.3310344827586207,3,Minnesota,0.10598568353886928,0.037175209948645094,0.028619412246722657
48,29,2019-01,7.85,11.15,0.4203821656050956,4,Missouri,0.08969094216074147,0.10052424159361029,0.011511298117788026
51,30,2022-01,8.75,10.55,0.2057142857142857,2,Montana,-0.14934791079190546,0.022706996952043035,0.0014403739089372078
52,31,2015-01,7.25,9.0,0.2413793103448276,2,Nebraska,0.09057623589519714,0.01901528097655536,0.003524168730109361
53,31,2023-01,9.0,13.5,0.5,3,Nebraska,-0.04544203811756198,-0.10078126977644675,0.009324816083736585
55,32,2020-07,8.25,11.25,0.3636363636363635,4,Nevada,0.1291860442470315,0.06887570702358614,0.01392983493905356
57,34,2014-01,7.25,8.44,0.1641379310344826,1,New Jersey,0.06912230250131901,0.0297814342292555,0.05333571681960697
58,34,2019-07,8.85,14.0,0.5819209039548023,5,New Jersey,-0.032595755648893054,0.013165452900373742,0.03940299607375222
59,35,2020-01,7.5,12.0,0.6000000000000001,3,New Mexico,-0.20210989500650087,-0.4216555668383528,0.00035208141695707967
61,36,2014-01,7.25,9.7,0.3379310344827586,3,New York,-0.01242906443849523,-0.06574156273688025,0.08637265112420245
64,39,2022-01,8.8,10.7,0.2159090909090908,2,Ohio,-0.0049033552210835385,0.059790234608410486,0.0374380860963221
68,41,2016-07,9.25,11.25,0.2162162162162162,2,Oregon,0.03287723415519894,-0.0702346264383018,0.015151487513442627
72,44,2015-01,8.0,10.1,0.2624999999999999,3,Rhode Island,0.04781573615974988,-0.02419042313531583,0.002156357926511244
73,46,2015-01,7.25,8.85,0.2206896551724138,1,South Dakota,,,0.0
74,46,2022-01,9.45,11.5,0.2169312169312169,2,South Dakota,,,0.0
77,51,2021-05,7.25,13.5,0.8620689655172413,4,Virginia,-0.04968533685439047,-0.10425703451946067,0.039417471873439844
80,53,2017-01,9.47,13.5,0.4255543822597676,2,Washington,-0.011591097757670421,-0.07567445412215279,0.003827928319589341
82,54,2015-01,7.25,8.75,0.2068965517241379,2,West Virginia,,,0.0
