event_id,unit,event_ym,mw_before,mw_end,pct_window,n_steps,source,post_avg,pre_avg,weight
4,2,2015-01,7.75,9.84,0.2696774193548388,2,state,-0.029053841547036163,-0.07994243226970532,0.004256178812369035
5,2,2024-01,10.85,13.0,0.1981566820276499,2,state,0.06507441948624737,-0.02375981582074571,0.003797704026511112
7,4,2017-01,8.05,12.0,0.4906832298136645,3,state,0.0757292045718504,0.03431907449386018,0.03971924127758718
9,5,2016-01,7.5,9.25,0.2333333333333334,3,state,0.016450498199055752,0.0036776864446053104,0.013449587813448322
12,6,2014-07,8.0,11.0,0.375,3,state,0.039131767809227225,-0.009967632861665354,0.08705463126475381
14,8,2017-01,8.31,12.0,0.4440433212996388,4,state,0.02808245862524894,-0.09869893039355548,0.017743906648124013
16,9,2014-01,8.25,10.1,0.2242424242424241,3,state,0.022891481183194395,0.030616069865632367,0.019071043358302897
19,10,2014-06,7.25,8.25,0.1379310344827586,2,state,0.0311150117145228,0.03440189954540007,0.005129675623442714
20,10,2019-01,8.25,10.5,0.2727272727272727,3,state,-0.029283309148926073,0.015295769971571227,0.006177211776883718
23,11,2014-07,8.25,12.5,0.5151515151515151,4,state,0.00020072926661118817,-0.028585233548552358,0.0008774525809973927
25,12,2021-10,8.56,13.0,0.5186915887850467,4,state,-0.03324889709344814,-0.009166922242019204,0.07213156816286
27,15,2015-01,7.25,10.1,0.3931034482758619,4,state,0.08282720994043302,0.06626402524863151,0.006846589246753819
28,15,2022-10,10.1,14.0,0.3861386138613862,2,state,0.058132738967471065,-0.06864770552615451,0.006130954448174935
30,17,2020-01,8.25,13.0,0.5757575757575757,5,state,0.03857322762801352,-0.029982328860408858,0.05854301178353194
36,23,2017-01,7.5,12.0,0.6000000000000001,4,state,0.12853148586469165,0.020467508682557867,0.005493155524616215
38,24,2015-01,7.25,10.1,0.3931034482758619,4,state,0.022526577045495988,0.022595726818897433,0.015317513636712557
41,25,2015-01,8.0,11.0,0.375,3,state,0.03746290358607007,-0.026030331200099566,0.03198681093037333
43,26,2014-09,7.4,9.25,0.25,1,state,0.011180825068072053,-0.01796855656325924,0.046972616117256595
46,27,2014-08,7.25,9.65,0.3310344827586207,3,state,0.07430412044655399,0.016195142043144317,0.03346489130652249
48,29,2019-01,7.85,11.15,0.4203821656050956,4,state,0.0955442569236149,0.11643855391815472,0.03136639356840958
51,30,2022-01,8.75,10.55,0.2057142857142857,2,state,0.026105072169772425,-0.052653553362883576,0.006232534730128626
52,31,2015-01,7.25,9.0,0.2413793103448276,2,state,0.10957618055246365,0.09711112661538612,0.011225129624205115
53,31,2023-01,9.0,13.5,0.5,3,state,0.0138652600158915,-0.019929894840433615,0.011685712200399743
55,32,2020-07,8.25,11.25,0.3636363636363635,4,state,0.08256092650469271,0.0427506414661063,0.013414188776755634
57,34,2014-01,7.25,8.44,0.1641379310344826,1,state,0.02329819804373201,-0.010599873846211416,0.038678256016412456
58,34,2019-07,8.85,14.0,0.5819209039548023,5,state,0.03135308909693113,0.027589730953001768,0.031921701511226336
59,35,2020-01,7.5,12.0,0.6000000000000001,3,state,-0.004029488462537922,-0.09152563090862165,0.004098443955881903
61,36,2014-01,7.25,9.7,0.3379310344827586,3,state,-0.011972934634531973,-0.06269302174441771,0.039528846399196634
64,39,2022-01,8.8,10.7,0.2159090909090908,2,state,0.011128189641740449,0.011861598928837758,0.07874266846955572
68,41,2016-07,9.25,11.25,0.2162162162162162,2,state,-0.01983267391410215,-0.0233420194910392,0.020627430859014726
72,44,2015-01,8.0,10.1,0.2624999999999999,3,state,0.08971915406144193,0.0038414638258341682,0.006972642793770202
73,46,2015-01,7.25,8.85,0.2206896551724138,1,state,0.05736684822881777,0.018460403676254566,0.005209141739736156
74,46,2022-01,9.45,11.5,0.2169312169312169,2,state,-0.03459615173832087,-0.11356354911732414,0.006913029479733887
76,50,2018-01,10.0,11.75,0.175,2,state,0.04737574435887071,0.045452712629385106,0.004222981467134519
77,51,2021-05,7.25,13.5,0.8620689655172413,4,state,0.03812523148714153,-0.008594433989037364,0.040121999505812043
80,53,2017-01,9.47,13.5,0.4255543822597676,2,state,-0.0005304479263137374,-0.08905333810983662,0.03332682806988509
82,54,2015-01,7.25,8.75,0.2068965517241379,2,state,0.05444957309959153,0.1385088870027653,0.007165424687872331
90,6001,2014-07,8.0,13.23,0.65375,2,both,0.07273068593204723,0.04408015239422647,0.005383819086548907
96,6037,2014-07,8.0,12.0,0.5,4,both,0.05024360654044446,0.03526296616419189,0.03617577026881223
102,6073,2014-07,8.0,11.5,0.4375,4,both,-0.16976937579719475,-0.19238205222142613,0.005490969181567061
104,6075,2015-05,11.05,15.0,0.3574660633484161,4,local,-0.19354567690101585,-0.3762201043903768,0.0016003976844276928
107,6081,2014-07,8.0,13.5,0.6875,4,both,0.16193217397250081,-0.08591109318246604,0.0016762659112074902
110,6085,2013-04,8.0,10.5,0.3125,1,local,0.03588719524040196,0.0996535075253615,0.0044364136089915665
111,6085,2017-07,10.5,15.45,0.4714285714285713,3,local,0.052075819599933126,-0.024252861161011996,0.0054163239827497295
114,6097,2014-07,8.0,11.0,0.375,3,both,0.21205366045340313,0.08966157966664645,0.0036815669352991296
116,8031,2017-01,8.31,12.85,0.5463297232250299,4,both,0.230280521665706,-0.0561836793241528,0.0017482758460316656
118,17031,2015-07,8.25,12.0,0.4545454545454546,3,local,-0.021620234090330537,-0.07987747400532097,0.00507794091468225
134,23005,2016-01,7.5,11.0,0.4666666666666665,2,local,-0.11266528217055816,-0.2660664068898395,0.0008905787850711322
136,24031,2014-10,7.25,12.25,0.6896551724137931,5,local,,,0.0
138,24033,2014-10,7.25,11.5,0.5862068965517242,4,local,0.11154835140300967,0.02108858774827027,0.002033669137016294
140,27053,2014-08,7.25,11.25,0.5517241379310345,5,both,0.10874075074170486,-0.03999517025963173,0.0012858523638646195
142,27123,2014-08,7.25,9.65,0.3310344827586207,3,both,-0.008574852587838189,-0.01215928727955995,0.004603220758787319
143,27123,2020-01,9.86,15.0,0.5212981744421907,2,local,0.3829610365007794,0.39115182576411933,0.0019267637712676686
145,35001,2013-01,7.5,8.75,0.1666666666666667,1,local,-0.021313165117127997,0.0030637462940501514,0.0037821748310339644
146,35001,2021-01,9.35,11.5,0.2299465240641711,2,both,0.1166189819445892,0.024619561641816556,0.0024405069456642507
147,35013,2015-01,7.5,9.2,0.2266666666666665,2,local,0.14222384891602313,0.1487958049229634,0.0018437122443844363
