event_id,unit,event_ym,mw_before,mw_end,pct_window,n_steps,source,post_avg,pre_avg,weight
3,2,2010-01,7.25,7.75,0.0689655172413792,1,state,0.007810339850725656,0.008155287265053657,0.003677956104621348
4,2,2015-01,7.75,9.84,0.2696774193548388,2,state,-0.052384226711243986,-0.05407821811976765,0.003872039768841033
5,2,2024-01,10.85,13.0,0.1981566820276499,2,state,0.035434137889633156,0.04605785444884791,0.0030752315895647203
7,4,2017-01,8.05,12.0,0.4906832298136645,3,state,0.07598474280142442,0.02560226663687115,0.0365642349013155
9,5,2016-01,7.5,9.25,0.2333333333333334,3,state,0.042057680465376945,0.04064029860699092,0.014225201684086525
12,6,2014-07,8.0,11.0,0.375,3,state,-0.007964031035454178,-0.037466385011153625,0.07989961519826824
14,8,2017-01,8.31,12.0,0.4440433212996388,4,state,0.10458727364454545,-0.024451208572148664,0.014154676963075936
16,9,2014-01,8.25,10.1,0.2242424242424241,3,state,-0.012836961914646783,0.04833503876595957,0.01676804862883484
19,10,2014-06,7.25,8.25,0.1379310344827586,2,state,-0.007365289991643098,0.022103074750940754,0.005857999427302269
20,10,2019-01,8.25,10.5,0.2727272727272727,3,state,-0.05578370151044687,0.030757814513030945,0.005868924217355576
23,11,2014-07,8.25,12.5,0.5151515151515151,4,state,0.00518930560331865,-0.0908513082071436,0.0012328935663634042
25,12,2021-10,8.56,13.0,0.5186915887850467,4,state,-0.0010101722808425473,0.058639842984529844,0.06926380384348685
27,15,2015-01,7.25,10.1,0.3931034482758619,4,state,0.025596609553501404,-0.0070797429490216945,0.005343095489503514
28,15,2022-10,10.1,14.0,0.3861386138613862,2,state,0.0844488040567517,-0.10275992557299429,0.0038155353853707077
30,17,2020-01,8.25,13.0,0.5757575757575757,5,state,0.04196918124482296,-0.026198227656820672,0.054471307732239294
36,23,2017-01,7.5,12.0,0.6000000000000001,4,state,0.1506473173650087,0.025924565074804562,0.006372481002014752
38,24,2015-01,7.25,10.1,0.3931034482758619,4,state,0.021183619009528698,0.0498467244489067,0.016982220886771926
41,25,2015-01,8.0,11.0,0.375,3,state,0.01710882689384763,-0.029662879914845952,0.0332017362074475
43,26,2014-09,7.4,9.25,0.25,1,state,-0.03626264787890321,-0.05275257109609277,0.04174644596909502
44,26,2025-03,10.56,12.48,0.1818181818181818,1,state,0.1428192267531152,0.0846937636067735,0.06560216393343583
46,27,2014-08,7.25,9.65,0.3310344827586207,3,state,0.08589223345119279,0.036785361811809025,0.03685250571358892
48,29,2019-01,7.85,11.15,0.4203821656050956,4,state,0.07718196292550339,0.10136316197143658,0.032211951703108296
51,30,2022-01,8.75,10.55,0.2057142857142857,2,state,0.1009128338792773,-0.03117842230283463,0.005820557485282451
52,31,2015-01,7.25,9.0,0.2413793103448276,2,state,0.09230605753949594,0.02392535832841336,0.012771614026112826
53,31,2023-01,9.0,13.5,0.5,3,state,-0.028721089261625754,-0.07670170092202011,0.009041498732622244
55,32,2020-07,8.25,11.25,0.3636363636363635,4,state,0.06788851315547806,0.07050344254141527,0.01130376264157162
57,34,2014-01,7.25,8.44,0.1641379310344826,1,state,0.021689427652682336,-0.026998464304740732,0.03157334079272735
58,34,2019-07,8.85,14.0,0.5819209039548023,5,state,-0.018917959681574392,0.0012669991877309883,0.03372954951461743
59,35,2020-01,7.5,12.0,0.6000000000000001,3,state,0.06526971598558995,-0.059108620360709185,0.0030961867979567405
61,36,2014-01,7.25,9.7,0.3379310344827586,3,state,0.07060390422589358,0.001957698384510209,0.03023668734054003
64,39,2022-01,8.8,10.7,0.2159090909090908,2,state,0.029363846745951716,0.0585905089455061,0.08390016989874768
68,41,2016-07,9.25,11.25,0.2162162162162162,2,state,-0.04703384878427175,-0.1110786223877287,0.019923489947704823
72,44,2015-01,8.0,10.1,0.2624999999999999,3,state,0.16837949982655964,0.07894953310203556,0.005208758772106283
73,46,2015-01,7.25,8.85,0.2206896551724138,1,state,0.09707527378018732,0.03657125547776463,0.00383301738379364
74,46,2022-01,9.45,11.5,0.2169312169312169,2,state,-0.0001508634031323064,-0.02621451641961081,0.004799715419669277
76,50,2018-01,10.0,11.75,0.175,2,state,0.07246030442212914,0.0738221234865144,0.0034263832296332728
77,51,2021-05,7.25,13.5,0.8620689655172413,4,state,0.03661322721772031,0.008345731303373238,0.027383032894070403
80,53,2017-01,9.47,13.5,0.4255543822597676,2,state,-0.000929426145149459,-0.08024326857806274,0.032140180350987035
82,54,2015-01,7.25,8.75,0.2068965517241379,2,state,0.030377849047835026,0.06989384776020136,0.006269970060388166
90,6001,2014-07,8.0,13.23,0.65375,2,both,0.1914178882219949,0.11106707109421388,0.005353709222527814
93,6013,2014-07,8.0,13.41,0.67625,5,both,,,0.0
96,6037,2014-07,8.0,12.0,0.5,4,both,0.0752051915132802,0.04184871392655265,0.02982755045930193
99,6041,2014-07,8.0,11.0,0.375,3,both,,,0.0
102,6073,2014-07,8.0,11.5,0.4375,4,both,-0.08016626291200779,-0.030480676410387986,0.007062460630460898
104,6075,2015-05,11.05,15.0,0.3574660633484161,4,local,0.06977441181762467,-0.12279766806360626,0.0018754144595940286
107,6081,2014-07,8.0,13.5,0.6875,4,both,0.07784211158930161,-0.184970204169701,0.0012623788989281734
110,6085,2013-04,8.0,10.5,0.3125,1,local,-0.16127024196063988,-0.13990935207044441,0.002984305828321027
111,6085,2017-07,10.5,15.45,0.4714285714285713,3,local,-0.012363277244032744,-0.14690579358355316,0.004176308460631176
114,6097,2014-07,8.0,11.0,0.375,3,both,0.17504695834642878,0.1595060148967975,0.004479441394174998
116,8031,2017-01,8.31,12.85,0.5463297232250299,4,both,0.25558797598097105,-0.06943469769191513,0.0032119676153627443
118,17031,2015-07,8.25,12.0,0.4545454545454546,3,local,-0.05159484084380128,0.09254576233844669,0.006197430060577331
134,23005,2016-01,7.5,11.0,0.4666666666666665,2,local,0.10342877070978052,-0.04238214169811583,0.00046302220490099954
136,24031,2014-10,7.25,12.25,0.6896551724137931,5,local,,,0.0
138,24033,2014-10,7.25,11.5,0.5862068965517242,4,local,0.3903999311330749,0.2933621990110751,0.0016220292771171997
140,27053,2014-08,7.25,11.25,0.5517241379310345,5,both,-0.04441474403662834,0.0837058492113838,0.0017905916753477994
142,27123,2014-08,7.25,9.65,0.3310344827586207,3,both,0.028352344096681303,0.006841765685280832,0.0035040117585566745
143,27123,2020-01,9.86,15.0,0.5212981744421907,2,local,0.4720148526384163,0.7004280863680885,0.0019765674885730417
145,35001,2013-01,7.5,8.75,0.1666666666666667,1,local,-0.14436909090481087,-0.10668691043267953,0.0037948940620217827
146,35001,2021-01,9.35,11.5,0.2299465240641711,2,both,0.14168917040711515,0.013599805365552164,0.0022210198164204276
147,35013,2015-01,7.5,9.2,0.2266666666666665,2,local,0.31871319844487056,0.4504171456593764,0.0014004422359728025
148,35013,2023-01,10.5,11.5,0.0952380952380953,1,local,-0.16557981738522654,-0.18490541847345066,0.001972174977863461
150,35049,2012-03,9.5,10.84,0.1410526315789473,1,local,0.05334525486993491,0.05620143133727229,0.0015180975036163723
151,35049,2022-03,12.32,12.95,0.0511363636363635,1,local,,,0.0
