event_id,unit,event_ym,mw_before,mw_end,pct_window,n_steps,source,post_avg,pre_avg,weight
104,6075,2015-05,11.05,15.0,0.3574660633484161,4,local,-0.19354567690101585,-0.3762201043903768,0.043150780897324215
110,6085,2013-04,8.0,10.5,0.3125,1,local,0.03588719524040196,0.0996535075253615,0.11961696362986186
111,6085,2017-07,10.5,15.45,0.4714285714285713,3,local,0.052075819599933126,-0.024252861161011996,0.14603783279787394
118,17031,2015-07,8.25,12.0,0.4545454545454546,3,local,-0.021620234090330537,-0.07987747400532097,0.13691416699179293
134,23005,2016-01,7.5,11.0,0.4666666666666665,2,local,-0.11266528217055816,-0.2660664068898395,0.024012262952099937
136,24031,2014-10,7.25,12.25,0.6896551724137931,5,local,,,0.0
138,24033,2014-10,7.25,11.5,0.5862068965517242,4,local,0.11154835140300967,0.02108858774827027,0.054832878229526906
143,27123,2020-01,9.86,15.0,0.5212981744421907,2,local,0.3829610365007794,0.39115182576411933,0.05195043840906636
145,35001,2013-01,7.5,8.75,0.1666666666666667,1,local,-0.021313165117127997,0.0030637462940501514,0.10197702673362903
147,35013,2015-01,7.5,9.2,0.2266666666666665,2,local,0.14222384891602313,0.1487958049229634,0.04971115858843343
148,35013,2023-01,10.5,11.5,0.0952380952380953,1,local,-0.05066459871566387,-0.13488579686344382,0.04418185601354701
150,35049,2012-03,9.5,10.84,0.1410526315789473,1,local,0.016536608782938167,-0.05416518414456917,0.02227918044051726
151,35049,2022-03,12.32,12.95,0.0511363636363635,1,local,0.11823372619979011,0.11635692897021532,0.016932332812408045
254,53033,2015-04,9.47,16.0,0.6895459345300949,3,local,0.026927668546412042,-0.10222339828963412,0.1597748530558784
255,53033,2021-01,15.75,17.27,0.0965079365079364,1,local,0.5982508857515264,0.4334688650144747,0.014421708722620963
258,53053,2016-02,9.47,12.35,0.3041182682154169,3,local,-0.092460295656692,-0.22680453440488169,0.014206559725419848
