event_id,unit,event_ym,mw_before,mw_end,pct_window,n_steps,source,post_avg,pre_avg,weight
4,2,2015-01,7.75,9.84,0.2696774193548388,2,state,-0.03365988648098439,-0.13411836901174978,0.002495492125935175
5,2,2024-01,10.85,13.0,0.1981566820276499,2,state,0.06696933482284106,-0.07259013622143606,0.0031112285701391873
7,4,2017-01,8.05,12.0,0.4906832298136645,3,state,0.0490635781155514,-0.006112719673821987,0.06159417907436736
9,5,2016-01,7.5,9.25,0.2333333333333334,3,state,-0.03861231965125256,-0.014596380137085863,0.02124699341530036
12,6,2014-07,8.0,11.0,0.375,3,state,0.07068137506193795,0.03309257633352747,0.11150831006581714
14,8,2017-01,8.31,12.0,0.4440433212996388,4,state,-0.05365328770714006,-0.1590185076689501,0.016298707775193336
16,9,2014-01,8.25,10.1,0.2242424242424241,3,state,-0.04248675379489597,-0.04280285689343555,0.016385605802671573
19,10,2014-06,7.25,8.25,0.1379310344827586,2,state,-0.061351407563281835,-0.0852131160404086,0.005003245675632626
20,10,2019-01,8.25,10.5,0.2727272727272727,3,state,-0.06963734512623976,-0.0037273953838048435,0.007250867672513426
23,11,2014-07,8.25,12.5,0.5151515151515151,4,state,0.025521057620849774,0.01145356329085434,0.002110819467897384
25,12,2021-10,8.56,13.0,0.5186915887850467,4,state,-0.00886667671795549,0.047709475146898495,0.07196766036774273
27,15,2015-01,7.25,10.1,0.3931034482758619,4,state,0.11026552576955051,0.09329610768296459,0.0057822830870820985
28,15,2022-10,10.1,14.0,0.3861386138613862,2,state,-0.049396930561061314,-0.46897140503783996,0.0018959860723298172
30,17,2020-01,8.25,13.0,0.5757575757575757,5,state,0.12293247680616382,0.03262643098611928,0.05417764871363695
36,23,2017-01,7.5,12.0,0.6000000000000001,4,state,0.04457703273935898,-0.13260538301083025,0.010317917379196863
38,24,2015-01,7.25,10.1,0.3931034482758619,4,state,0.07599862353721665,0.07419892046524112,0.009398298615715357
41,25,2015-01,8.0,11.0,0.375,3,state,0.030990680323455644,-0.03728400220136008,0.017946771005849172
43,26,2014-09,7.4,9.25,0.25,1,state,0.050610253549584816,-0.023362128811484695,0.041038207692507975
46,27,2014-08,7.25,9.65,0.3310344827586207,3,state,0.22428613251344998,0.14143827256929065,0.02764551170886318
48,29,2019-01,7.85,11.15,0.4203821656050956,4,state,0.20864270612597513,0.16070510821477768,0.01842274529279677
51,30,2022-01,8.75,10.55,0.2057142857142857,2,state,-0.0035454637113548904,-0.09748614595858562,0.008207332428405694
52,31,2015-01,7.25,9.0,0.2413793103448276,2,state,0.07941562058313889,0.10638368855499514,0.009986540036562217
53,31,2023-01,9.0,13.5,0.5,3,state,0.027690499317270117,-0.013330216518589122,0.006612751529702831
55,32,2020-07,8.25,11.25,0.3636363636363635,4,state,0.21247156333676864,0.15016251073127118,0.011471114369703043
57,34,2014-01,7.25,8.44,0.1641379310344826,1,state,-0.05287276122851692,-0.12647901150944163,0.022488758043738157
58,34,2019-07,8.85,14.0,0.5819209039548023,5,state,0.10222782789164275,0.19001859637278673,0.017672898022094367
59,35,2020-01,7.5,12.0,0.6000000000000001,3,state,0.05893720097535382,-0.03912923900437004,0.006940603329822656
61,36,2014-01,7.25,9.7,0.3379310344827586,3,state,-0.06706968505186217,-0.07704079346496018,0.03786291787213739
64,39,2022-01,8.8,10.7,0.2159090909090908,2,state,0.06901680552570744,0.01010184547763826,0.08535748392543639
68,41,2016-07,9.25,11.25,0.2162162162162162,2,state,-0.007136789781012842,-0.05265467030042581,0.023758313393252985
72,44,2015-01,8.0,10.1,0.2624999999999999,3,state,0.06908356631970847,-0.09137232281806607,0.007080506650341874
73,46,2015-01,7.25,8.85,0.2206896551724138,1,state,0.09461018742494298,0.03413125360344571,0.005957569843596011
74,46,2022-01,9.45,11.5,0.2169312169312169,2,state,0.09683357880659338,-0.013723072651448787,0.008747518484822697
76,50,2018-01,10.0,11.75,0.175,2,state,-0.03845218476036161,-0.05260441673013094,0.0017126269623892972
77,51,2021-05,7.25,13.5,0.8620689655172413,4,state,-0.025981038178260696,-0.2307267066808638,0.017040418744957705
80,53,2017-01,9.47,13.5,0.4255543822597676,2,state,0.03713758495204589,-0.05395851140853036,0.02470522390962615
82,54,2015-01,7.25,8.75,0.2068965517241379,2,state,0.14860049272229725,0.21271496334911477,0.011450370872868078
90,6001,2014-07,8.0,13.23,0.65375,2,both,0.12208716907608197,0.04160601630872485,0.006553629500831707
96,6037,2014-07,8.0,12.0,0.5,4,both,0.034660783760689706,-0.00043308517665741064,0.06309282144820536
102,6073,2014-07,8.0,11.5,0.4375,4,both,0.007580376404771161,-0.06033575883524134,0.008260420342300649
104,6075,2015-05,11.05,15.0,0.3574660633484161,4,local,,,0.0
107,6081,2014-07,8.0,13.5,0.6875,4,both,0.45873277495248876,0.3958573019103351,0.0014676947897203695
110,6085,2013-04,8.0,10.5,0.3125,1,local,-0.05108668661982152,0.07120910001384573,0.009752177065856328
111,6085,2017-07,10.5,15.45,0.4714285714285713,3,local,0.05449789390429031,-0.06025899102224197,0.004897906197384433
114,6097,2014-07,8.0,11.0,0.375,3,both,0.16797725891487958,0.40099850542917714,0.001812101788497004
116,8031,2017-01,8.31,12.85,0.5463297232250299,4,both,,,0.0
118,17031,2015-07,8.25,12.0,0.4545454545454546,3,local,0.034209373771638574,0.01295496848573885,0.00796945868913208
134,23005,2016-01,7.5,11.0,0.4666666666666665,2,local,,,0.0
136,24031,2014-10,7.25,12.25,0.6896551724137931,5,local,,,0.0
138,24033,2014-10,7.25,11.5,0.5862068965517242,4,local,-0.04382660789139792,-0.18357696658690692,0.001762171728578118
140,27053,2014-08,7.25,11.25,0.5517241379310345,5,both,-0.13332463198475727,-0.08809884639135568,0.0028390995942142064
142,27123,2014-08,7.25,9.65,0.3310344827586207,3,both,-0.1522961542462592,-0.17118243599315086,0.008011391397857528
143,27123,2020-01,9.86,15.0,0.5212981744421907,2,local,,,0.0
145,35001,2013-01,7.5,8.75,0.1666666666666667,1,local,-0.02040057942884188,0.0542454497919469,0.006124109085022595
146,35001,2021-01,9.35,11.5,0.2299465240641711,2,both,0.06642112885987705,0.0036282127778703988,0.0021952674910616873
147,35013,2015-01,7.5,9.2,0.2266666666666665,2,local,0.36595318024283086,0.26535866612700865,0.0031554349610103034
148,35013,2023-01,10.5,11.5,0.0952380952380953,1,local,-0.25740343893077666,-0.304199844095592,0.0019903058847907484
151,35049,2022-03,12.32,12.95,0.0511363636363635,1,local,,0.29050922535535273,0.0012387567660587678
153,36005,2014-01,7.25,11.0,0.5172413793103448,3,both,0.226799641626795,0.16260098812585944,0.002535316883255986
155,36047,2014-01,7.25,11.0,0.5172413793103448,3,both,-0.11930724399368653,-0.23900623376418384,0.004429834273386792
157,36059,2014-01,7.25,10.0,0.3793103448275863,3,both,,,0.0
