event_id,unit,event_ym,mw_before,mw_end,pct_window,n_steps,state,post_avg,pre_avg,weight
3,2,2010-01,7.25,7.75,0.0689655172413792,1,Alaska,-0.034302770499506044,0.028847383954788877,0.003285237611138788
4,2,2015-01,7.75,9.84,0.2696774193548388,2,Alaska,0.009647322633939519,-0.10171858503025161,0.0037314425133980296
5,2,2024-01,10.85,13.0,0.1981566820276499,2,Alaska,-0.015448114120598358,-0.007374905876007601,0.0028031487544279182
7,4,2017-01,8.05,12.0,0.4906832298136645,3,Arizona,0.017433185086941763,0.0075748723486690345,0.030970100959925893
9,5,2016-01,7.5,9.25,0.2333333333333334,3,Arkansas,-0.023533567911069822,0.022456129535427985,0.011857387811197719
12,6,2014-07,8.0,11.0,0.375,3,California,-0.02388474535551531,-0.010522387933656965,0.18716727577357684
14,8,2017-01,8.31,12.0,0.4440433212996388,4,Colorado,-0.013627319859109498,0.001773978554869271,0.01760159163632218
16,9,2014-01,8.25,10.1,0.2242424242424241,3,Connecticut,0.028796377390245546,0.030593686472284165,0.018381548414116676
19,10,2014-06,7.25,8.25,0.1379310344827586,2,Delaware,-0.01953823002007106,-0.0340859236981515,0.004410348890652745
20,10,2019-01,8.25,10.5,0.2727272727272727,3,Delaware,0.0650648593340287,0.04465011873902659,0.003828793625812437
23,11,2014-07,8.25,12.5,0.5151515151515151,4,District of Columbia,-0.004253791691642209,0.035175402301024825,0.0017100049618315502
25,12,2021-10,8.56,13.0,0.5186915887850467,4,Florida,-0.026526398918615232,-0.010308235288624568,0.07658990244112548
27,15,2015-01,7.25,10.1,0.3931034482758619,4,Hawaii,-0.059933989000173125,-0.0767246658264043,0.005793365828519505
28,15,2022-10,10.1,14.0,0.3861386138613862,2,Hawaii,-0.04291147939427715,-0.024799754509772287,0.005920036334393132
30,17,2020-01,8.25,13.0,0.5757575757575757,5,Illinois,0.02389462946945589,0.021949453869213237,0.05373453207884626
36,23,2017-01,7.5,12.0,0.6000000000000001,4,Maine,0.06230629058895196,0.0384663161675305,0.004859440193794296
38,24,2015-01,7.25,10.1,0.3931034482758619,4,Maryland,-0.040911415188717506,-0.030937059218715715,0.022840046951129196
41,25,2015-01,8.0,11.0,0.375,3,Massachusetts,0.0229885915217813,-0.0003917869191310541,0.03312122956374231
43,26,2014-09,7.4,9.25,0.25,1,Michigan,-0.010131151815142077,-0.01738681145465524,0.042979997166032076
44,26,2025-03,10.56,12.48,0.1818181818181818,1,Michigan,0.01265546962432787,0.008078738623935822,0.04863821806766848
46,27,2014-08,7.25,9.65,0.3310344827586207,3,Minnesota,-0.0035081498602155814,0.02123964479446762,0.02638269669003069
48,29,2019-01,7.85,11.15,0.4203821656050956,4,Missouri,-0.0074075467397968844,0.004926164913327244,0.024134810781371835
51,30,2022-01,8.75,10.55,0.2057142857142857,2,Montana,-0.009373831924781736,-0.008028307917161845,0.0043986606993100365
52,31,2015-01,7.25,9.0,0.2413793103448276,2,Nebraska,-0.015427610982856228,-0.021502461229656163,0.006486171724956368
53,31,2023-01,9.0,13.5,0.5,3,Nebraska,-0.019662180705051203,-0.0015693190215148173,0.008673791065308396
55,32,2020-07,8.25,11.25,0.3636363636363635,4,Nevada,0.016228626869095576,-0.011269843891373116,0.013572130266498552
57,34,2014-01,7.25,8.44,0.1641379310344826,1,New Jersey,0.007619425336238755,0.004673908239403141,0.04266779175452491
58,34,2019-07,8.85,14.0,0.5819209039548023,5,New Jersey,0.0035867913074482845,-0.0033982884867280252,0.03932383158644201
59,35,2020-01,7.5,12.0,0.6000000000000001,3,New Mexico,-0.004819204693480315,-0.008785670973979351,0.01044883561775101
61,36,2014-01,7.25,9.7,0.3379310344827586,3,New York,0.01429770391572839,0.012356240696665827,0.08716406092914358
64,39,2022-01,8.8,10.7,0.2159090909090908,2,Ohio,-0.001974323100262576,0.0010089219469233829,0.051695711791511625
68,41,2016-07,9.25,11.25,0.2162162162162162,2,Oregon,-0.014024274231100725,0.02790932580815346,0.017734136601335597
72,44,2015-01,8.0,10.1,0.2624999999999999,3,Rhode Island,-0.013247227132803685,-0.020007306721187917,0.005061327830750826
73,46,2015-01,7.25,8.85,0.2206896551724138,1,South Dakota,-0.009979689717618062,0.016025765183682095,0.0031605437188503087
74,46,2022-01,9.45,11.5,0.2169312169312169,2,South Dakota,-0.01624212526486522,0.004777870510902227,0.0035800321783973268
76,50,2018-01,10.0,11.75,0.175,2,Vermont,-0.027532796809749894,-0.029946745699359435,0.00292133505360704
77,51,2021-05,7.25,13.5,0.8620689655172413,4,Virginia,0.0425032589416849,0.029067992060597868,0.03424648380579022
80,53,2017-01,9.47,13.5,0.4255543822597676,2,Washington,-0.008302852299350953,-0.01853183891334552,0.029643115374914607
82,54,2015-01,7.25,8.75,0.2068965517241379,2,West Virginia,0.027483745357787838,-0.012566908139800756,0.00848088295185353
