event_id,unit,event_ym,mw_before,mw_end,pct_window,n_steps,source,post_avg,pre_avg,weight
3,2,2010-01,7.25,7.75,0.0689655172413792,1,state,-0.03677540045588176,0.027873818606967513,0.0032340188098210123
4,2,2015-01,7.75,9.84,0.2696774193548388,2,state,0.009104326355076374,-0.10841790584148778,0.0036732671132155797
5,2,2024-01,10.85,13.0,0.1981566820276499,2,state,-0.015274727487225507,-0.0072918986444529404,0.0027594460040909507
7,4,2017-01,8.05,12.0,0.4906832298136645,3,state,0.02027861184493563,0.008575550451778421,0.030487258731869204
9,5,2016-01,7.5,9.25,0.2333333333333334,3,state,-0.02186589872584043,0.01942113473986254,0.01167252410807001
12,6,2014-07,8.0,11.0,0.375,3,state,-0.01130942825386929,-0.001756461815233465,0.10270658867309851
14,8,2017-01,8.31,12.0,0.4440433212996388,4,state,-0.010877782478448186,-0.00628974103845098,0.015278431801113115
16,9,2014-01,8.25,10.1,0.2242424242424241,3,state,0.03679894507597352,0.037035061599957744,0.01809496918071707
19,10,2014-06,7.25,8.25,0.1379310344827586,2,state,-0.014822939812604241,-0.03363201582751678,0.004341588937702459
20,10,2019-01,8.25,10.5,0.2727272727272727,3,state,0.06394271386959777,0.041066200379444945,0.0037691004640933753
23,11,2014-07,8.25,12.5,0.5151515151515151,4,state,-0.0006683894844815297,0.03417937509456878,0.0016833449710608672
25,12,2021-10,8.56,13.0,0.5186915887850467,4,state,-0.027653860184032174,-0.010427970104285283,0.07539582047190073
27,15,2015-01,7.25,10.1,0.3931034482758619,4,state,-0.06047698527903627,-0.08342398663764047,0.005703043821878021
28,15,2022-10,10.1,14.0,0.3861386138613862,2,state,-0.0423213044619269,-0.023106677122439107,0.0058277394594951895
30,17,2020-01,8.25,13.0,0.5757575757575757,5,state,0.029197920251295622,0.02341461798036456,0.0441457727647996
36,23,2017-01,7.5,12.0,0.6000000000000001,4,state,0.04532071885682408,0.04341831598920656,0.003476441320709546
38,24,2015-01,7.25,10.1,0.3931034482758619,4,state,-0.026274749776509645,-0.027071341118782816,0.017548866041131508
41,25,2015-01,8.0,11.0,0.375,3,state,0.022445595242918157,-0.007091107730367224,0.032604849965909295
43,26,2014-09,7.4,9.25,0.25,1,state,-0.007625072921741395,-0.019826079606768195,0.04230991353858862
44,26,2025-03,10.56,12.48,0.1818181818181818,1,state,0.012425467362270223,0.009281464884284996,0.04787991942308581
46,27,2014-08,7.25,9.65,0.3310344827586207,3,state,-0.0017670610331510586,0.021149332696078618,0.021701167043992185
48,29,2019-01,7.85,11.15,0.4203821656050956,4,state,-0.0085296922042278,0.0013422465537455963,0.023758534778058733
51,30,2022-01,8.75,10.55,0.2057142857142857,2,state,-0.009954618251333647,-0.007488204853516048,0.004330082972189662
52,31,2015-01,7.25,9.0,0.2413793103448276,2,state,-0.015970607261719373,-0.028201782040892333,0.0063850484638056
53,31,2023-01,9.0,13.5,0.5,3,state,-0.019230902901349035,0.0002642945438020572,0.008538561522172876
55,32,2020-07,8.25,11.25,0.3636363636363635,4,state,0.019192899145020002,-0.011014158885363334,0.013360532712269349
57,34,2014-01,7.25,8.44,0.1641379310344826,1,state,0.015621993021966724,0.01111528336707672,0.04200257559447197
58,34,2019-07,8.85,14.0,0.5819209039548023,5,state,0.005632529622501246,-0.002891018412360065,0.03871074974717089
59,35,2020-01,7.5,12.0,0.6000000000000001,3,state,-0.06402054740397473,-0.03891166538160337,0.004345222099607241
61,36,2014-01,7.25,9.7,0.3379310344827586,3,state,0.0337423173659088,0.023656732362961397,0.030072684560476227
64,39,2022-01,8.8,10.7,0.2159090909090908,2,state,-0.0025551094268144864,0.00154902501056918,0.05088974500778404
68,41,2016-07,9.25,11.25,0.2162162162162162,2,state,-0.014920449434286102,0.034746859942927574,0.015389341434488158
72,44,2015-01,8.0,10.1,0.2624999999999999,3,state,-0.01379022341166683,-0.026706627532424088,0.004982418730328865
73,46,2015-01,7.25,8.85,0.2206896551724138,1,state,-0.010522685996481207,0.009326444372445925,0.0031112689692117815
74,46,2022-01,9.45,11.5,0.2169312169312169,2,state,-0.01682291159141713,0.005317973574548024,0.0035242173550692163
76,50,2018-01,10.0,11.75,0.175,2,state,-0.02568276128684097,-0.033176406712490523,0.002875789708824053
77,51,2021-05,7.25,13.5,0.8620689655172413,4,state,0.039785303732553005,0.026162361171879832,0.033712560827454066
80,53,2017-01,9.47,13.5,0.4255543822597676,2,state,-0.009212262365066282,-0.014983902837180346,0.02522630733714405
82,54,2015-01,7.25,8.75,0.2068965517241379,2,state,0.026940749078924693,-0.019266228951036926,0.008348660960531653
90,6001,2014-07,8.0,13.23,0.65375,2,both,-0.10542311968995033,-0.11433398399408506,0.007081746078394303
93,6013,2014-07,8.0,13.41,0.67625,5,both,,,0.0
96,6037,2014-07,8.0,12.0,0.5,4,both,-0.02776866582422932,0.0009352988812416502,0.047598459634379524
99,6041,2014-07,8.0,11.0,0.375,3,both,,,0.0
102,6073,2014-07,8.0,11.5,0.4375,4,both,-0.024114922638227933,-0.10976717649341446,0.01349963958840382
104,6075,2015-05,11.05,15.0,0.3574660633484161,4,local,0.016889858416564745,-0.0019291293522254935,0.002421554334637704
107,6081,2014-07,8.0,13.5,0.6875,4,both,-0.06005661557964986,0.16129880626918924,0.002322148218764388
110,6085,2013-04,8.0,10.5,0.3125,1,local,0.007268441780486613,-0.014374144397180804,0.004213384905096215
111,6085,2017-07,10.5,15.45,0.4714285714285713,3,local,-0.003067015602382775,0.03410012829696345,0.005174298912063706
114,6097,2014-07,8.0,11.0,0.375,3,both,0.01495690254501449,0.023277928318956566,0.002541895542306438
116,8031,2017-01,8.31,12.85,0.5463297232250299,4,both,-0.021393526969227545,0.1119861868576631,0.0020487405902081188
118,17031,2015-07,8.25,12.0,0.4545454545454546,3,local,-0.06394700292244118,-0.04021989588899107,0.010550929894841025
134,23005,2016-01,7.5,11.0,0.4666666666666665,2,local,0.11643331333660144,-0.032928784433791415,0.0008897469483321859
136,24031,2014-10,7.25,12.25,0.6896551724137931,5,local,-0.08019608168420184,,0.0005389893098069836
138,24033,2014-10,7.25,11.5,0.5862068965517242,4,local,-0.08602414785162321,-0.11607325937682128,0.003995561277935639
140,27053,2014-08,7.25,11.25,0.5517241379310345,5,both,-0.07281505667758345,0.03256572123153258,0.0016510003572239981
142,27123,2014-08,7.25,9.65,0.3310344827586207,3,both,0.03150322596403353,0.007966805578654375,0.002619207412000425
143,27123,2020-01,9.86,15.0,0.5212981744421907,2,local,0.028001235162661176,0.008874521375879948,0.0017500550311456517
145,35001,2013-01,7.5,8.75,0.1666666666666667,1,local,-0.008211772693989525,0.021550409611949067,0.003931486805766628
146,35001,2021-01,9.35,11.5,0.2299465240641711,2,both,0.0004927114404419501,-0.04305119407643005,0.003077789898346303
147,35013,2015-01,7.5,9.2,0.2266666666666665,2,local,0.0406000289257894,-0.06455420639062762,0.0014113445654125262
148,35013,2023-01,10.5,11.5,0.0952380952380953,1,local,0.04783818171285042,0.08306536961242562,0.001261968781472338
150,35049,2012-03,9.5,10.84,0.1410526315789473,1,local,0.20213368932487552,-0.07603832092277157,0.00040917119808622516
151,35049,2022-03,12.32,12.95,0.0511363636363635,1,local,-0.16535759702216285,-0.17324996119135622,0.0003981559370489483
153,36005,2014-01,7.25,11.0,0.5172413793103448,3,both,0.07781690460273313,0.026425126956345066,0.005504224520205428
155,36047,2014-01,7.25,11.0,0.5172413793103448,3,both,-0.003402779196844119,-0.029191840781072863,0.009643553771921902
157,36059,2014-01,7.25,10.0,0.3793103448275863,3,both,0.02095065365511484,0.007781946014755958,0.007194776171961551
159,36061,2014-01,7.25,11.0,0.5172413793103448,3,both,0.03776664364093086,0.09067192617850586,0.006587343502337424
161,36081,2014-01,7.25,11.0,0.5172413793103448,3,both,0.037779858465342334,0.08170901744331259,0.012355436922738884
163,36085,2014-01,7.25,11.0,0.5172413793103448,3,both,0.03455973042252457,-0.019422293245286125,0.0009902387505549193
165,36103,2014-01,7.25,10.0,0.3793103448275863,3,both,-0.023615186184355007,-0.07220330315932647,0.008220615045529187
167,36119,2014-01,7.25,10.0,0.3793103448275863,3,both,-0.14445208423884862,-0.009528313988010947,0.005236248316705794
227,41051,2016-07,9.25,12.5,0.3513513513513513,3,both,0.017020538476417713,-0.13460701855630408,0.0020683094672906154
254,53033,2015-04,9.47,16.0,0.6895459345300949,3,local,-0.001257328824047825,-0.013818357456969653,0.005343209684389935
255,53033,2021-01,15.75,17.27,0.0965079365079364,1,local,-0.0817573840256982,-0.10544827305659388,0.002920555953665998
258,53053,2016-02,9.47,12.35,0.3041182682154169,3,local,-0.11769756495717275,-0.38085059675832644,0.0006898372436241611
