event_id,unit,event_ym,mw_before,mw_end,pct_window,n_steps,source,post_avg,pre_avg,weight
4,2,2015-01,7.75,9.84,0.2696774193548388,2,state,-0.013796536940849084,-0.11653167763639032,0.0039033946880933077
5,2,2024-01,10.85,13.0,0.1981566820276499,2,state,-0.026330210206158375,-0.04003279104423137,0.0034334444096893197
7,4,2017-01,8.05,12.0,0.4906832298136645,3,state,0.010304531597212944,0.019109690166977056,0.04009431979669078
9,5,2016-01,7.5,9.25,0.2333333333333334,3,state,0.051816584557629816,0.07024307851333332,0.008315583893891738
12,6,2014-07,8.0,11.0,0.375,3,state,-0.015109055875925183,-0.008530239986205349,0.1465634014329947
14,8,2017-01,8.31,12.0,0.4440433212996388,4,state,-0.0386841821471288,-0.03422634081451022,0.015201621804517722
16,9,2014-01,8.25,10.1,0.2242424242424241,3,state,0.03412265628687673,0.10070761193662739,0.013987562522468121
19,10,2014-06,7.25,8.25,0.1379310344827586,2,state,-0.05166561142414144,-0.027094987896336645,0.004610558995769886
20,10,2019-01,8.25,10.5,0.2727272727272727,3,state,0.10566747109664298,0.05187691353945248,0.004180775302930966
23,11,2014-07,8.25,12.5,0.5151515151515151,4,state,0.0077697055084576805,0.04069627927890944,0.003034395176115555
25,12,2021-10,8.56,13.0,0.5186915887850467,4,state,-0.036990022613589066,-0.023163371162212565,0.10036811581077555
27,15,2015-01,7.25,10.1,0.3931034482758619,4,state,-0.08201051396440556,-0.1038711697739785,0.010883993420656803
28,15,2022-10,10.1,14.0,0.3861386138613862,2,state,-0.04051739591862811,-0.03027569841553973,0.011832817434221765
30,17,2020-01,8.25,13.0,0.5757575757575757,5,state,2.5248608429860597e-05,0.0011851865411968004,0.03525448846691054
36,23,2017-01,7.5,12.0,0.6000000000000001,4,state,0.18870289208131857,0.20125103521617524,0.0003347471797167837
38,24,2015-01,7.25,10.1,0.3931034482758619,4,state,-0.04559237033529073,-0.04305458974116838,0.01791642623371655
41,25,2015-01,8.0,11.0,0.375,3,state,-0.00746618883941829,-0.02238604216289565,0.021577107645488508
43,26,2014-09,7.4,9.25,0.25,1,state,-0.013975361498869736,0.019467286875265888,0.0240125573062191
46,27,2014-08,7.25,9.65,0.3310344827586207,3,state,-0.04601347130660985,0.04349211832594112,0.008826025115584875
