event_id,unit,event_ym,mw_before,mw_end,pct_window,n_steps,source,post_avg,pre_avg,weight
2,2,2003-01,5.65,7.15,0.2654867256637168,1,state,-0.029204558064724703,-0.0025480443047600776,0.003473123870370673
6,4,2007-01,5.15,7.25,0.4077669902912619,2,state,0.00405459389168749,-0.014972539004284718,0.027765404792986424
8,5,2006-10,5.15,7.25,0.4077669902912619,2,state,0.02000687588318656,0.051365809893147554,0.012366123467149822
11,6,2007-01,6.75,8.0,0.1851851851851851,2,state,-0.026303189689346862,-0.04403542970429217,0.09049721301644816
13,8,2007-01,5.15,7.25,0.4077669902912619,1,state,-0.021538338600938026,0.00968986875930511,0.01702412570481622
18,10,2007-01,6.15,7.25,0.178861788617886,2,state,0.029042665340291138,0.008918244650886323,0.004161584538386188
22,11,2005-01,6.15,7.55,0.2276422764227641,3,state,-0.022582370189271346,0.02239168100485904,0.0020442648995601083
24,12,2005-06,5.15,7.21,0.3999999999999999,2,state,0.007853018376308446,0.019721693656955558,0.06954254525209606
26,15,2002-01,5.25,6.25,0.1904761904761904,2,state,-0.043199415405526895,-0.038753984506850025,0.005881866499840604
29,17,2004-01,5.15,7.5,0.4563106796116503,3,state,-0.010800090539062713,-0.008638915906266378,0.04337338200845588
31,19,1997-09,4.75,5.15,0.0842105263157895,1,state,-0.021253783808090374,-0.0477803285903143,0.012281417206791921
32,19,2007-04,5.15,7.25,0.4077669902912619,2,state,0.00983745049857795,-0.0021994453724090215,0.012405973916960624
33,21,2007-07,5.15,7.25,0.4077669902912619,3,state,0.03911921944994341,-0.006648399119909429,0.014063038419240685
35,23,2002-01,5.15,6.5,0.2621359223300969,2,state,-0.01951151025539829,-0.00039147430565999314,0.006111937771812958
37,24,2007-01,5.15,7.25,0.4077669902912619,3,state,0.004100127606808036,0.03173400996622647,0.018986451786320187
40,25,2007-01,6.75,8.0,0.1851851851851851,2,state,-0.028263716792697714,0.0037930028636344454,0.02909020524307532
42,26,2006-10,5.15,7.4,0.4368932038834952,1,state,0.008048475991592377,0.010635324533653956,0.04649614694631973
45,27,2005-08,5.15,6.55,0.2718446601941746,2,state,-0.0034139830532429853,-0.009549379010841179,0.020426731439624413
47,29,2007-01,5.15,7.25,0.4077669902912619,2,state,0.011580467090881973,0.008710092728793306,0.02848236581728645
50,30,2007-01,5.15,7.25,0.4077669902912619,3,state,0.009562670245252612,-0.03162801473365964,0.0043856058522513605
54,32,2006-12,5.15,8.25,0.6019417475728155,4,state,-0.004438365249093121,-0.00659236080741335,0.009969802948582466
56,34,2005-10,5.15,7.25,0.4077669902912619,2,state,-0.01863421728947112,0.004041991607594095,0.037249067945194246
60,36,2005-01,5.15,7.15,0.3883495145631068,3,state,0.007709489883119612,0.0027854207275094245,0.03827760426631035
62,37,2007-01,5.15,7.25,0.4077669902912619,3,state,0.02001434988100846,-0.003688852842369389,0.037315513222312496
63,39,2007-01,5.15,7.3,0.4174757281553396,1,state,-0.013476844806696628,-0.021020289556403747,0.05343585247633388
65,41,1997-01,4.75,6.5,0.368421052631579,3,state,-0.07597910295067145,-0.10058305524872219,0.014965463564050516
66,41,2003-01,6.5,7.5,0.1538461538461537,1,state,-0.006628661960438417,-0.037810181028468996,0.016513551383095862
67,41,2009-01,7.95,8.8,0.1069182389937106,1,state,0.051275086568387,0.039979180092870145,0.015139057474192098
69,42,2007-01,5.15,7.25,0.4077669902912619,2,state,-0.02567213323084417,-0.042805360727149716,0.056391356023853124
71,44,2004-01,6.15,7.4,0.2032520325203251,2,state,0.012004212570023896,0.013954011963815842,0.0047311571788540546
79,53,2009-01,8.07,9.04,0.1201982651796775,1,state,-0.025374058701046517,-0.04992181932745409,0.017712549855271882
81,54,2006-07,5.15,7.25,0.4077669902912619,3,state,-0.022987249490435516,-0.005564242906452008,0.007387617140522434
84,55,2005-06,5.15,6.55,0.2718446601941746,2,state,0.034909895503376975,0.034378280757576034,0.02553622453284002
85,55,2009-08,6.55,7.25,0.1068702290076335,1,state,0.0026613217716218683,0.030549172745870934,0.027414723366685587
89,6001,2007-01,6.75,8.0,0.1851851851851851,2,both,-0.031312251520676654,0.024550928264332444,0.006348308035599656
92,6013,2007-01,6.75,8.0,0.1851851851851851,2,both,,,0.0
95,6037,2007-01,6.75,8.0,0.1851851851851851,2,both,-0.015091288014486781,0.005589120464998071,0.047493251529260046
98,6041,2007-01,6.75,8.0,0.1851851851851851,2,both,,,0.0
101,6073,2007-01,6.75,8.0,0.1851851851851851,2,both,-0.013343310396553038,-0.046055204596607856,0.014362334894598145
106,6081,2007-01,6.75,8.0,0.1851851851851851,2,both,0.08853448449947422,0.06595413976435238,0.0026092334045419627
