event_id,unit,event_ym,mw_before,mw_end,pct_window,n_steps,source,post_avg,pre_avg,weight
3,2,2010-01,7.25,7.75,0.0689655172413792,1,state,-0.036286595283886725,0.01987888904551452,0.0033668734718175506
4,2,2015-01,7.75,9.84,0.2696774193548388,2,state,0.012426821760484884,-0.0903257846314546,0.003554488795839711
5,2,2024-01,10.85,13.0,0.1981566820276499,2,state,0.022186032275756957,0.0028789975740507318,0.0027010716027411593
7,4,2017-01,8.05,12.0,0.4906832298136645,3,state,0.026091657896491326,0.032761427967958695,0.030675200324987013
9,5,2016-01,7.5,9.25,0.2333333333333334,3,state,0.0002737232192714101,0.030795167902282816,0.012198423366323076
12,6,2014-07,8.0,11.0,0.375,3,state,-0.023134956874455697,-0.00889061113522964,0.10297189742174168
14,8,2017-01,8.31,12.0,0.4440433212996388,4,state,-0.03916606317766688,-0.007853709671032397,0.01509007053098184
16,9,2014-01,8.25,10.1,0.2242424242424241,3,state,0.030778262669049688,0.031275492627269204,0.018350849554224568
19,10,2014-06,7.25,8.25,0.1379310344827586,2,state,-0.007209730049831081,-0.026328935377659533,0.004384954296744303
20,10,2019-01,8.25,10.5,0.2727272727272727,3,state,0.07106252431789005,0.04608665613699696,0.003809603832381784
23,11,2014-07,8.25,12.5,0.5151515151515151,4,state,0.0077435386376905335,0.018602540253817995,0.0017016203860848657
25,12,2021-10,8.56,13.0,0.5186915887850467,4,state,-0.022890676744774494,-0.0043633673014880706,0.07392865717683879
27,15,2015-01,7.25,10.1,0.3931034482758619,4,state,-0.0605220268631655,-0.06806368148484931,0.005425103980636296
28,15,2022-10,10.1,14.0,0.3861386138613862,2,state,0.013395194920118533,0.034049488022382945,0.0056219288828582145
30,17,2020-01,8.25,13.0,0.5757575757575757,5,state,0.025319574572051286,0.010795570838887283,0.04449197993217795
36,23,2017-01,7.5,12.0,0.6000000000000001,4,state,0.01829390098334145,0.03030227251611809,0.0032656274830683927
38,24,2015-01,7.25,10.1,0.3931034482758619,4,state,0.002803566497152722,-0.0038962328665520587,0.016817566765449196
41,25,2015-01,8.0,11.0,0.375,3,state,-0.0019083687272800388,-0.024833146946840634,0.032737907888894975
43,26,2014-09,7.4,9.25,0.25,1,state,-0.010059409512378544,-0.02855088627410545,0.03983379574705679
44,26,2025-03,10.56,12.48,0.1818181818181818,1,state,0.01493006411596369,0.009391225724514937,0.049174264604610426
46,27,2014-08,7.25,9.65,0.3310344827586207,3,state,0.008796677476760892,0.017521818673524057,0.021813073712556957
48,29,2019-01,7.85,11.15,0.4203821656050956,4,state,-0.0022151791732693514,0.004201895312467084,0.02504471489905098
51,30,2022-01,8.75,10.55,0.2057142857142857,2,state,0.007968257210189917,-0.007983804612470308,0.004116554057398546
52,31,2015-01,7.25,9.0,0.2413793103448276,2,state,-0.0029054012119515485,-0.006841160897862034,0.006331908719806458
53,31,2023-01,9.0,13.5,0.5,3,state,-0.03142352535614533,-0.0012129923317195507,0.007886386361282728
55,32,2020-07,8.25,11.25,0.3636363636363635,4,state,-0.004257700284263671,-0.028050737819864946,0.013325597413858551
57,34,2014-01,7.25,8.44,0.1641379310344826,1,state,0.006942042366378631,-0.007637904221142702,0.04219287930166409
