event_id,unit,event_ym,mw_before,mw_end,pct_window,n_steps,source,post_avg,pre_avg,weight
3,2,2010-01,7.25,7.75,0.0689655172413792,1,state,-0.015724717950929626,-0.0003306561963734439,0.0032023565957892907
4,2,2015-01,7.75,9.84,0.2696774193548388,2,state,-0.03500266894414459,-0.005167561838783141,0.003370712103548169
5,2,2024-01,10.85,13.0,0.1981566820276499,2,state,0.027882972240047,0.03612598531285495,0.0034226982649910196
7,4,2017-01,8.05,12.0,0.4906832298136645,3,state,-0.0029885407334224873,0.02615727093757228,0.030531269338733746
9,5,2016-01,7.5,9.25,0.2333333333333334,3,state,0.017669047984771827,-0.009356672567984115,0.01142678288461376
12,6,2014-07,8.0,11.0,0.375,3,state,0.01351869516937286,0.01124350523514936,0.1031999105196005
14,8,2017-01,8.31,12.0,0.4440433212996388,4,state,0.10174034274595462,0.08639180870196392,0.01854888966465652
16,9,2014-01,8.25,10.1,0.2242424242424241,3,state,-0.02453802305263779,-0.0359606658630392,0.015223966421482653
19,10,2014-06,7.25,8.25,0.1379310344827586,2,state,0.003170503252477308,0.027936727568454278,0.004309492167625049
20,10,2019-01,8.25,10.5,0.2727272727272727,3,state,-0.08021204999097058,-0.038340010726289925,0.004058529235972624
23,11,2014-07,8.25,12.5,0.5151515151515151,4,state,-0.021872548185958074,0.01908923564704651,0.0037827452308899965
25,12,2021-10,8.56,13.0,0.5186915887850467,4,state,0.0183020712271494,0.05131368503006217,0.07557315172080932
27,15,2015-01,7.25,10.1,0.3931034482758619,4,state,-0.019650234739956432,0.025879359191587875,0.006627976715153421
28,15,2022-10,10.1,14.0,0.3861386138613862,2,state,0.04448903098539199,0.05746844678269844,0.004164926948851845
30,17,2020-01,8.25,13.0,0.5757575757575757,5,state,-0.01154029189546342,-0.01085713289906004,0.03993927558850781
36,23,2017-01,7.5,12.0,0.6000000000000001,4,state,0.019256496992775263,0.0072460631705617146,0.00273357558543892
38,24,2015-01,7.25,10.1,0.3931034482758619,4,state,-0.0003001193834299837,0.03924388146813504,0.021230677847413965
41,25,2015-01,8.0,11.0,0.375,3,state,-0.011368448074083534,0.020727577467528485,0.030742475045252324
43,26,2014-09,7.4,9.25,0.25,1,state,-0.030628104741616882,0.07025807917051063,0.04163992561605614
44,26,2025-03,10.56,12.48,0.1818181818181818,1,state,-0.009072753610898543,-0.016739347981080094,0.040400475881661665
46,27,2014-08,7.25,9.65,0.3310344827586207,3,state,-0.06408257233107813,-0.023305417049940158,0.01815284764490227
48,29,2019-01,7.85,11.15,0.4203821656050956,4,state,-0.03784652648612426,-0.043741884482084936,0.022126606903357427
51,30,2022-01,8.75,10.55,0.2057142857142857,2,state,0.02867993288147508,0.015942451519330103,0.0038819326135311042
52,31,2015-01,7.25,9.0,0.2413793103448276,2,state,-0.0434163542824636,-0.03979700792172036,0.008897893161055078
53,31,2023-01,9.0,13.5,0.5,3,state,0.04296201500459304,0.016624001456609194,0.00674708264909429
55,32,2020-07,8.25,11.25,0.3636363636363635,4,state,0.021419053188820432,0.04927452221986797,0.010580071928302473
57,34,2014-01,7.25,8.44,0.1641379310344826,1,state,0.006364604956205777,-0.020369965325082562,0.040857279948775735
58,34,2019-07,8.85,14.0,0.5819209039548023,5,state,0.029853345000566744,0.04571006245818757,0.03970280203846551
59,35,2020-01,7.5,12.0,0.6000000000000001,3,state,0.0271139824713066,-0.015081508496626289,0.003673716639531338
61,36,2014-01,7.25,9.7,0.3379310344827586,3,state,-0.03357441853186599,-0.02425737738486569,0.034075404140594595
64,39,2022-01,8.8,10.7,0.2159090909090908,2,state,-0.04194764242269704,0.010596913688821763,0.047710836121387705
68,41,2016-07,9.25,11.25,0.2162162162162162,2,state,-0.02246863084562721,0.011683977594685507,0.013745355742641232
72,44,2015-01,8.0,10.1,0.2624999999999999,3,state,0.01124434553232423,-0.010125994784610959,0.0049899905673055365
73,46,2015-01,7.25,8.85,0.2206896551724138,1,state,-0.06815698297960664,-0.004334773254036944,0.0036487231605691985
