event_id,unit,event_ym,mw_before,mw_end,pct_window,n_steps,state,post_avg,pre_avg,weight
4,2,2015-01,7.75,9.84,0.2696774193548388,2,Alaska,0.04499550645690183,-0.007737961619414022,0.0035957883448553495
5,2,2024-01,10.85,13.0,0.1981566820276499,2,Alaska,-0.030177078699164375,-0.013069330271511512,0.0036512458350436094
7,4,2017-01,8.05,12.0,0.4906832298136645,3,Arizona,-0.03632495160079487,-0.010960798549712963,0.03256996713729854
9,5,2016-01,7.5,9.25,0.2333333333333334,3,Arkansas,-0.020834845460360435,0.016646010066734676,0.012189795940280778
12,6,2014-07,8.0,11.0,0.375,3,California,-0.005088406733958252,0.0077594955441124686,0.20367266361526007
14,8,2017-01,8.31,12.0,0.4440433212996388,4,Colorado,0.0020116783278331454,-0.013919820255759142,0.02409579064601357
16,9,2014-01,8.25,10.1,0.2242424242424241,3,Connecticut,0.033949759959249814,0.04374590856517807,0.016240532961332526
19,10,2014-06,7.25,8.25,0.1379310344827586,2,Delaware,-0.026715819501531103,-0.0250387750106377,0.0045972545956326945
20,10,2019-01,8.25,10.5,0.2727272727272727,3,Delaware,0.016721868780963767,0.0029817364934152796,0.004329533842004226
23,11,2014-07,8.25,12.5,0.5151515151515151,4,District of Columbia,0.010872049236776246,-0.035396010813637635,0.004035334610295955
25,12,2021-10,8.56,13.0,0.5186915887850467,4,Florida,-0.006084059886416929,-0.007957987340193082,0.08061948033343448
27,15,2015-01,7.25,10.1,0.3931034482758619,4,Hawaii,0.008097230025488997,-0.019312674336684668,0.0070705538444632504
28,15,2022-10,10.1,14.0,0.3861386138613862,2,Hawaii,-0.055077873136240615,-0.027868601583719496,0.004443036165589691
30,17,2020-01,8.25,13.0,0.5757575757575757,5,Illinois,0.009364227757551233,0.00015189749299340805,0.05607741080061829
36,23,2017-01,7.5,12.0,0.6000000000000001,4,Maine,0.006434300104648481,0.005212020186473015,0.004250541189829651
38,24,2015-01,7.25,10.1,0.3931034482758619,4,Maryland,-0.016233339735064835,-0.029763251552131983,0.028332227446844063
41,25,2015-01,8.0,11.0,0.375,3,Massachusetts,-0.03998620320918643,-0.022944513564101515,0.03279527591317027
43,26,2014-09,7.4,9.25,0.25,1,Michigan,-0.014431161117157129,-0.03378168725423336,0.04442039385483184
46,27,2014-08,7.25,9.65,0.3310344827586207,3,Minnesota,0.030870964993097626,-0.005021138777481886,0.024576278769181656
48,29,2019-01,7.85,11.15,0.4203821656050956,4,Missouri,0.0022838399864415146,-0.010123075744969734,0.023604090996242975
51,30,2022-01,8.75,10.55,0.2057142857142857,2,Montana,0.012510214871672802,0.012974355064629808,0.004141145140386071
52,31,2015-01,7.25,9.0,0.2413793103448276,2,Nebraska,0.04595163039607398,0.019531958500959165,0.009492041900763522
53,31,2023-01,9.0,13.5,0.5,3,Nebraska,-0.022802990380464298,-0.0006276973388698176,0.007197612969037213
55,32,2020-07,8.25,11.25,0.3636363636363635,4,Nevada,-0.038026475051524046,-0.03839133722258764,0.011286546628374082
57,34,2014-01,7.25,8.44,0.1641379310344826,1,New Jersey,-0.00018027465078585686,-0.011537629468185179,0.04358548773348258
58,34,2019-07,8.85,14.0,0.5819209039548023,5,New Jersey,-0.015301847626465078,-0.019230944345439885,0.042353920608566555
59,35,2020-01,7.5,12.0,0.6000000000000001,3,New Mexico,0.016120342362286502,0.021737433582348892,0.009220741812909073
61,36,2014-01,7.25,9.7,0.3379310344827586,3,New York,0.014994530018846194,0.01390019473251762,0.10080695493712966
64,39,2022-01,8.8,10.7,0.2159090909090908,2,Ohio,0.029913368310390154,0.006424666489965827,0.05089668389893029
68,41,2016-07,9.25,11.25,0.2162162162162162,2,Oregon,-0.026205909251836475,-0.01708377848499887,0.01718718017734956
72,44,2015-01,8.0,10.1,0.2624999999999999,3,Rhode Island,-0.021309499596714403,-0.006205826230940639,0.00532319265830143
73,46,2015-01,7.25,8.85,0.2206896551724138,1,South Dakota,0.04782401188753317,-0.0038762087929978123,0.0038923633378738385
74,46,2022-01,9.45,11.5,0.2169312169312169,2,South Dakota,-0.025639585670396876,0.028554982772538498,0.0037263824185439897
76,50,2018-01,10.0,11.75,0.175,2,Vermont,0.024292126519619147,0.009259381883352916,0.002730734206615307
77,51,2021-05,7.25,13.5,0.8620689655172413,4,Virginia,0.031211941719230668,0.0020854875467747683,0.033940986515909224
80,53,2017-01,9.47,13.5,0.4255543822597676,2,Washington,0.009163929959211357,0.008032931218516087,0.03094713115521666
82,54,2015-01,7.25,8.75,0.2068965517241379,2,West Virginia,0.017519824315831156,0.033639501883009876,0.008103697058387599
