group,ages,outcome,stacked_ctrl,stacked_ctrl_se,n_cells,n_persons,n_events
nohs_school,1617,enr_emp,-0.0002120326786844,0.0047153443433995,4961395.0,442387.0,73.0
nohs_school,1617,enr_only,-0.0033141130114393,0.0053666302680354,4961395.0,442387.0,73.0
nohs_school,1617,emp_only,0.001206375216918,0.0019217348461688,4961395.0,442387.0,73.0
nohs_school,1617,neither,0.0023197704736874,0.0023794801717851,4961395.0,442387.0,73.0
nohs_school,1617,enrolled,-0.0035261456906055,0.0032537690288204,4961395.0,442387.0,73.0
nohs_school,1617,employed,0.0009943425383331,0.0053394588144259,4961395.0,442387.0,73.0
nohs_school,1617,log_wage,0.0534855702073047,0.0112417336840189,331238.0,19489.0,73.0
nohs_school,1617,log_earnweek,0.0271614326038208,0.0346996750203025,343086.0,20245.0,73.0
nohs_school,1819,enr_emp,0.0063268719032284,0.0066910776175813,2023353.0,143761.0,73.0
nohs_school,1819,enr_only,-0.0138527135266879,0.0086789273288436,2023353.0,143761.0,73.0
nohs_school,1819,emp_only,0.001510698987969,0.0049888146824285,2023353.0,143761.0,73.0
nohs_school,1819,neither,0.0060151426365275,0.0059852361748707,2023353.0,143761.0,73.0
nohs_school,1819,enrolled,-0.0075258416236994,0.0059078915949463,2023353.0,143761.0,73.0
nohs_school,1819,employed,0.0078375708908099,0.0076865575105286,2023353.0,143761.0,73.0
nohs_school,1819,log_wage,0.0345977595205826,0.0106204466015148,181849.0,10335.0,73.0
nohs_school,1819,log_earnweek,0.0527460780248358,0.0294080305773513,190538.0,10877.0,73.0
nohs_school,1619,enr_emp,0.0014592241243608,0.0039234003238182,6984748.0,586148.0,73.0
nohs_school,1619,enr_only,-0.0062146632665489,0.0045778452340118,6984748.0,586148.0,73.0
nohs_school,1619,emp_only,0.0009884750011134,0.0023419177221643,6984748.0,586148.0,73.0
nohs_school,1619,neither,0.0037669641417271,0.0016965519749635,6984748.0,586148.0,73.0
nohs_school,1619,enrolled,-0.0047554391425747,0.0025298090420116,6984748.0,586148.0,73.0
nohs_school,1619,employed,0.0024476991251981,0.0048018190999135,6984748.0,586148.0,73.0
nohs_school,1619,log_wage,0.0471126798102371,0.0088040273851764,513087.0,29824.0,73.0
nohs_school,1619,log_earnweek,0.032633058590036,0.0292478101130026,533624.0,31122.0,73.0
all,1617,enr_emp,-0.000955633760300702,0.003805475367387879,6577883.0,602019.0,70.0
all,1617,enr_only,0.00048447577454815944,0.004638313639911339,6577883.0,602019.0,70.0
all,1617,emp_only,0.002724290729385857,0.0022241699426565923,6577883.0,602019.0,70.0
all,1617,neither,-0.0022531327438317828,0.0030021060154846735,6577883.0,602019.0,70.0
all,1617,enrolled,-0.0004711579858889424,0.0033149370943973576,6577883.0,602019.0,70.0
all,1617,employed,0.0017686569690851391,0.004796961981583542,6577883.0,602019.0,70.0
all,1617,log_wage,0.05114937366726249,0.00843110584424712,478639.0,28922.0,70.0
all,1617,log_earnweek,0.05691149544525543,0.02405306605849107,498226.0,30308.0,70.0
all,1819,enr_emp,0.004396589570139967,0.004822011578373367,6065121.0,537937.0,70.0
all,1819,enr_only,-0.006768592722604549,0.006075953779466681,6065121.0,537937.0,70.0
all,1819,emp_only,0.005387546559482981,0.006158691534175804,6065121.0,537937.0,70.0
all,1819,neither,-0.0030155434069295424,0.00398946251871939,6065121.0,537937.0,70.0
all,1819,enrolled,-0.002372003152343374,0.007213610250243072,6065121.0,537937.0,70.0
all,1819,employed,0.009784136129534023,0.005977696062062952,6065121.0,537937.0,70.0
all,1819,log_wage,0.030666234687512353,0.007988011103063406,819696.0,51761.0,70.0
all,1819,log_earnweek,0.04856968323678287,0.01413128969948393,869415.0,55242.0,70.0
all,1619,enr_emp,0.001705100661946733,0.0029243244131528555,12643004.0,1139956.0,70.0
all,1619,enr_only,-0.0032260063286939883,0.0043770163218392185,12643004.0,1139956.0,70.0
all,1619,emp_only,0.004099080451393463,0.003524791449605614,12643004.0,1139956.0,70.0
all,1619,neither,-0.0025781747846543406,0.002504337002386916,12643004.0,1139956.0,70.0
all,1619,enrolled,-0.0015209056667007715,0.004062814559169366,12643004.0,1139956.0,70.0
all,1619,employed,0.005804181113147551,0.00436651438622945,12643004.0,1139956.0,70.0
all,1619,log_wage,0.03883755587740405,0.007348521199943632,1298335.0,80683.0,70.0
all,1619,log_earnweek,0.05245366900745037,0.016719797177056225,1367641.0,85550.0,70.0
lowses,1617,enr_emp,-0.001038247017160805,0.005917364283026213,3181950.0,221743.0,70.0
lowses,1617,enr_only,0.004739817622872894,0.006774455962122311,3181950.0,221743.0,70.0
lowses,1617,emp_only,-4.008492445126281e-05,0.0035686654831717725,3181950.0,221743.0,70.0
lowses,1617,neither,-0.0036614856813085676,0.004682710369941485,3181950.0,221743.0,70.0
lowses,1617,enrolled,0.0037015706059763103,0.003915093245069738,3181950.0,221743.0,70.0
lowses,1617,employed,-0.0010783319413212357,0.008310328336641222,3181950.0,221743.0,70.0
lowses,1617,log_wage,0.07559410935031698,0.013267005010970147,146183.0,7603.0,70.0
lowses,1617,log_earnweek,0.07029368516547672,0.03538986677230668,152073.0,7989.0,70.0
lowses,1819,enr_emp,0.0001292647205303809,0.005049327324494475,3045144.0,216228.0,70.0
lowses,1819,enr_only,0.0031206455060273793,0.009309437488023467,3045144.0,216228.0,70.0
lowses,1819,emp_only,0.002969304018962163,0.008638421315678914,3045144.0,216228.0,70.0
lowses,1819,neither,-0.006219214245557493,0.0061156563016726406,3045144.0,216228.0,70.0
lowses,1819,enrolled,0.0032499102265953345,0.00907594628067264,3045144.0,216228.0,70.0
lowses,1819,employed,0.0030985687395300525,0.008188340140592663,3045144.0,216228.0,70.0
lowses,1819,log_wage,0.03971202948743355,0.010893554636819748,336434.0,18885.0,70.0
lowses,1819,log_earnweek,0.047048994595436155,0.029340877492101007,356148.0,20106.0,70.0
lowses,1619,enr_emp,-3.134572011549074e-05,0.003126049299187935,6227094.0,437971.0,70.0
lowses,1619,enr_only,0.0037049250437286045,0.0065420259024496314,6227094.0,437971.0,70.0
lowses,1619,emp_only,0.0015777041133770227,0.005511947917739806,6227094.0,437971.0,70.0
lowses,1619,neither,-0.005251283436881131,0.0043234259467164445,6227094.0,437971.0,70.0
lowses,1619,enrolled,0.0036735793235298238,0.00576098945037076,6227094.0,437971.0,70.0
lowses,1619,employed,0.0015463583931840986,0.006666166237642816,6227094.0,437971.0,70.0
lowses,1619,log_wage,0.05037096025881417,0.010574722550708026,482617.0,26488.0,70.0
lowses,1619,log_earnweek,0.05415227311337454,0.025936337974921526,508221.0,28095.0,70.0
highses,1617,enr_emp,-0.0003061146541509537,0.004364754355083171,3395933.0,380276.0,70.0
highses,1617,enr_only,-0.001955776578762918,0.004753961906718478,3395933.0,380276.0,70.0
highses,1617,emp_only,0.004305870796599217,0.0024564253257780442,3395933.0,380276.0,70.0
highses,1617,neither,-0.0020439795637111863,0.003106733836896513,3395933.0,380276.0,70.0
highses,1617,enrolled,-0.002261891232728925,0.004376273181881798,3395933.0,380276.0,70.0
highses,1617,employed,0.003999756142336803,0.0048156448198901245,3395933.0,380276.0,70.0
highses,1617,log_wage,0.044515759211980706,0.009164485150209036,332456.0,21319.0,70.0
highses,1617,log_earnweek,0.06498696154237942,0.02469834473883484,346153.0,22319.0,70.0
highses,1819,enr_emp,0.007605848491036336,0.007368913719887808,3019977.0,321709.0,70.0
highses,1819,enr_only,-0.009364083973587149,0.006674838554993024,3019977.0,321709.0,70.0
highses,1819,emp_only,0.004762240894595136,0.006797325458561623,3019977.0,321709.0,70.0
highses,1819,neither,-0.003004005412044355,0.004189495202409387,3019977.0,321709.0,70.0
highses,1819,enrolled,-0.0017582354825507705,0.008230307284691147,3019977.0,321709.0,70.0
highses,1819,employed,0.012368089385631421,0.007981093144097505,3019977.0,321709.0,70.0
highses,1819,log_wage,0.02521832366120745,0.00911319686912615,483262.0,32876.0,70.0
highses,1819,log_earnweek,0.040637743032384446,0.014158311779503486,513267.0,35136.0,70.0
highses,1619,enr_emp,0.0033697450904628945,0.004640445978008166,6415910.0,701985.0,70.0
highses,1619,enr_only,-0.005936464417483938,0.0047195548315281735,6415910.0,701985.0,70.0
highses,1619,emp_only,0.004753528793132313,0.0036706426702232315,6415910.0,701985.0,70.0
highses,1619,neither,-0.002186809465992954,0.002792478779322085,6415910.0,701985.0,70.0
highses,1619,enrolled,-0.0025667193269315594,0.004698916597283779,6415910.0,701985.0,70.0
highses,1619,employed,0.00812327388347688,0.005425303437411714,6415910.0,701985.0,70.0
highses,1619,log_wage,0.03362607999377264,0.007267232567855048,815718.0,54195.0,70.0
highses,1619,log_earnweek,0.04966481660865868,0.016316416163457446,859420.0,57455.0,70.0
female,1617,enr_emp,-0.012326043756655086,0.0055603544433068825,3250706.0,292956.0,70.0
female,1617,enr_only,0.01141944322426682,0.007360282959146613,3250706.0,292956.0,70.0
female,1617,emp_only,0.0006949366507830332,0.0029111511839361353,3250706.0,292956.0,70.0
female,1617,neither,0.00021166388160517898,0.0038681588898615464,3250706.0,292956.0,70.0
female,1617,enrolled,-0.0009066005324248778,0.004278918568728092,3250706.0,292956.0,70.0
female,1617,employed,-0.01163110710610698,0.006298707226600783,3250706.0,292956.0,70.0
female,1617,log_wage,0.054469982923304114,0.012316926028497509,255031.0,15400.0,70.0
female,1617,log_earnweek,0.050861925548626945,0.030810245432631767,263470.0,15984.0,70.0
female,1819,enr_emp,-0.0026997633571559706,0.006213542264169493,2984968.0,261151.0,70.0
female,1819,enr_only,-0.0033703615512887305,0.008440549382878037,2984968.0,261151.0,70.0
female,1819,emp_only,0.00738633744815634,0.007295600582338228,2984968.0,261151.0,70.0
female,1819,neither,-0.001316212539711609,0.005185364738243333,2984968.0,261151.0,70.0
female,1819,enrolled,-0.00607012490844473,0.009267787494129856,2984968.0,261151.0,70.0
female,1819,employed,0.004686574091000301,0.00846386103416066,2984968.0,261151.0,70.0
female,1819,log_wage,0.024436378601259877,0.008310367107292644,413336.0,25949.0,70.0
female,1819,log_earnweek,0.05652689070797673,0.018071675884252233,435470.0,27486.0,70.0
female,1619,enr_emp,-0.007483664033974277,0.004133716939751818,6235674.0,554107.0,70.0
female,1619,enr_only,0.0037406490489527875,0.007093066527831995,6235674.0,554107.0,70.0
female,1619,emp_only,0.004135577856674033,0.003994695849255516,6235674.0,554107.0,70.0
female,1619,neither,-0.0003925628716526497,0.00307743494282407,6235674.0,554107.0,70.0
female,1619,enrolled,-0.0037430149849585854,0.0053229195594781875,6235674.0,554107.0,70.0
female,1619,employed,-0.003348086177300205,0.006040945403591988,6235674.0,554107.0,70.0
female,1619,log_wage,0.03700022725228518,0.008055752870188018,668367.0,41349.0,70.0
female,1619,log_earnweek,0.05592056597626718,0.01911118406055289,698940.0,43470.0,70.0
male,1617,enr_emp,0.010228519826293081,0.006079795726067755,3327177.0,309063.0,70.0
male,1617,enr_only,-0.010289256142226009,0.006196700935703233,3327177.0,309063.0,70.0
male,1617,emp_only,0.004796806471357556,0.002720795055222608,3327177.0,309063.0,70.0
male,1617,neither,-0.0047360701550670644,0.0035705974847809476,3327177.0,309063.0,70.0
male,1617,enrolled,-6.073631629047447e-05,0.0038233152957534537,3327177.0,309063.0,70.0
male,1617,employed,0.015025326297160456,0.006713486061388438,3327177.0,309063.0,70.0
male,1617,log_wage,0.04824358017268836,0.008612938337260623,223608.0,13522.0,70.0
male,1617,log_earnweek,0.0619717168040602,0.031480997773762405,234756.0,14324.0,70.0
male,1819,enr_emp,0.011074023534340432,0.006180931421170596,3080153.0,276786.0,70.0
male,1819,enr_only,-0.009421477897535672,0.0070467697704206834,3080153.0,276786.0,70.0
male,1819,emp_only,0.003281511667859841,0.0071964873850983956,3080153.0,276786.0,70.0
male,1819,neither,-0.0049340573046562615,0.005003685985871106,3080153.0,276786.0,70.0
male,1819,enrolled,0.0016525456370871559,0.007275203808260322,3080153.0,276786.0,70.0
male,1819,employed,0.014355535202133753,0.007310625612478756,3080153.0,276786.0,70.0
male,1819,log_wage,0.03822333213425476,0.009763280066319017,406360.0,25812.0,70.0
male,1819,log_earnweek,0.042691478907189585,0.018669475019437626,433945.0,27756.0,70.0
male,1619,enr_emp,0.010791235067559577,0.0046687125759589145,6407330.0,585849.0,70.0
male,1619,enr_only,-0.009970745235071533,0.0047942841421153145,6407330.0,585849.0,70.0
male,1619,emp_only,0.004084680230014443,0.003969735483284131,6407330.0,585849.0,70.0
male,1619,neither,-0.004905170062387376,0.00293222327365831,6407330.0,585849.0,70.0
male,1619,enrolled,0.000820489832372923,0.003863110162574557,6407330.0,585849.0,70.0
male,1619,employed,0.014875915297388837,0.005548871356222915,6407330.0,585849.0,70.0
male,1619,log_wage,0.043099222673706764,0.007961594091153401,629968.0,39334.0,70.0
male,1619,log_earnweek,0.052693417023483555,0.021303071857932586,668701.0,42080.0,70.0
white,1617,enr_emp,0.00377606992321741,0.005409756925318013,3628909.0,354688.0,70.0
white,1617,enr_only,-0.005825366587547393,0.006805674308045945,3628909.0,354688.0,70.0
white,1617,emp_only,0.0028658239051944506,0.0030959014556133794,3628909.0,354688.0,70.0
white,1617,neither,-0.0008165272408644136,0.0042259991260411665,3628909.0,354688.0,70.0
white,1617,enrolled,-0.0020492966643300262,0.005678120757818472,3628909.0,354688.0,70.0
white,1617,employed,0.0066418938284118784,0.006787230497476532,3628909.0,354688.0,70.0
white,1617,log_wage,0.04921510074341555,0.010511405409238358,350595.0,20917.0,70.0
white,1617,log_earnweek,0.056638396116151395,0.021782085940549104,364723.0,21872.0,70.0
white,1819,enr_emp,-0.007649532432821441,0.00704499028583379,3435485.0,314235.0,70.0
white,1819,enr_only,-0.005007232406891926,0.007815082753702698,3435485.0,314235.0,70.0
white,1819,emp_only,0.010747060656428178,0.0076861191041566745,3435485.0,314235.0,70.0
white,1819,neither,0.0019097041832822027,0.005253570849295392,3435485.0,314235.0,70.0
white,1819,enrolled,-0.012656764839710406,0.00899777762279864,3435485.0,314235.0,70.0
white,1819,employed,0.003097528223611971,0.008647517687255715,3435485.0,314235.0,70.0
white,1819,log_wage,0.025949625687166238,0.012297921802908113,555266.0,33621.0,70.0
white,1819,log_earnweek,0.05448405547051034,0.02188132794298734,587854.0,35776.0,70.0
white,1619,enr_emp,-0.0017021852569910094,0.004389160761260697,7064394.0,668923.0,70.0
white,1619,enr_only,-0.006486704642955592,0.005941075166244191,7064394.0,668923.0,70.0
white,1619,emp_only,0.007549241367348684,0.004481379000496834,7064394.0,668923.0,70.0
white,1619,neither,0.0006396485326014809,0.0035528224907437566,7064394.0,668923.0,70.0
white,1619,enrolled,-0.00818888989994475,0.00547681405838514,7064394.0,668923.0,70.0
white,1619,employed,0.00584705611035769,0.006359126468787452,7064394.0,668923.0,70.0
white,1619,log_wage,0.03565527745494637,0.009438453718362272,905861.0,54538.0,70.0
white,1619,log_earnweek,0.055356229743169894,0.018899318587033944,952577.0,57648.0,70.0
nonwhite,1617,enr_emp,-0.006634183176757512,0.005439050189754821,2948974.0,247331.0,70.0
nonwhite,1617,enr_only,0.008221027154932335,0.0077334304660005675,2948974.0,247331.0,70.0
