sample,outcome,mean,OLS,2SLS samesex,2SLS twoboys+twogirls,Sargan p,N
"1980 Census, married mothers",Worked for pay,0.528,-0.129*** (0.002),-0.131*** (0.029),-0.120*** (0.028),0.008,254654
"1980 Census, married mothers",Weeks worked,19.018,-6.230*** (0.086),-5.814*** (1.243),-5.461*** (1.230),0.05,254654
"1980 Census, Black/Hispanic mothers",Worked for pay,0.59,-0.165*** (0.006),-0.188** (0.092),-0.186** (0.092),0.776,31857
"1980 Census, Black/Hispanic mothers",Weeks worked,22.674,-8.961*** (0.251),-5.572 (4.179),-5.591 (4.168),0.952,31857
"1980 Census, Black/Hispanic mothers",Hours per week,21.22,-6.138*** (0.221),-5.825 (3.674),-5.605 (3.665),0.429,31857
"1980 Census, Black/Hispanic mothers",Labour income ($1000s),8.531,-3.955*** (0.127),0.858 (2.161),0.974 (2.162),0.479,31857
"1980 Census, Black/Hispanic mothers",Number of children,2.752,1.432*** (0.006),1.317*** (0.116),1.340*** (0.115),0.008,31857
"CPS ASEC 2021-23, all mothers",Worked for pay,0.689,-0.107*** (0.012),0.411 (0.261),0.459* (0.265),0.157,9171
"CPS ASEC 2021-23, all mothers",Hours per week,22.31,-5.630*** (0.473),3.239 (9.458),5.452 (9.478),0.069,9171
"CPS ASEC 2021-23, all mothers",Labour income ($1000s),29.344,-8.521*** (1.132),-11.549 (20.760),-8.295 (20.353),0.242,9171
"CPS ASEC 2021-23, all mothers",Number of children,2.731,1.503*** (0.015),1.794*** (0.329),1.716*** (0.321),0.061,9171
"CPS ASEC 2021-23, married mothers",Worked for pay,0.656,-0.121*** (0.014),0.639 (0.406),0.514 (0.379),0.006,6559
"CPS ASEC 2021-23, married mothers",Hours per week,21.387,-6.219*** (0.559),6.185 (13.379),2.105 (12.918),0.009,6559
"CPS ASEC 2021-23, married mothers",Labour income ($1000s),31.569,-9.382*** (1.535),-17.307 (32.302),-19.626 (32.343),0.569,6559
"CPS ASEC 2021-23, married mothers",Number of children,2.721,1.497*** (0.017),1.478*** (0.436),1.591*** (0.432),0.033,6559
