,difference,boot se,t
"D=1, 0-0.5",0.03772486857721413,0.0016175238132979987,23.32260475367977
"D=1, 0.5-13",0.005614828017609225,0.0007319653905620915,7.670892763519163
"D=1, 13-26",0.005403050760182455,0.000695417559712646,7.769505795072321
"D=1, 26-39",0.0037131168056028993,0.000633109297543353,5.864890659497286
"D=1, 39-47",0.0036171520183265263,0.0005435623858718781,6.654529659046565
"D=1, 47-52.5",0.011452241271260627,0.0010086045787346995,11.354540235805327
"D=0, 0-0.5",0.02843245672874828,0.0017434308997338406,16.30833589853713
"D=0, 0.5-13",0.006297583768111972,0.000867592167992026,7.258691353435377
"D=0, 13-26",0.006134609439392438,0.0008482194036770979,7.232338016317975
"D=0, 26-39",0.0035540292998711837,0.0008343773896178323,4.259498572341499
"D=0, 39-47",0.004629930786028573,0.0008091531390987602,5.721946269880901
"D=0, 47-52.5",0.01847664742804339,0.001402385230217016,13.175158315938747
