e,estimate,se
-10,0.003481549317588178,0.003874975211477054
-9,0.0005922328326799588,0.0038112716036904732
-8,-0.0036766937463054857,0.004045442079544586
-7,-0.004794062432725263,0.004183627101105009
-6,-0.003683116725590871,0.0038708099158131395
-5,0.004630169345578578,0.004092318362350625
-4,-0.0025456797868244167,0.003970806820405275
-3,-0.0006964822886681998,0.003611005069769419
-2,0.0015231336576723919,0.0035958912657357315
-1,-0.0005181043507194844,0.003503866392748368
0,-0.0016787294790640394,0.004055416617757692
1,-0.0009995115494287915,0.003949437548159231
2,-0.0008421300661140615,0.004113029000840432
3,-0.0012233088586231283,0.004721534291295562
4,-0.0012446707981849073,0.00459679981825932
5,-0.0025801443850237368,0.004464550715601399
6,0.0028471426958246735,0.004523306035976872
7,-0.0017644051076866711,0.005589410880589954
8,0.002615600695928858,0.00570334183203114
9,-0.008238343688404497,0.005477990901148293
10,-0.007335442089270367,0.005462391916673527
