e,estimate,se
-10,2.0399813296358094,1.9494300519897196
-9,-3.0399607403974045,2.2861241237905086
-8,-0.9057164737400546,2.3867273249451344
-7,4.407171705703815,2.328329002803971
-6,-2.337888194824878,2.1106167356718935
-5,-0.013494250651719613,2.2571115926062406
-4,3.5122957508151753,2.2897509314773954
-3,-2.260866786771907,2.2285030212695975
-2,-0.004109636209338462,2.32586976571567
-1,-2.279946926064484,2.35428360290743
0,1.5989592221516558,2.5618576861799207
1,3.424792659646362,2.356384360323493
2,-1.2102996542791877,2.4615971822017606
3,0.563203973348138,2.3988421607340324
4,-0.8445655151730617,2.8369950970686597
5,-2.107947812009807,3.2452919532228415
6,-0.8091676007905692,2.8553217432086866
7,0.14187726065346146,3.5254051127800023
8,1.0924681741171145,3.2162239059585676
9,-2.7593804589233537,3.3331486835213746
10,-2.4503054074902924,3.5386196766050793
