year,estimate,se
2004,-0.11682091457579957,0.09498419404096334
2005,0.07002954995107202,0.08639037358347139
2006,-0.1258434291357855,0.0959036372074838
2007,-0.013030382261593254,0.09154545533462295
2008,-0.044398215341757474,0.0936448226459804
2009,-0.045617160595710235,0.08600855246571354
2010,-0.02125739145344066,0.08371465032791252
2011,-0.05233915814828445,0.08029613114177453
2012,0.05105900055670565,0.08309085713926237
2013,-0.14590978963584242,0.0920084620419144
2014,-0.035610286529456525,0.0831959447076939
2015,-0.0012593740463011176,0.09098528291784466
2016,0.03487263710391601,0.09825220592964731
2017,-0.04341070007733601,0.09429931097487275
2018,0.03617716497725857,0.08038610119375497
2019,0.014600741003976016,0.07561796562974579
2020,0.024700600139982095,0.062221293631932496
2021,0.0585288319000943,0.06449209268052757
2022,-0.09525960561036331,0.07885150394024305
2023,0.07882591937792845,0.08399594990120916
2024,0.07391590391743227,0.07394234729271718
