e,estimate,se
-10,0.9187678512145814,1.094038817155373
-9,-2.5991673914125,1.2228876357614384
-8,1.5942710698264264,1.2585958119268095
-7,-0.8204368063764542,1.2999879666483831
-6,1.1473897778079452,1.356684267016275
-5,-0.310966611502316,1.2913973013218272
-4,0.7383600762279138,1.2536658275905288
-3,0.23901733607659925,1.2509594722331336
-2,-1.2506236693074562,1.243692615602309
-1,0.6444374073667138,1.1413127063673414
0,-0.8413203627445561,1.1397524127273526
1,2.1976895984440263,1.2314008230790947
2,0.6541982330252971,1.120284416072756
3,-0.6839899750293802,1.2966261141505633
4,0.6597076855142269,1.2788173129986455
5,0.04222078567049303,1.5262678692470284
6,-0.033189206084552614,1.4513294643933015
7,1.7394840368403222,1.4380616817407397
8,-0.03759060895591052,1.3867984983016988
9,-1.5134597192439412,1.602719070147254
10,1.0515013405519236,1.7365196809109174
