e,estimate,se
-10,0.005450028929508479,0.007628307896383787
-9,-0.002062660562274835,0.007293557139565811
-8,-0.0007366517556799421,0.007215373470857273
-7,-0.008186346767995909,0.006984572072128455
-6,-0.010701475446125428,0.007391639505391169
-5,0.013836946746630028,0.007268447542211817
-4,-0.003275757425084842,0.0068639120575353825
-3,-0.004631044086890269,0.00643237694006681
-2,0.003279567873123758,0.006918310892441079
-1,0.0021674566666981475,0.007264200160135956
0,-0.00888179753047046,0.006854883100375348
1,-0.00794835061378463,0.007388394020899243
2,-0.004910853764945072,0.007840999305445814
3,-0.004972037889115756,0.007911717280545634
4,-0.0009525080645646857,0.00839668905058512
5,-0.008138415975637883,0.008820639576838867
6,-0.002872375295693354,0.009006587670547959
7,-0.001769777605724264,0.010087294140035976
8,-0.003984779277381478,0.010167590925517892
9,-0.015698535123288164,0.009694097029894577
10,-0.02563113861690586,0.009108700767823275
