g,t,ATT
2004,1990,-0.5989410413731839
2004,1991,-0.5459383692597406
2004,1992,0.4153001413548516
2004,1993,1.3407823437237631
2004,1994,-1.0788579735695834
2004,1995,-2.5097887097396843
2004,1996,2.0698375129531286
2004,1997,-0.14047203514692796
2004,1998,0.42084442734211436
2004,1999,0.25482268168101285
2004,2000,0.399308012574334
2004,2001,0.28045349923131724
2004,2002,0.028277823570427074
2004,2003,0.07654609746059649
2004,2004,-1.553706955825696
2004,2005,0.033486122293236775
2004,2006,-1.1110088786481214
2004,2007,-0.5441449389468005
2004,2008,0.5456870929514572
2004,2009,0.23166408257488413
2004,2010,0.3707502290385065
2004,2011,0.25903884422779555
2004,2012,0.835289756637053
2004,2013,0.5874758920101009
2004,2014,0.5643894533988885
2004,2015,-1.1482261238397307
2004,2016,1.9530674183366585
2004,2017,-0.7087831831953011
2004,2018,0.25068640240723283
2004,2019,0.7099911784722899
2004,2020,-0.630153510856168
2004,2021,-0.10718650539944008
2004,2022,2.9271288025224607
2004,2023,2.7913103352415547
2004,2024,1.5090747065871533
2009,1990,-0.1237308872472731
2009,1991,-0.6304676161622922
2009,1992,0.6009273209012385
2009,1993,1.71680017652697
2009,1994,-1.030253457863111
2009,1995,1.7887217811351235
2009,1996,-2.900407537132349
2009,1997,0.3232124101706937
2009,1998,1.4419153153204682
2009,1999,-0.15759807790317382
2009,2000,-0.2972237057001266
2009,2001,1.6223274233537666
2009,2002,1.8613922760325714
2009,2003,-3.0555119341529533
2009,2004,0.8469374581405091
2009,2005,-0.5275768433480579
2009,2006,0.420238591397915
2009,2007,1.7480946681426914
2009,2008,-2.802630015973378
2009,2009,2.1937409436794937
2009,2010,1.9289691406761378
2009,2011,1.7658677429806886
2009,2012,5.660087444760805
2009,2013,-0.29028661618590945
2009,2014,2.0504358237487104
2009,2015,1.1862865764587447
2009,2016,5.42712086768924
2009,2017,2.1859484081315372
2009,2018,3.7956219320762195
2009,2019,6.139718480458665
2009,2020,2.685574294228772
2009,2021,1.50529338534459
2009,2022,0.9121590549113066
2009,2023,6.029350135421577
2009,2024,4.511178742229376
2014,1990,2.3128290084823924
2014,1991,-0.2250731745337866
2014,1992,-0.5917875550019112
2014,1993,3.919030061519038
2014,1994,1.658736955901702
2014,1995,-0.23919791182714079
2014,1996,1.2637463108840628
2014,1997,-2.8654416886652747
2014,1998,0.5003264279736293
2014,1999,1.8377812756935228
2014,2000,-2.7523227250260653
2014,2001,0.353234881468218
2014,2002,3.610583987497222
2014,2003,-3.3554538539597907
2014,2004,-1.6886852796547913
2014,2005,2.7726271507553406
2014,2006,-1.2059028937299914
2014,2007,1.5287515591801686
2014,2008,-0.4128390684914187
2014,2009,0.6552471030515861
2014,2010,0.13172327218499547
2014,2011,-1.894227284857653
2014,2012,-1.9736362852730487
2014,2013,4.115624999143538
2014,2014,0.03227604828189001
2014,2015,0.42866909713471557
2014,2016,-3.125484452900036
2014,2017,-2.326702542031466
2014,2018,-2.1383954605646096
2014,2019,0.23226750707168264
2014,2020,1.7098960224332203
2014,2021,1.0563323797367978
2014,2022,1.1314574493961906
2014,2023,-0.3179992956231459
2014,2024,-3.530980972459176
2018,1990,0.12625386373633063
2018,1991,1.194026544040046
2018,1992,0.7281823928277547
2018,1993,-0.9365945203835082
2018,1994,-1.5468703446331844
2018,1995,-0.8651547348036175
2018,1996,-0.06408357403667253
2018,1997,3.0933829769240226
2018,1998,1.5719927492843873
2018,1999,-0.7971732480616218
2018,2000,-0.3620349507186802
2018,2001,1.211456359380744
2018,2002,-0.9586738341696268
2018,2003,0.4183728358411969
2018,2004,1.21599307393317
2018,2005,-0.5886643139825978
2018,2006,1.3326066385814777
2018,2007,-1.9844185812388524
2018,2008,1.892723518771657
2018,2009,-2.0025986530222255
