g,t,ATT
2004,1990,0.011519955882400443
2004,1991,0.0004387747607828632
2004,1992,-0.011212437490149114
2004,1993,0.0018404345772226535
2004,1994,0.01486676344303476
2004,1995,-0.010665547132052089
2004,1996,0.012185338413592234
2004,1997,-0.03071579164521654
2004,1998,0.002315295920602145
2004,1999,0.009008377794559666
2004,2000,0.0028424585705945707
2004,2001,-0.0059671168364946806
2004,2002,0.0046456443148580676
2004,2003,-0.01315743557425219
2004,2004,-0.0003670316173688473
2004,2005,0.018814494526569976
2004,2006,-0.000881599539467523
2004,2007,0.012168416995858113
2004,2008,-0.0036358059713606714
2004,2009,0.006827809105374373
2004,2010,-0.0015033777200854775
2004,2011,0.005749605780295826
2004,2012,0.012733548097165176
2004,2013,0.0024442012256250603
2004,2014,-0.0018080131858837709
2004,2015,0.0025087540961203775
2004,2016,0.0011708379526311694
2004,2017,-0.001760996392942471
2004,2018,-0.00257256992079969
2004,2019,0.0011210107538624156
2004,2020,-0.00015691646999824171
2004,2021,0.009347824691333884
2004,2022,-0.0014782878808319022
2004,2023,0.0009534501618788868
2004,2024,0.010278816840359611
2009,1990,0.01227312130718311
2009,1991,-0.006108354014894249
2009,1992,-0.0016198753506337787
2009,1993,-0.008879797230433965
2009,1994,0.02078299989827178
2009,1995,0.009976527450890088
2009,1996,-0.014468908093720867
2009,1997,-0.019106349451849414
2009,1998,-0.0007712482590651951
2009,1999,0.005364225600912036
2009,2000,0.0031089368039667192
2009,2001,0.01832427470268297
2009,2002,-0.006189994770663142
2009,2003,-0.023495229832987317
2009,2004,0.027479227124672122
2009,2005,-0.018968836968987636
2009,2006,0.016233718624826546
2009,2007,-0.015850624185052745
2009,2008,0.01241241558705762
2009,2009,-0.0009339794556413594
2009,2010,-0.02505512910106026
2009,2011,-0.006770156847817746
2009,2012,-0.03818298541052399
2009,2013,-0.022974827815291962
2009,2014,-0.03659093149444852
2009,2015,-0.028651825927294074
2009,2016,-0.008494483662472997
2009,2017,-0.032206295670209176
2009,2018,-0.03875569047293701
2009,2019,-0.03714510671959738
2009,2020,-0.0035407548224831234
2009,2021,0.019590499441887017
2009,2022,-0.007529529005465045
2009,2023,-0.0012413205964077537
2009,2024,-0.011397724533682804
2014,1990,-0.0015365303517087606
2014,1991,0.021414330255834307
2014,1992,-0.06569914128140122
2014,1993,0.05445179993619239
2014,1994,-0.03168557334602865
2014,1995,0.03423687119295021
2014,1996,-0.004256450640915635
2014,1997,-0.0155648305523065
2014,1998,-0.023777970524942196
2014,1999,0.04489184453078144
2014,2000,0.005967331392899539
2014,2001,-0.003429464544023847
2014,2002,-0.011921633024426219
2014,2003,0.0027679173038151553
2014,2004,-0.0003525126345656285
2014,2005,-0.0062605509196011905
2014,2006,-0.014916171798214722
2014,2007,0.00020047612522627184
2014,2008,0.030148069884533654
2014,2009,0.018499615306166645
2014,2010,-0.047446395269109556
2014,2011,-0.006338484738871705
2014,2012,0.01746983807992429
2014,2013,-0.004224865050397798
2014,2014,-0.02325352341620967
2014,2015,-0.010455831077073471
2014,2016,-0.013826137760868228
2014,2017,0.008326215965559804
2014,2018,0.06444460436562091
2014,2019,0.01132035972169023
2014,2020,0.024232025487268105
2014,2021,-0.013966349787579345
2014,2022,-0.02181153556565468
2014,2023,-0.019780294857659354
2014,2024,-0.007483448675498758
2018,1990,-0.0006766656861319775
2018,1991,-0.0036751142460610536
2018,1992,-0.011038363336375784
2018,1993,0.012970240374563985
2018,1994,-0.010897407575272855
2018,1995,0.023127867413231487
2018,1996,-0.03311341068776165
2018,1997,0.005323141088799291
2018,1998,-0.004228167585628426
2018,1999,0.031744250776724325
2018,2000,-0.012027422211722302
2018,2001,-0.004085733237598858
2018,2002,0.0015906932961397904
2018,2003,-0.006910508547442629
