year,estimate,se
2004,-0.0003670316173688473,0.010762362993375603
2005,0.018814494526569976,0.010210668900004239
2006,-0.000881599539467523,0.010703303994363422
2007,0.012168416995858113,0.010225269356278958
2008,-0.003635805971360671,0.010403906716423423
2009,0.004966457902989617,0.009621998617500585
2010,-0.007151313167776606,0.009258164849537889
2011,0.002747246847400423,0.008990034841167656
2012,0.0005232759259017729,0.009022130379743082
2013,-0.003651525280814627,0.009539725017188656
2014,-0.010418227823593614,0.008386011422573576
2015,-0.005076563059338712,0.010255294485312583
2016,-0.0014072123404760505,0.009434487773122934
2017,-0.008705211266153201,0.009127327086469511
2018,-0.012177371059048443,0.007822262074016173
2019,-0.006166968501302848,0.007682496449377591
2020,-0.009008726385780055,0.008500596396725771
2021,0.0032876309542233663,0.007902664817968105
2022,-0.004707763484679763,0.007218859916633997
2023,-0.005356446955185939,0.007319531300533207
2024,0.002663444872997443,0.007712865565768915
