g,t,ATT
2004,1990,1.7366140593616421
2004,1991,1.2096996545902314
2004,1992,0.5916842735201655
2004,1993,-2.9511071733534138
2004,1994,-0.23240867194222048
2004,1995,5.838768939576891
2004,1996,-6.606297818722883
2004,1997,5.2894525996611215
2004,1998,-2.396169968454629
2004,1999,-5.040239476831459
2004,2000,2.938272390388878
2004,2001,1.348400776400183
2004,2002,-0.48314677554263596
2004,2003,0.27826685600432555
2004,2004,-0.2733364566550023
2004,2005,-0.8421120547944518
2004,2006,1.292913290687565
2004,2007,2.919398869162549
2004,2008,1.1128872937356356
2004,2009,1.8025458710238595
2004,2010,2.7061140431801256
2004,2011,0.1773656194484694
2004,2012,1.2161508205957503
2004,2013,2.1288742286204965
2004,2014,0.557040143183201
2004,2015,3.2768898370593327
2004,2016,-0.20563095497027817
2004,2017,-1.506940001869424
2004,2018,-0.6565746326979465
2004,2019,-0.826988862781981
2004,2020,-0.06051283379849082
2004,2021,0.2538297300279986
2004,2022,1.8562905748611733
2004,2023,1.8525034186963367
2004,2024,2.490598607878102
2009,1990,0.8956532261489265
2009,1991,-5.015479882123849
2009,1992,7.692700582533927
2009,1993,4.94076917078792
2009,1994,-11.495696402270369
2009,1995,2.9004195260575543
2009,1996,5.134238379752233
2009,1997,-1.1088593892629106
2009,1998,-7.809992500096442
2009,1999,-2.3412652380640857
2009,2000,1.5781774473266843
2009,2001,6.733761704617461
2009,2002,2.7416288229930217
2009,2003,-11.426272313968486
2009,2004,13.596070663754517
2009,2005,-3.947819350516113
2009,2006,-7.249293198498016
2009,2007,1.9115138732833543
2009,2008,-1.1915441710351402
2009,2009,-3.886023902188228
2009,2010,-2.5125668470369718
2009,2011,-1.7801685487507903
2009,2012,4.909050197189465
2009,2013,1.549980668351381
2009,2014,-0.13377165822591763
2009,2015,5.347731184717389
2009,2016,-1.4911055677585594
2009,2017,-0.255202498432034
2009,2018,5.9885627189362935
2009,2019,2.8281955467878035
2009,2020,2.394115889906356
2009,2021,4.13340948391949
2009,2022,0.4118746717115336
2009,2023,-2.6403737710809523
2009,2024,-1.8811755790359328
2014,1990,10.678666648197929
2014,1991,-27.334005573706843
2014,1992,44.52190097558076
2014,1993,-17.429420761539852
2014,1994,7.616746356836966
2014,1995,14.144630710976411
2014,1996,-10.823114714664165
2014,1997,1.9419198115484058
2014,1998,-24.283109070105855
2014,1999,1.1922075456153642
2014,2000,13.40685688570872
2014,2001,-13.84605801973375
2014,2002,4.3026424218954915
2014,2003,5.6333202106418625
2014,2004,-3.7073049980999215
2014,2005,-3.2270785520152856
2014,2006,0.9511241539966697
2014,2007,8.098099364878625
2014,2008,3.973103016814843
2014,2009,-7.950538057983206
2014,2010,8.275590182792683
2014,2011,-5.554400442071874
2014,2012,-9.592923237965131
2014,2013,8.33367171372095
2014,2014,1.5669825920665552
2014,2015,-2.432320428769568
2014,2016,-7.664168636793285
2014,2017,-8.769155149043673
2014,2018,1.2008292557961724
2014,2019,-11.801390765697029
2014,2020,-0.7202811093236576
2014,2021,-2.629484421184703
2014,2022,-1.940294060068755
2014,2023,-15.169946525223667
2014,2024,11.204458719256252
2018,1990,3.8725353476493467
2018,1991,2.483636076360387
2018,1992,-7.141907761076183
2018,1993,2.7909816442526534
2018,1994,0.550934188720916
2018,1995,0.2420134548114632
2018,1996,4.407635013625011
2018,1997,-5.73289261259637
2018,1998,-5.114675357085208
2018,1999,2.2467512003763552
2018,2000,5.226498460530891
2018,2001,-9.353513256448053
2018,2002,4.832542070879153
2018,2003,3.0854686650045515
2018,2004,0.784898144149615
2018,2005,-2.79091073633008
2018,2006,-5.678918289697105
2018,2007,3.8706685410455
2018,2008,2.0158701446524994
2018,2009,3.451526809819061
2018,2010,-1.1674663581636082
2018,2011,-1.6438455731251196
2018,2012,-2.584519354014958
2018,2013,-3.6386225787182838
2018,2014,2.5216630575028915
2018,2015,0.7742830115239343
2018,2016,8.590720487857016
2018,2017,-7.879732344881187
2018,2018,1.4715570961281372
2018,2019,6.084042563203489
2018,2020,5.7929157040495305
2018,2021,3.4275530572317763
2018,2022,-1.705914172070333
2018,2023,-1.1703024216917335
2018,2024,-1.0368856277115341
2020,1990,-4.841226518134061
2020,1991,6.182460793122697
2020,1992,-2.910524263401843
2020,1993,-3.9919125760144922
2020,1994,6.236103387280764
2020,1995,0.22714235039878972
2020,1996,3.3388703062062177
2020,1997,-10.705993263021988
2020,1998,7.898071685620309
2020,1999,3.0969643615161324
2020,2000,-5.058792373186407
2020,2001,2.034835465390575
2020,2002,-0.6525305577797305
2020,2003,2.5354024661774694
2020,2004,-0.3620884815221004
2020,2005,-1.5946473270453794
2020,2006,-1.8260692204616795
2020,2007,5.0183108386034405
2020,2008,1.278801511995784
2020,2009,-0.4506964663104789
2020,2010,-3.3469294986458387
2020,2011,2.409957487660712
2020,2012,0.7686062550351274
2020,2013,-1.8117985890750496
2020,2014,4.873222647114602
2020,2015,0.16540403529188907
2020,2016,-9.548692684169378
2020,2017,5.093227219093798
2020,2018,-1.3621183087823496
2020,2019,-1.0249335152170715
2020,2020,-0.7332873899995214
2020,2021,1.0003746559581508
2020,2022,1.5895735906412902
2020,2023,0.8677409618877583
2020,2024,-3.75948482163734
2021,1990,-2.4657765267106733
2021,1991,4.277332153574406
2021,1992,-7.002735432328642
2021,1993,-3.08322089851524
2021,1994,7.2774219284209
2021,1995,-2.3326708795825795
2021,1996,-4.136924260609259
2021,1997,12.800823717977725
2021,1998,-9.804350540817286
2021,1999,4.489401179948704
2021,2000,-1.3669996563392601
2021,2001,6.088668536239236
2021,2002,-7.344527477253106
2021,2003,2.4494000682287407
2021,2004,5.248599402906272
2021,2005,-9.281021516625572
2021,2006,-6.9581866434365764
2021,2007,14.089889732005002
2021,2008,-10.912085043388839
2021,2009,7.652724008481645
2021,2010,-0.0051216242819940305
2021,2011,-2.091289159218711
2021,2012,5.553155679048807
2021,2013,-6.38513445420028
2021,2014,2.810473875881577
2021,2015,-2.6502670852573367
2021,2016,-1.163119637485945
2021,2017,2.8059295018446164
2021,2018,0.2696254408729146
2021,2019,-0.23477100010572727
2021,2020,1.5386012369669935
2021,2021,-0.14845403896873677
2021,2022,-1.3269882764096899
2021,2023,-2.0292529629793066
2021,2024,2.743403342678569
2022,1990,0.31038862607222484
2022,1991,-9.764480162058131
2022,1992,1.2287560994099316
2022,1993,8.825756825602298
2022,1994,15.026011965676911
2022,1998,-5.99564605462351
2022,1999,20.393096976075817
2022,2000,-7.729971248293122
2022,2001,-15.368480376721013
2022,2002,14.00045629137901
2022,2003,-6.969639570979407
2022,2004,1.5894757646031152
2022,2005,3.5927959940732954
2022,2006,-5.285272889206638
2022,2007,17.233962183074162
2022,2008,-12.540371871673194
2022,2009,-9.47716506541858
2022,2010,7.70268844180117
2022,2011,-1.8644220159400007
2022,2012,2.233224119078855
2022,2013,3.317156229860437
2022,2014,-6.127606659026611
2022,2015,7.518104398842777
2022,2016,4.7299037446423
2022,2017,-6.123580245051517
2022,2018,1.114958375394604
2022,2019,-9.180670820198142
2022,2020,1.5142040203118405
2022,2021,13.279596673376162
2022,2022,-12.425764900757915
2022,2023,-2.8163845740634166
2022,2024,-1.0890393479394866
2023,1990,-20.824654505769704
2023,1991,4.496470121792047
2023,1992,4.086288068564382
2023,1993,-3.783787468027903
2023,1994,7.684096185573701
2023,1995,-3.031494540643134
2023,1996,7.387057512023059
2023,1997,-8.426246581593688
2023,1998,7.017240670447496
2023,1999,-1.6111901642529105
2023,2000,-0.9178559315107933
2023,2001,-4.907736778736449
2023,2002,8.94082352697561
2023,2003,-5.613187540556762
2023,2004,2.0092668638537603
2023,2005,-3.941378661913568
2023,2006,-7.212926537117838
2023,2007,10.033777272856408
2023,2008,-2.3724604486780976
2023,2009,-2.9273223266112005
2023,2010,7.813673321816566
2023,2011,-1.4529941279130334
2023,2012,0.5840810602424042
2023,2013,2.2167313492319565
2023,2014,-14.18838287022128
2023,2015,6.0259567311053654
2023,2016,6.1522488670451025
2023,2017,-3.4641152402541806
2023,2018,-0.01921638162221484
2023,2019,-1.336476792134306
2023,2020,-3.9967367263907256
