e,estimate,se
-10,-1.0321753116338819,0.6188991448420483
-9,0.3959106980586449,0.6206203940990007
-8,-0.47871605508377363,0.6560402118868502
-7,0.8639351130880575,0.6703962228801259
-6,-0.19217698814475884,0.620589634948391
-5,0.619849650184274,0.6237322053579907
-4,0.06305665593477823,0.644919504720451
-3,-1.0561699236710553,0.6743949594691665
-2,0.2612172777754342,0.6156869509145925
-1,0.4382845624831869,0.667734665499039
0,-0.9640422524562705,0.6709008656942906
1,0.15698623910804563,0.6638332104604182
2,0.9683764466119897,0.7413881689309348
3,-0.5501583295049352,0.7499628676989419
4,-0.6249068897418707,0.832343787962573
5,0.055471668462760415,0.9215670201232492
6,-0.2342804729159699,0.9080952251564477
7,-0.9129509113456737,1.1087876987263745
8,-0.4400769120717711,1.0791305287851354
9,-0.882870620354844,1.0913644782036294
10,-0.9072288911230285,1.0706024802696361
