e,estimate,se
-10,-0.015545592317009851,0.019591765546530145
-9,-0.039770025586759544,0.02115407993781763
-8,0.012240203082656114,0.020529916702021242
-7,0.01959438172509737,0.0205252799562094
-6,-0.014284367421295352,0.02189546844397973
-5,0.014332036069753668,0.021606359979998574
-4,-0.016416217672299855,0.022244903755820084
-3,0.03391679836054716,0.01853482098759234
-2,-0.006952821238131938,0.02049126149620681
-1,-0.017429424668296493,0.02046352459009948
0,0.02991888587674824,0.021370730409948906
1,0.01570465382370002,0.021934413916214306
2,-0.006068693961690272,0.024230979663068856
3,0.03330226940033571,0.02404935588491403
4,0.02253617147843184,0.02565255332704466
5,0.05543470417168857,0.023500444186275286
6,0.059169882174195165,0.026160864983633715
7,0.02799579502955778,0.034147842489209046
8,0.08555856149547685,0.03441477745666938
9,0.03780144944680469,0.03483173212175481
10,0.07000608694394833,0.032801955546608016
