e,estimate,se
-10,-0.021729208536629928,0.41978519607557063
-9,-0.9307798432382977,0.41805593475119934
-8,0.5945418436208666,0.4434649103711594
-7,0.18607095933385706,0.4316242743885201
-6,0.43045022595151816,0.43517720573591356
-5,-0.15389123667088794,0.4507313542188856
-4,0.5396412370755177,0.44278866029870745
-3,0.0961570391725693,0.4358735387277746
-2,0.23704959251341853,0.44473248303893353
-1,-0.22958134102466934,0.45961232803340063
0,-0.24765080815349225,0.4526110088027672
1,-0.23628681437201343,0.421067282253744
2,-0.7387307373019733,0.5002886973176371
3,-0.3945619272477899,0.450858445222708
4,-0.14074202227936228,0.5082914383952534
5,-0.06959876617186397,0.5304241442285629
6,0.03902535515817349,0.48821640438702996
7,0.3587551857093193,0.595951141432451
8,0.3596227847402092,0.6394725228441522
9,0.06971545686116845,0.6487747936679183
10,0.3900630760706771,0.6339573080510157
