event_id,state,event_ym,mw_before,mw_end,pct_window,n_steps,post_avg,pre_avg,weight
3,Alaska,2010-01,7.25,7.75,0.0689655172413792,1,-0.05312272123194865,-0.03309715834672082,0.004636923282210439
4,Alaska,2015-01,7.75,9.84,0.2696774193548388,2,-0.08110219741584643,-0.029851966660295784,0.004045146308703582
5,Alaska,2024-01,10.85,13.0,0.1981566820276499,2,0.0471645377843111,-0.00043905657200687953,0.004340770520512061
7,Arizona,2017-01,8.05,12.0,0.4906832298136645,3,-0.026893048558950066,-0.01325323063303771,0.038977887747331415
9,Arkansas,2016-01,7.5,9.25,0.2333333333333334,3,-0.02710573258825196,0.004165312248803579,0.018059073622941905
12,California,2014-07,8.0,11.0,0.375,3,0.003758640711375754,0.01000101003844546,0.2107969307660066
14,Colorado,2017-01,8.31,12.0,0.4440433212996388,4,-0.021300044312950878,-0.029182856975253274,0.026103411329282167
16,Connecticut,2014-01,8.25,10.1,0.2242424242424241,3,0.008438868566531671,0.005540347651059513,0.022499713652966432
19,Delaware,2014-06,7.25,8.25,0.1379310344827586,2,0.007607223852622892,-0.051551141687394844,0.0052417023496912464
20,Delaware,2019-01,8.25,10.5,0.2727272727272727,3,0.040905349757035234,0.021587880639550833,0.003992714577512948
23,District of Columbia,2014-07,8.25,12.5,0.5151515151515151,4,0.01905211561657419,0.025904757801014595,0.002372959392966237
25,Florida,2021-10,8.56,13.0,0.5186915887850467,4,,,0.0
27,Hawaii,2015-01,7.25,10.1,0.3931034482758619,4,0.0036299634843217146,-0.015899396071162253,0.007986162435988198
28,Hawaii,2022-10,10.1,14.0,0.3861386138613862,2,0.04460515942024246,0.10416242801594411,0.005574801572869024
30,Illinois,2020-01,8.25,13.0,0.5757575757575757,5,-0.01612677657566003,-0.03901125887997377,0.073675484127164
36,Maine,2017-01,7.5,12.0,0.6000000000000001,4,-0.007109616756409855,-0.07297062770681309,0.006623983470806103
38,Maryland,2015-01,7.25,10.1,0.3931034482758619,4,0.012354082588104366,0.019670886877607055,0.03140966797612937
41,Massachusetts,2015-01,8.0,11.0,0.375,3,-0.028884177689811552,-0.04757094596498512,0.03961364807372866
43,Michigan,2014-09,7.4,9.25,0.25,1,-0.010387947219734905,-0.02441838789702938,0.05108114224420058
44,Michigan,2025-03,10.56,12.48,0.1818181818181818,1,0.055688371646457874,0.043929863421223125,0.04961871929154006
46,Minnesota,2014-08,7.25,9.65,0.3310344827586207,3,0.06490785990313486,0.016502319636465618,0.02960039564633787
48,Missouri,2019-01,7.85,11.15,0.4203821656050956,4,0.012888678652461197,0.02632258144579762,0.035250661668393586
51,Montana,2022-01,8.75,10.55,0.2057142857142857,2,,,0.0
52,Nebraska,2015-01,7.25,9.0,0.2413793103448276,2,-0.026593991432748203,-0.02939031076192461,0.010521564221966784
53,Nebraska,2023-01,9.0,13.5,0.5,3,0.003313864438248007,,0.0112567396669823
55,Nevada,2020-07,8.25,11.25,0.3636363636363635,4,-0.04593829333026905,-0.0017681967235225748,0.006927448806708288
57,New Jersey,2014-01,7.25,8.44,0.1641379310344826,1,0.003447284937603004,0.05010241631799392,0.05242041379700974
58,New Jersey,2019-07,8.85,14.0,0.5819209039548023,5,0.01266554396141443,-0.046089688401314485,0.04669016517924721
59,New Mexico,2020-01,7.5,12.0,0.6000000000000001,3,-0.0017525720776546405,0.013550142897478704,0.009991483816269341
61,New York,2014-01,7.25,9.7,0.3379310344827586,3,-0.00981295386314383,0.010629038095905277,0.1049421412784061
64,Ohio,2022-01,8.8,10.7,0.2159090909090908,2,,,0.0
68,Oregon,2016-07,9.25,11.25,0.2162162162162162,2,0.06797818563605765,0.018275160834166637,0.02174920788258284
72,Rhode Island,2015-01,8.0,10.1,0.2624999999999999,3,-0.021049324263033624,-0.006136276843359753,0.006057581402035043
73,South Dakota,2015-01,7.25,8.85,0.2206896551724138,1,-0.04281307021449445,0.023383465347525306,0.004799159123668656
74,South Dakota,2022-01,9.45,11.5,0.2169312169312169,2,,,0.0
76,Vermont,2018-01,10.0,11.75,0.175,2,-0.02171653354303768,0.003902603861033971,0.0032495357770907832
77,Virginia,2021-05,7.25,13.5,0.8620689655172413,4,,,0.0
80,Washington,2017-01,9.47,13.5,0.4255543822597676,2,-0.021459251190774103,-0.03845431124795855,0.040857249171592815
82,West Virginia,2015-01,7.25,8.75,0.2068965517241379,2,0.00965869233372988,0.047946405941411405,0.00903540981915762
