event_id,state,event_ym,mw_before,mw_end,pct_window,n_steps,post_avg,pre_avg,weight
3,Alaska,2010-01,7.25,7.75,0.0689655172413792,1,0.00910605118744151,-0.059471105190180285,0.0034170435566953906
4,Alaska,2015-01,7.75,9.84,0.2696774193548388,2,-0.017737534002808836,0.04917950522825443,0.0036074545535604314
5,Alaska,2024-01,10.85,13.0,0.1981566820276499,2,0.0028684797347558466,-0.11157906949324395,0.002741320513995164
7,Arizona,2017-01,8.05,12.0,0.4906832298136645,3,-0.03422742257872689,-0.05031664333351335,0.03113229424812709
9,Arkansas,2016-01,7.5,9.25,0.2333333333333334,3,0.02733384496481729,0.009993728193852497,0.012380193171689084
12,California,2014-07,8.0,11.0,0.375,3,0.040047698580438815,0.011931499351286151,0.1873832904782359
14,Colorado,2017-01,8.31,12.0,0.4440433212996388,4,0.06847911356558549,0.024265215949566793,0.016975897458012954
16,Connecticut,2014-01,8.25,10.1,0.2242424242424241,3,-0.01089581545098725,0.03213061130966613,0.018624297216402057
19,Delaware,2014-06,7.25,8.25,0.1379310344827586,2,-0.027713643427847504,-0.003850126526767972,0.004450294895698962
20,Delaware,2019-01,8.25,10.5,0.2727272727272727,3,-0.05468318220840605,-0.0775690705226749,0.003866371082241744
23,District of Columbia,2014-07,8.25,12.5,0.5151515151515151,4,-0.02239039804342751,0.011911661517880034,0.0017269763847329689
25,Florida,2021-10,8.56,13.0,0.5186915887850467,4,0.023853505968291597,0.00541110479576562,0.07503027475662401
27,Hawaii,2015-01,7.25,10.1,0.3931034482758619,4,0.01987101353822733,-0.05790469581782051,0.005505943943723088
28,Hawaii,2022-10,10.1,14.0,0.3861386138613862,2,0.045877466752634766,-0.04549154333581101,0.005705701751542203
30,Illinois,2020-01,8.25,13.0,0.5757575757575757,5,0.06551069739720927,0.07107556987257699,0.054723333786008466
36,Maine,2017-01,7.5,12.0,0.6000000000000001,4,0.03825397701361852,0.054205283754334976,0.004773425106877535
38,Maryland,2015-01,7.25,10.1,0.3931034482758619,4,0.08722343961730734,0.04288163895182878,0.02236607172487067
41,Massachusetts,2015-01,8.0,11.0,0.375,3,0.002253677972485199,0.004016816689417474,0.033225738403245164
43,Michigan,2014-09,7.4,9.25,0.25,1,0.05755412018544069,0.06006947844074245,0.0404273627255502
44,Michigan,2025-03,10.56,12.48,0.1818181818181818,1,-0.08209352954613269,-0.08674478629774493,0.04990701475090174
46,Minnesota,2014-08,7.25,9.65,0.3310344827586207,3,-0.000848785027836918,-0.05077036952008221,0.026417657497627752
48,Missouri,2019-01,7.85,11.15,0.4203821656050956,4,-7.075851981191983e-05,0.08730954291228091,0.02541790845168793
51,Montana,2022-01,8.75,10.55,0.2057142857142857,2,0.054711299308719305,0.029604892748470307,0.00417789520021031
52,Nebraska,2015-01,7.25,9.0,0.2413793103448276,2,-0.03886272603331305,-0.017456022602515775,0.0064262610619929125
53,Nebraska,2023-01,9.0,13.5,0.5,3,0.05423815102281951,-0.029403207640521373,0.008003902114825852
55,Nevada,2020-07,8.25,11.25,0.3636363636363635,4,-0.00493725536038403,-0.0347959326494795,0.013524163341238146
57,New Jersey,2014-01,7.25,8.44,0.1641379310344826,1,-0.028465444863181602,-0.01821719443205172,0.04282159919670137
58,New Jersey,2019-07,8.85,14.0,0.5819209039548023,5,0.06270676030999045,0.028615541983408682,0.038428029472372525
59,New Mexico,2020-01,7.5,12.0,0.6000000000000001,3,-0.01381993448643376,0.05208028137487139,0.010102631594031911
61,New York,2014-01,7.25,9.7,0.3379310344827586,3,-0.0029024214293705414,0.004055349095588162,0.0877692463066412
64,Ohio,2022-01,8.8,10.7,0.2159090909090908,2,-0.023926387618933856,-0.07617397355649211,0.052067800019815674
68,Oregon,2016-07,9.25,11.25,0.2162162162162162,2,0.020804522920969154,-0.10443568670572095,0.017768948343006373
72,Rhode Island,2015-01,8.0,10.1,0.2624999999999999,3,0.019188370353909925,0.06965047578062167,0.0051164717042292765
73,South Dakota,2015-01,7.25,8.85,0.2206896551724138,1,-0.009970878868886632,0.03315874098444849,0.0031824625883832697
74,South Dakota,2022-01,9.45,11.5,0.2169312169312169,2,0.01170681534398789,0.007048411773424107,0.0032370217374811253
76,Vermont,2018-01,10.0,11.75,0.175,2,0.008712802071282152,0.011570307206946628,0.0028368978425588735
77,Virginia,2021-05,7.25,13.5,0.8620689655172413,4,-0.028315783245778034,-0.011767263081516044,0.03542162646980664
80,Washington,2017-01,9.47,13.5,0.4255543822597676,2,-0.044633198474463245,0.010281104610654096,0.030538332857649113
82,West Virginia,2015-01,7.25,8.75,0.2068965517241379,2,0.011254043513604525,-0.028610647294343317,0.0087708436910049
