event_id,state,event_ym,mw_before,mw_end,pct_window,n_steps,post_avg,pre_avg,weight
3,Alaska,2010-01,7.25,7.75,0.0689655172413792,1,0.024962637422093037,-0.05853302183238804,0.002556338915600512
4,Alaska,2015-01,7.75,9.84,0.2696774193548388,2,0.07899645648821225,0.25944978015593634,0.003187614364816821
5,Alaska,2024-01,10.85,13.0,0.1981566820276499,2,-0.047122736369553796,0.106377486007187,0.0009088002788767465
7,Arizona,2017-01,8.05,12.0,0.4906832298136645,3,0.03165596762314063,0.037377258713612804,0.04517572729240153
9,Arkansas,2016-01,7.5,9.25,0.2333333333333334,3,-0.07399791125174524,-0.05430008475011777,0.018031384025931407
12,California,2014-07,8.0,11.0,0.375,3,0.04657555341170386,0.035077468897702746,0.241101870426398
14,Colorado,2017-01,8.31,12.0,0.4440433212996388,4,-0.08114291029820875,-0.05837229892710333,0.018837237486226913
16,Connecticut,2014-01,8.25,10.1,0.2242424242424241,3,-0.13195836513389436,-0.11116891506797905,0.013748843106884567
19,Delaware,2014-06,7.25,8.25,0.1379310344827586,2,0.11419298329977347,0.09610115004772585,0.0050407675578333965
20,Delaware,2019-01,8.25,10.5,0.2727272727272727,3,-0.18950831308169608,-0.0849438530797943,0.0020346715692175165
23,District of Columbia,2014-07,8.25,12.5,0.5151515151515151,4,0.07342130551305906,-0.020320646075905446,0.002745528834559877
25,Florida,2021-10,8.56,13.0,0.5186915887850467,4,-0.0018294869168716255,-0.0070070086879822635,0.08196664008774782
27,Hawaii,2015-01,7.25,10.1,0.3931034482758619,4,0.009804406883323721,0.011673785784368312,0.005089716642656017
28,Hawaii,2022-10,10.1,14.0,0.3861386138613862,2,0.10069328798782308,0.11798400805278347,0.0033765470125717155
30,Illinois,2020-01,8.25,13.0,0.5757575757575757,5,0.024137721721185085,-0.011624376135907832,0.04037188989367315
36,Maine,2017-01,7.5,12.0,0.6000000000000001,4,0.016875529185069155,0.0159489613207299,0.005116957798812286
38,Maryland,2015-01,7.25,10.1,0.3931034482758619,4,-0.11333718502584855,-0.14494221603869106,0.018438263874255022
41,Massachusetts,2015-01,8.0,11.0,0.375,3,-0.028939966862393696,0.014376925057158596,0.03414812313608897
43,Michigan,2014-09,7.4,9.25,0.25,1,-0.008534873248872976,0.06864947142950317,0.04493386846079027
44,Michigan,2025-03,10.56,12.48,0.1818181818181818,1,-0.06324525845223872,0.020516090961183286,0.030098871353535867
46,Minnesota,2014-08,7.25,9.65,0.3310344827586207,3,0.0012299625158885413,-0.014843532357079414,0.02349648268750424
48,Missouri,2019-01,7.85,11.15,0.4203821656050956,4,-0.0668033302667178,-0.1318216762538235,0.01914269091864863
51,Montana,2022-01,8.75,10.55,0.2057142857142857,2,0.14759741852866975,0.17129282955858155,0.0034744994085100494
52,Nebraska,2015-01,7.25,9.0,0.2413793103448276,2,-0.08868920871958258,-0.027716230545071052,0.005856570130356262
53,Nebraska,2023-01,9.0,13.5,0.5,3,-0.11061494244738525,0.0018032750559144328,0.007870170090928486
55,Nevada,2020-07,8.25,11.25,0.3636363636363635,4,0.021624650576086563,0.0163099451837089,0.012350692239293132
57,New Jersey,2014-01,7.25,8.44,0.1641379310344826,1,-0.0012316579881459233,-0.013467859144336847,0.032250259114759955
58,New Jersey,2019-07,8.85,14.0,0.5819209039548023,5,0.007853623941987548,0.027517215176655396,0.022526925414675176
59,New Mexico,2020-01,7.5,12.0,0.6000000000000001,3,-0.08212161981933393,-0.05541581115084232,0.013669534311836457
61,New York,2014-01,7.25,9.7,0.3379310344827586,3,0.0245273710851317,-0.0034050994443732274,0.10525697646525241
64,Ohio,2022-01,8.8,10.7,0.2159090909090908,2,-0.12629505418915293,-0.015636970831691965,0.05124527947571437
68,Oregon,2016-07,9.25,11.25,0.2162162162162162,2,-0.04990517459452677,-0.02119257809276759,0.020231019462719328
72,Rhode Island,2015-01,8.0,10.1,0.2624999999999999,3,0.03649972315571037,0.003962636100097505,0.00555094378443004
73,South Dakota,2015-01,7.25,8.85,0.2206896551724138,1,-0.09383679377151634,-0.15245093699442702,0.003140856415981982
74,South Dakota,2022-01,9.45,11.5,0.2169312169312169,2,0.07976768049449375,-0.005894946550869334,0.004283485292444196
76,Vermont,2018-01,10.0,11.75,0.175,2,-0.049650412856423715,-0.031852728405463604,0.0018035941124295042
77,Virginia,2021-05,7.25,13.5,0.8620689655172413,4,0.07732429306104903,0.12990259845816682,0.014351711755718467
80,Washington,2017-01,9.47,13.5,0.4255543822597676,2,0.11347204067533606,0.10117206082643387,0.023567401905668688
82,West Virginia,2015-01,7.25,8.75,0.2068965517241379,2,-0.010726271641677776,0.033229794174739424,0.013021244894249861
