event_id,state,event_ym,mw_before,mw_end,pct_window,n_steps,post_avg,pre_avg,weight
2,Alaska,2003-01,5.65,7.15,0.2654867256637168,1,-0.028680541990593153,-0.0027173505779396895,0.0021832661411089623
4,Alaska,2015-01,7.75,9.84,0.2696774193548388,2,0.011184239436355513,-0.1012164525077319,0.002345036960236211
6,Arizona,2007-01,5.15,7.25,0.4077669902912619,2,0.00405459389168749,-0.014972539004284718,0.017453816921376344
7,Arizona,2017-01,8.05,12.0,0.4906832298136645,3,0.017215232939470228,0.006924854380120138,0.019463258820818986
8,Arkansas,2006-10,5.15,7.25,0.4077669902912619,2,0.02000687588318656,0.051365809893147554,0.00777356053808692
9,Arkansas,2016-01,7.5,9.25,0.2333333333333334,3,-0.02243121214512727,0.021467273870664313,0.007451813224851617
12,California,2014-07,8.0,11.0,0.375,3,-0.022876051478454215,-0.010231886125770945,0.11762587199449173
13,Colorado,2007-01,5.15,7.25,0.4077669902912619,1,-0.023430046261272958,0.004572036410501357,0.012017821796589357
14,Colorado,2017-01,8.31,12.0,0.4440433212996388,4,-0.013845272006581033,0.0011239605863203744,0.011061776457215693
16,Connecticut,2014-01,8.25,10.1,0.2242424242424241,3,0.029773166430252854,0.03104311234831042,0.011551942784245406
20,Delaware,2019-01,8.25,10.5,0.2727272727272727,3,0.0650648593340287,0.04491676284405002,0.0024062175776280626
22,District of Columbia,2005-01,6.15,7.55,0.2276422764227641,3,-0.02197353714630622,0.02242744979125337,0.0012850605118759444
23,District of Columbia,2014-07,8.25,12.5,0.5151515151515151,4,-0.0032450978145811132,0.035465904108910845,0.0010746580774818305
24,Florida,2005-06,5.15,7.21,0.3999999999999999,2,0.007853018376308446,0.019721693656955558,0.043715654863537866
25,Florida,2021-10,8.56,13.0,0.5186915887850467,4,-0.027306699274719064,-0.011782521299636917,0.0481331687036408
27,Hawaii,2015-01,7.25,10.1,0.3931034482758619,4,-0.05839707219775713,-0.0762225333038846,0.00364085925034819
28,Hawaii,2022-10,10.1,14.0,0.3861386138613862,2,-0.04301326402115938,-0.02459310780322034,0.0037204657341621318
29,Illinois,2004-01,5.15,7.5,0.4563106796116503,3,-0.024705591684313494,-0.0037894546699707155,0.03299737826118445
30,Illinois,2020-01,8.25,13.0,0.5757575757575757,5,0.024965599517389865,0.02164167162124679,0.03376963823332295
32,Iowa,2007-04,5.15,7.25,0.4077669902912619,2,0.0019294064954964163,-0.011456738328576445,0.008697704883398471
33,Kentucky,2007-07,5.15,7.25,0.4077669902912619,3,0.01173662511207637,-0.024556019383645766,0.011662279525986407
