e,estimate,se
-6,0.01572183980479891,0.11023178600432351
-5,-0.11776277441988765,0.09389237776379966
-4,-0.02236351567014764,0.08407919800633798
-3,0.057431719502756,0.06977561700733013
-2,-0.07841535010932935,0.07414407564169552
-1,0.05728984155864174,0.07651882643140556
0,0.06446759111786801,0.07561331879515819
1,0.05541342553112421,0.09079066256813173
2,0.045301695842968455,0.09559313944901524
3,0.06775287813894161,0.09969995513620843
4,-0.09962298205255038,0.10172210521720441
5,-0.017962674740410023,0.14973241321937994
6,0.04135102483906339,0.16475373718513495
