year,estimate,se
2014,-0.008637802862278915,0.0511988855547729
2015,0.019404158843208896,0.0416782527293147
2016,0.514558203821736,0.30083202990253405
2017,0.024059582322197515,0.03477644823819182
2018,-0.0303527748697281,0.06238944269177476
2019,-0.02057934595857572,0.0601412774333793
2020,-0.04927632231387905,0.030416422670295217
2021,-0.14829044217410547,0.131952772982244
2022,-0.061326988730359966,0.09907779322239886
2023,-0.054522847968264676,0.18429432745951457
2024,0.6385480106807693,0.3512087679437753
