e,estimate,se
-6,0.004480889801052448,0.007769345996394704
-5,-0.007839235454295452,0.011930222859407901
-4,0.011890093085342543,0.01233620155122493
-3,0.02199106482451383,0.02927226671082736
-2,-0.005713056029051093,0.035492373926709744
-1,-0.024228727123376547,0.021039388705891164
0,0.0457475878811976,0.0289575833289015
1,-0.006561398873868172,0.013688496515912859
2,0.008185863201305816,0.017716429609457227
3,-0.013843487045960029,0.014701699040242402
4,-0.01481195566585767,0.017183416138612843
5,0.1149225237163656,0.11045899374307688
6,-0.022675263648724284,0.023009809854343942
