year,estimate,se
2014,-0.010657103131967407,0.16516456054057319
2015,-0.11473656379256604,0.12732643552875295
2016,-0.012191901640672494,0.16615845446979918
2017,-0.12845287616458914,0.12956820527642485
2018,-0.015382653891679091,0.08158253580843478
2019,0.032604509318110514,0.09412612638509274
2020,0.017730185656872784,0.08960117480259076
2021,-0.017199016862017132,0.06539250054248895
2022,0.03781146513344984,0.0855722705220979
2023,0.3448470170528481,0.28640642348035833
2024,-0.08478776459899048,0.06767030037684638
