e,estimate,se
-6,0.37078688021604506,0.2375584507881814
-5,0.42852868570087727,0.2344499406027891
-4,-0.2618820483652209,0.25374017961272183
-3,-0.2851641340058018,0.21374525201609001
-2,0.20740131929720124,0.21220057763747918
-1,0.012998527419202315,0.21694132266643812
0,-0.11431665142467162,0.19876486397896076
1,-0.10370919447104752,0.23624105845755283
2,0.2376955411762803,0.21087400762860958
3,0.06741372921557577,0.2668281149603761
4,0.49530038829462864,0.3267637752465829
5,-0.8773765894841604,0.5570252506796101
6,-0.3514067725568861,0.40578340389674045
