e,estimate,se
-6,-0.16245513132230652,0.16299189363724173
-5,-0.19985735031193688,0.16241914885677922
-4,0.31027554975017124,0.15628396708152004
-3,-0.13705531592648185,0.14283864795432732
-2,0.17318270431027577,0.11593131505468648
-1,-0.15874674060437083,0.13607671003797234
0,0.18943183229038404,0.1261854539614451
1,0.054851056487998484,0.12752975303575373
2,0.054805029037967246,0.13535780983055257
3,-0.0014659805475940096,0.130060193693973
4,-0.5303680738173174,0.1864403072281399
5,-0.22445402310242094,0.36024851842882066
6,-0.6643970069531762,0.3178494398689288
