g,t,ATT
2018,2015,0.0498615294873892
2018,2016,0.0832828064326111
2018,2017,-0.029503991883743752
2018,2018,-0.009925225464952003
2018,2019,-0.036451167029908915
2018,2020,-0.03474926281339108
2018,2021,-0.009053464097485975
2018,2022,-0.08469267512045164
2018,2023,-0.17278233790407216
2018,2024,0.000530762793363726
2020,2015,0.21395124970122026
2020,2016,-0.23927035807577535
2020,2017,-0.04037889330609934
2020,2018,0.1247644907396277
2020,2019,0.008528966942425997
2020,2020,-0.16232067272615947
2020,2021,-0.052757784542913466
2020,2022,-0.16262763873370656
2020,2023,0.10533875214210142
2020,2024,-0.1317219107245461
2021,2014,1.0699565613335382
2021,2015,-0.44432291661502765
2021,2016,0.23032279695669233
2021,2017,-0.03156211132533593
2021,2018,0.07181657090947269
2021,2019,0.015470293510400857
2021,2020,-0.035511452369759944
2021,2021,0.06944148157407426
2021,2022,0.04495015864476759
2021,2023,0.049290337537244766
2021,2024,0.16699156144305116
2022,2015,-0.141751514297891
2022,2016,0.02668214333763308
2022,2017,-0.045888668358429086
2022,2018,-0.005978002276233463
2022,2019,0.12876667662526653
2022,2020,0.054955830211309675
2022,2021,-0.18412381852491033
2022,2022,0.01536257538327157
2022,2023,0.14640406485715396
2022,2024,0.1735603467282003
2024,2012,-0.0361132932175362
2024,2013,-0.45317109865306093
2024,2014,0.12896086365012616
2024,2015,0.06989186235244704
2024,2016,-0.16720822197085272
2024,2017,-0.0034039351205581436
2024,2018,0.015371968441287631
2024,2019,0.07926776114095435
2024,2020,0.0033970144424980697
2024,2021,-0.027100602607013635
2024,2022,-0.12684772276215284
2024,2023,0.18323312462167807
2024,2024,0.06209669093141568
