e,estimate,se
-6,0.022512986633122907,0.2188239187335955
-5,0.17399854751915103,0.11366436153569986
-4,-0.025228439668437807,0.06677226279261854
-3,0.2990163928724359,0.07805650497095531
-2,-0.019077095977619224,0.074213706170807
-1,0.009657504160335463,0.055397590891825284
0,-0.0019147845183271847,0.0520558016144301
1,-0.0039972951701427355,0.04932932939110414
2,-0.005644239733673106,0.05805396365339227
3,0.030589824155955563,0.0740986678978379
4,0.0036494477443548396,0.10454994827900785
5,-0.012659925365490432,0.15038684223356336
6,-0.17238334264206795,0.25194918955253937
