year,estimate,se
2014,0.2048816674480527,0.19028430355103745
2015,0.05424018296912192,0.17286678051332377
2016,0.18858785353280982,0.1765879329817921
2017,0.17524494565642623,0.1831628608497781
2018,0.1839786247158186,0.14262808188265677
2019,0.14072438693678205,0.12737854014394187
2020,0.052980848788021506,0.12350229920497952
2021,0.09989169808993206,0.10360813971338445
2022,-0.029740994367914695,0.10459192204236957
2023,0.034929259012498846,0.1550726179669373
2024,-0.11212587664989035,0.24787495717018093
