year,estimate,se
2014,-0.0228667733144704,0.056505609091097406
2015,-0.15036199879783396,0.059729143363473014
2016,-0.16364749519108568,0.06427874887614916
2017,-0.15608460519542577,0.06199135841084512
2018,-0.09166255000739797,0.06865593389385746
2019,-0.02065710834793608,0.06724490942350883
2020,-0.015009897428856795,0.04618414079077797
2021,0.03721879927953562,0.03682852193024553
2022,-0.10085530255400794,0.04792785159350269
2023,0.01629979748844066,0.05499779966624531
2024,-0.0726761554679839,0.10551905224342181
