e,estimate,se
-6,-0.013511731718371707,0.03797951047257429
-5,-0.04377036015762452,0.03775418194709887
-4,0.018622385539605105,0.03886764092071316
-3,0.030885182938433148,0.03879648125306091
-2,0.033638301369086646,0.0377484823224671
-1,-0.015431840881986235,0.04013707069827134
0,-0.028663898207637838,0.03713629352274955
1,0.011285503641488425,0.03992352800733599
2,-0.022523971992300214,0.03949851976226548
3,0.033225703683961,0.04007116674030029
4,-0.009067294595059493,0.04567456500645592
5,-0.009037979880568729,0.04514633872940347
6,-0.020544132230132392,0.04924966091111101
