year,estimate,se
2004,-0.015850450190418253,0.018075474538141893
2005,-0.023639171256500557,0.017949472546961616
2006,-0.022027663976820818,0.017256491581900218
2007,-0.014177468892661194,0.01823625198455554
2008,-0.02485227915723076,0.017114010228561297
2009,-0.003705117652340904,0.015945456565381363
2010,-0.006661712882699009,0.01495631074377952
2011,-0.006176516990276037,0.01458147964702767
2012,-0.009041630266197457,0.015655792885519902
2013,-0.044856423586279504,0.016484160431651556
2014,-0.028746022085660777,0.01603990883300901
2015,-0.03476139831326832,0.01608600888631231
2016,-0.028684236490168397,0.015673769280852373
2017,-0.041210429284232186,0.016953901455149262
2018,-0.01848237724675592,0.014549663790725064
2019,-0.007501053154173848,0.0161769029973305
2020,-0.017689985036317583,0.01286784512301132
2021,-0.03278681942544553,0.014218920589736762
2022,-0.029273076999044006,0.014488143701543572
2023,-0.01812215728741567,0.01192248913155103
2024,-0.00041732565197667064,0.011437073993119173
