e,estimate,se
-10,-0.530503574786839,0.4796637698408587
-9,0.8778926103927398,0.48028427435750337
-8,-0.8606813964261425,0.5112909257130723
-7,0.764405496382139,0.51057151445867
-6,-0.47698074063003676,0.46358292262799733
-5,0.1327331493015718,0.4984212010141996
-4,0.17807181649584441,0.5290025777942299
-3,-0.5288868257263104,0.4788177973152818
-2,0.3463567558289959,0.49232692334772993
-1,0.47267123456462473,0.49123246652088415
0,-0.6013477605458405,0.4970775087945187
1,0.3496318079716136,0.5481796565050571
2,0.8074113687400509,0.5379844163285165
3,0.08019187435312043,0.5518923874194802
4,-0.3428874188693498,0.614198399564651
5,0.1422078811517686,0.6286350470116876
6,-0.16414415786957579,0.6304118228467468
7,-1.1440347459896383,0.7903061131031617
8,-0.7011386921710765,0.7394280477487136
9,-0.2690513768177789,0.7310560266648836
10,-0.6250893031181286,0.8223177197289693
