year,estimate,se
2004,0.006335305488383125,0.019409153134328807
2005,0.02073653686800858,0.018800212291737464
2006,0.04385409885399427,0.018668891016532872
2007,0.04099002281873132,0.01947196403097256
2008,0.022853301482308463,0.017251696068859596
2009,0.01849906511367812,0.016727547878044327
2010,0.001726244736845213,0.017883639772968602
2011,-0.013907381464075264,0.018075773377505062
2012,0.006685627310308569,0.01654314247071637
2013,0.008648763447302959,0.017205776562962214
2014,-0.004638394429462208,0.018156890428262965
2015,0.02228251896858487,0.01792865468908785
2016,0.011895483200076842,0.016756652765264085
2017,0.010502799960284824,0.016831896823414846
2018,0.00022479321499127154,0.014229079067265676
2019,0.0383272078677098,0.014050845080935494
2020,0.022328388636066607,0.013361973285570901
2021,0.019442380393175883,0.013836377929398031
2022,-0.004686006720215117,0.014272938273272157
2023,-0.015590902509950577,0.013579950473676052
2024,0.009364436617039142,0.01254784464134368
