e,estimate,se
-10,-0.007010411610321177,0.010455736443507222
-9,0.011885623677124623,0.010844835485441112
-8,-0.0061242414919818414,0.011659696968895175
-7,0.006033468226412004,0.011503871336044235
-6,-0.011380215755955124,0.010860741755858024
-5,-0.009880579053186378,0.011589409962294737
-4,0.007074755601059213,0.01161242629473122
-3,-0.0076108007406013286,0.010624151498258261
-2,0.0050290755287553425,0.011190518813024887
-1,0.016513328797441208,0.01113122777843893
0,-0.010121144966952085,0.011238761139698262
1,0.007622981405839152,0.011999984728932631
2,0.019664487270425354,0.011602112816659715
3,0.013589285400478037,0.012051872230358899
4,0.00942304506274724,0.01373327092662596
5,0.019553195890354844,0.01433216472814461
6,0.001915813589591867,0.014702219812215749
7,-0.017943963601627297,0.017433151347462938
8,0.0058518646882106855,0.016451597797243513
9,0.014223719874769437,0.0165268063166125
10,0.0008181534840294573,0.018497374356291413
