year,estimate,se
2004,0.00032893648757745253,0.09429415897152174
2005,-0.09905428340471163,0.0887870064826727
2006,0.023206160321874142,0.08511076188314984
2007,-0.02479702857333621,0.08818515734446952
2008,-0.02396220403764221,0.08778734606121098
2009,-0.005083260324980043,0.08879488514515911
2010,0.051700251741474225,0.08886267588450376
2011,-0.06345514444192514,0.07285403803669592
2012,0.04531234221387451,0.08346578945810483
2013,-0.055264078832174414,0.07480790506843006
2014,-0.10853220097963308,0.08151684051441833
2015,-0.049179795596395695,0.08078505739255451
2016,0.16868248368055785,0.12254351091177089
2017,-0.10917685253673394,0.089881835428157
2018,0.10393962024996659,0.09514271367932373
2019,0.12250327378924902,0.0985905926447431
2020,-0.015567973585237958,0.07594471407196589
2021,-0.09716615904037113,0.06258947943136937
2022,0.0741166944562349,0.10347400994873157
2023,0.053844691348740294,0.09548068037139405
2024,0.08683409151221305,0.09921968383713542
